mlbam,fgid,name,war,pa
545361,10155,Mike Trout,8.25295912145871,593.5999755859375
605141,13611,Mookie Betts,7.18147430884027,660.5999755859375
596019,12916,Francisco Lindor,6.604377889467088,647.4000244140625
608070,13510,José Ramírez,6.149925785118147,655.9000244140625
608324,17678,Alex Bregman,5.585646017660833,647.7000122070312
592178,15429,Kris Bryant,5.489572077642913,625.2000122070312
608369,13624,Corey Seager,5.351177550202199,608.2000122070312
592518,11493,Manny Machado,5.292481089622054,636.4000244140625
592885,11477,Christian Yelich,5.159392114896189,640.5
518735,11368,Yasmani Grandal,5.070358359874838,496.29998779296875
656305,16505,Matt Chapman,5.062073304197818,626.2999877929688
543685,12861,Anthony Rendon,5.025137390895957,594.5999755859375
457763,9166,Buster Posey,4.935123267156463,520.4000244140625
571448,9777,Nolan Arenado,4.8850319637438835,653.0
592450,15640,Aaron Judge,4.783397047635061,610.7999877929688
514888,5417,Jose Altuve,4.703554506059265,643.7000122070312
665489,19611,Vladimir Guerrero Jr.,4.549125098047637,533.7999877929688
607208,16252,Trea Turner,4.540753352203918,657.5999755859375
519317,4949,Giancarlo Stanton,4.489965865349436,601.2000122070312
621043,14162,Carlos Correa,4.461054977898127,566.2000122070312
457759,5235,Justin Turner,4.449280077879999,588.4000244140625
547180,11579,Bryce Harper,4.397119479601006,609.0999755859375
519203,3473,Anthony Rizzo,4.386962586933166,642.5999755859375
502671,9218,Paul Goldschmidt,4.269395890328942,645.5999755859375
518692,5361,Freddie Freeman,4.205101930468038,645.2999877929688
593428,12161,Xander Bogaerts,4.204264319556361,616.0999755859375
665742,20123,Juan Soto,4.075232159579613,602.5
518626,5038,Josh Donaldson,4.051152464030459,555.0
592743,10847,Andrelton Simmons,4.018376785403896,594.9000244140625
543807,12856,George Springer,3.9964697410106567,615.4000244140625
456715,9077,Lorenzo Cain,3.8280366359093194,618.9000244140625
643217,17901,Andrew Benintendi,3.717373523482271,652.7000122070312
592663,11739,J.T. Realmuto,3.6821975081043092,533.5
502110,6184,J.D. Martinez,3.6653834466366866,590.4000244140625
641355,15998,Cody Bellinger,3.6304558787710044,626.5999755859375
645277,16556,Ozzie Albies,3.607424279377748,617.2000122070312
596115,12564,Trevor Story,3.4965462296679837,606.5999755859375
572761,8090,Matt Carpenter,3.4626093008509278,627.9000244140625
596142,11442,Gary Sánchez,3.461090852620834,483.20001220703125
656555,16472,Rhys Hoskins,3.457098096300732,638.5999755859375
542303,10324,Marcell Ozuna,3.4525333599233523,594.7999877929688
595879,12979,Javier Báez,3.4260862823720335,626.7999877929688
502054,2967,Tommy Pham,3.3816610293712706,602.7999877929688
543305,5297,Aaron Hicks,3.305845657210781,555.7999877929688
650391,17484,Eloy Jiménez,3.2589813003016013,559.7999877929688
429664,3269,Robinson Canó,3.235064894557685,603.5
553993,12552,Eugenio Suárez,3.2271953883158675,625.0999755859375
458015,4314,Joey Votto,3.194747128760465,640.4000244140625
660670,18401,Ronald Acuña Jr.,3.179537626406021,644.0
425877,7007,Yadier Molina,3.1786330084143777,496.79998779296875
621566,14344,Matt Olson,3.1429568013323808,596.7000122070312
516782,9241,Starling Marte,3.1346093909270536,610.5
657557,18015,Paul DeJong,3.1098511042378636,546.7999877929688
443558,2434,Nelson Cruz,3.092831647251853,596.5999755859375
608336,14128,Joey Gallo,3.0090996495862576,571.4000244140625
624577,14225,Yasiel Puig,3.0079656389720903,571.5999755859375
595777,10815,Jurickson Profar,2.9793784429985424,636.5
656941,16478,Kyle Schwarber,2.9559867379143494,550.4000244140625
624424,16376,Michael Conforto,2.9555284878861556,601.0999755859375
609275,13769,Adalberto Mondesi,2.9228210016546803,590.5
643376,16535,Danny Jansen,2.8721065435164697,398.8999938964844
593160,11281,Whit Merrifield,2.858647641936097,660.0
571745,14274,Mitch Haniger,2.8546208282300234,638.5999755859375
452095,9134,Tyler Flowers,2.82589461251973,311.20001220703125
595281,11038,Kevin Kiermaier,2.802054211905666,555.2000122070312
606466,13613,Ketel Marte,2.789606140962293,580.0
596146,12144,Max Kepler,2.769920298099533,596.4000244140625
592626,11899,Joc Pederson,2.765767507475092,472.6000061035156
605119,18289,Brian Anderson,2.753276845897806,647.5999755859375
457705,9847,Andrew McCutchen,2.7379786413354825,600.5
593871,13152,Jorge Polanco,2.7371055717914747,636.5999755859375
657656,17128,Ramón Laureano,2.6899082152101337,528.5
572287,13265,Mike Zunino,2.6804735406393507,426.0
598265,12984,Jackie Bradley Jr.,2.6739414956696805,531.5
446359,2616,Zack Cozart,2.6627941757049802,574.5
543768,11982,Travis Shaw,2.648575394153429,590.5999755859375
571771,10472,Enrique Hernández,2.633731332008707,546.4000244140625
592696,12155,Eddie Rosario,2.6336861810671275,611.4000244140625
543063,5343,Brandon Crawford,2.614577337056486,574.7000122070312
455117,6887,Martín Maldonado,2.5768942957907615,393.70001220703125
474832,10264,Brandon Belt,2.5713084926551204,573.0999755859375
572039,13367,Stephen Piscotty,2.544462604560767,604.7999877929688
543760,12533,Marcus Semien,2.4943694796040456,623.4000244140625
605131,12158,Austin Barnes,2.4727647152603023,279.79998779296875
444482,2136,David Peralta,2.45972546061234,605.4000244140625
519058,4892,Mike Moustakas,2.456474707812521,569.5999755859375
646240,17350,Rafael Devers,2.451478747609805,534.2000122070312
660271,19755,Shohei Ohtani,2.4301038370446966,472.8999938964844
572041,9256,AJ Pollock,2.4174617290034495,545.2000122070312
545341,10243,Randal Grichuk,2.3920136829464353,563.2999877929688
607043,12927,Brandon Nimmo,2.3857801093297506,584.7000122070312
516416,5933,Jean Segura,2.3840878270358115,643.2000122070312
621439,14161,Byron Buxton,2.381740751039611,482.29998779296875
660162,17232,Yoán Moncada,2.3743165747652397,618.7000122070312
650402,16997,Gleyber Torres,2.3735396882613506,556.7000122070312
547989,15676,José Abreu,2.365110705020802,614.2000122070312
600869,13621,Jeimer Candelario,2.359281406041217,617.4000244140625
501981,9112,Khris Davis,2.341842221756239,635.5999755859375
593934,12164,Miguel Sanó,2.3185801720285006,527.2000122070312
453568,7859,Charlie Blackmon,2.2872525146432916,677.5
642715,15986,Willy Adames,2.2459237199222026,601.0
664056,18030,Harrison Bader,2.236892676844596,549.5999755859375
457708,5222,Justin Upton,2.206284246260781,592.9000244140625
488726,4106,Michael Brantley,2.2039850048262664,564.7999877929688
542255,4922,Ender Inciarte,2.203850264862449,612.9000244140625
628356,17182,Jung Ho Kang,2.195991943651193,430.3999938964844
605480,13608,Mallex Smith,2.190283156387455,626.9000244140625
467793,2396,Carlos Santana,2.185620875535519,629.2000122070312
467092,1433,Wilson Ramos,2.1657867751572635,419.70001220703125
543939,12532,Kolten Wong,2.159395358294501,442.70001220703125
594809,11205,Adam Eaton,2.1567966823752984,547.4000244140625
527038,5827,Wilmer Flores,2.131604072922114,524.9000244140625
518792,4940,Jason Heyward,2.126155225227019,482.5
408234,1744,Miguel Cabrera,2.0943135775594635,523.4000244140625
572122,9785,Kyle Seager,2.0540573718646495,462.5
570731,11265,Jonathan Schoop,2.0451396069832626,503.1000061035156
645302,18363,Victor Robles,2.042270648757136,561.7000122070312
596748,12179,Maikel Franco,2.02785983233954,541.5999755859375
572821,9810,Brian Dozier,2.025930517291214,544.2999877929688
595978,12976,Austin Hedges,1.9924885784614843,292.8999938964844
446334,9368,Evan Longoria,1.989370409005781,584.2000122070312
518934,9874,DJ LeMahieu,1.977501063941623,477.6000061035156
621035,13757,Chris Taylor,1.9715400985532048,534.7000122070312
642708,15518,Amed Rosario,1.9644085668402584,562.9000244140625
596059,12282,Rougned Odor,1.9364737619135348,620.9000244140625
500871,6153,Eduardo Escobar,1.9147893850945232,610.9000244140625
514917,10556,César Hernández,1.9092658981533794,605.5
605412,11936,Joe Panik,1.8952108894104787,479.0
572816,10762,Corey Dickerson,1.8948387606262784,605.0999755859375
621002,14145,Daniel Robertson,1.8670514102231663,403.5
606299,13593,José Peraza,1.8670470642657069,620.4000244140625
543068,12546,C.J. Cron,1.8625372888331388,525.5
607680,12434,Kevin Pillar,1.8525244489595383,498.70001220703125
476704,4418,Jed Lowrie,1.838523264411769,565.5999755859375
488771,8722,Jason Castro,1.8265170169783205,326.70001220703125
