mlbam,fgid,name,war,pa
660670,18401,Ronald Acuña Jr.,7.695777846802939,688.0
665742,20123,Juan Soto,5.775273575167059,660.0
592450,15640,Aaron Judge,5.7357906158928635,552.0
677594,23697,Julio Rodríguez,5.600019922021154,673.0
605141,13611,Mookie Betts,5.450990369821525,649.0
665487,19709,Fernando Tatis Jr.,5.299110846137094,624.0
668939,26288,Adley Rutschman,5.135712982449379,578.0
608070,13510,José Ramírez,5.112051788989903,649.0
608369,13624,Corey Seager,5.100196187761497,556.0
607208,16252,Trea Turner,4.972985282671532,655.0
543760,12533,Marcus Semien,4.968023649603904,698.0
670541,19556,Yordan Alvarez,4.828757514359796,567.0
596019,12916,Francisco Lindor,4.809924684077979,646.0
683002,26289,Gunnar Henderson,4.7438608397748885,640.0
663586,18360,Austin Riley,4.738457345828945,655.0
608324,17678,Alex Bregman,4.652610029543374,650.0
665926,19950,Andrés Giménez,4.609113001474408,585.0
669257,19197,Will Smith,4.513067871141471,555.0
682998,25878,Corbin Carroll,4.4482956312984445,636.0
669221,19352,Sean Murphy,4.417127899323442,484.0
677951,25764,Bobby Witt Jr.,4.394148131345676,670.0
621020,18314,Dansby Swanson,4.3020286326275095,633.0
518692,5361,Freddie Freeman,4.235852902067611,664.0
666182,19612,Bo Bichette,4.225705187353744,657.0
663656,18345,Kyle Tucker,4.222835397613426,626.0
642715,15986,Willy Adames,4.206831586659293,622.0
646240,17350,Rafael Devers,4.0682025418832195,655.0
663538,21479,Nico Hoerner,4.019590724482908,607.0
592518,11493,Manny Machado,3.979239253465775,603.0
673357,20043,Luis Robert Jr.,3.962897794019928,543.0
593428,12161,Xander Bogaerts,3.881443542164867,625.0
663728,21534,Cal Raleigh,3.868107764305992,508.0
677551,23667,Wander Franco,3.857839553864826,493.0
607043,12927,Brandon Nimmo,3.845109977878174,615.0
621043,14162,Carlos Correa,3.830142715773378,588.0
671739,25931,Michael Harris II,3.7805493939233377,578.0
621566,14344,Matt Olson,3.7426637761203874,661.0
547180,11579,Bryce Harper,3.6194720336117214,539.0
656305,16505,Matt Chapman,3.6026137121592483,579.0
661388,20503,William Contreras,3.5809070107969823,544.0
650402,16997,Gleyber Torres,3.5706297811415513,629.0
670623,20036,Isaac Paredes,3.5599960255337852,562.0
641680,16930,Jonah Heim,3.4842632568926097,449.0
641487,15491,J.P. Crawford,3.442089432314795,632.0
571448,9777,Nolan Arenado,3.4190070067869005,583.0
645277,16556,Ozzie Albies,3.3951757414931873,636.0
514888,5417,Jose Altuve,3.371577135599016,526.0
680574,29695,Matt McLain,3.3552485052122334,548.0
606466,13613,Ketel Marte,3.352650005648307,581.0
672386,22581,Alejandro Kirk,3.328848117206266,449.0
694671,33333,Wyatt Langford,3.3259417108871014,599.0
681546,24770,James Outman,3.3238379722592373,578.0
668227,19290,Randy Arozarena,3.269712113036794,628.0
666969,19287,Adolis García,3.2648214118711967,603.0
673490,27506,Ha-Seong Kim,3.2250191578938803,548.0
660271,19755,Shohei Ohtani,3.204625289819208,615.0
666134,20529,Nolan Jones,3.1876787907147586,552.0
592663,11739,J.T. Realmuto,3.1562395785624404,525.0
665489,19611,Vladimir Guerrero Jr.,3.153430571263355,659.0
694497,27790,Evan Carter,3.1185534484638953,617.0
656775,17929,Cedric Mullins,3.110535690186287,571.0
676914,23565,Davis Schneider,3.0996767224511137,502.0
669242,19470,Tommy Edman,3.08545397076712,587.0
668904,20437,Royce Lewis,3.072178571123269,439.0
545361,10155,Mike Trout,2.9994566541760097,382.0
665750,18900,Leody Taveras,2.975988372914456,571.0
676801,19599,Chas McCormick,2.913210928002246,435.0
650490,16578,Yandy Díaz,2.8849146688807155,550.0
663757,18564,Trent Grisham,2.880083885621175,537.0
575929,11609,Willson Contreras,2.850288669535982,481.0
672515,22664,Gabriel Moreno,2.8430980974275437,371.0
680757,24610,Steven Kwan,2.840497713981865,677.0
664040,18882,Brandon Lowe,2.837119788425185,487.0
702616,31781,Jackson Holliday,2.8353071655494864,610.0
666397,27534,Edouard Julien,2.8349671320767076,560.0
641355,15998,Cody Bellinger,2.824236712287356,544.0
543807,12856,George Springer,2.82191708663003,567.0
664023,17919,Ian Happ,2.816507230174716,620.0
621439,14161,Byron Buxton,2.8039878122286463,364.0
682985,25976,Riley Greene,2.773226690771353,497.0
600869,13621,Jeimer Candelario,2.767183022730883,560.0
502671,9218,Paul Goldschmidt,2.7584200186881622,613.0
687093,26031,Vaughn Grissom,2.7547996690867675,560.0
683737,26319,Michael Busch,2.749636521666772,564.0
624413,19251,Pete Alonso,2.747899030572629,646.0
676059,27815,Jordan Westburg,2.7193632617318544,546.0
666310,21865,Bo Naylor,2.683144021777564,488.0
666139,19953,Josh Lowe,2.6598756620281487,523.0
683011,27647,Anthony Volpe,2.6540695173078808,598.0
518934,9874,DJ LeMahieu,2.6475422315139676,536.0
673548,30116,Seiya Suzuki,2.623384496885413,562.0
668804,19326,Bryan Reynolds,2.6022348040921197,626.0
623993,14551,Anthony Santander,2.5345619189105117,607.0
643446,15362,Jeff McNeil,2.5239955658251185,575.0
681082,26294,Bryson Stott,2.5043190690575066,581.0
682626,26121,Francisco Alvarez,2.492691263821351,483.0
663647,18577,Ke'Bryan Hayes,2.490260782978117,515.0
596115,12564,Trevor Story,2.4856934837300257,411.0
681351,24729,Logan O'Hoppe,2.458611358446288,397.0
663457,21454,Lars Nootbaar,2.439534269941644,504.0
672275,27478,Patrick Bailey,2.43005598135422,420.0
691026,27479,Masyn Winn,2.422912923378267,626.0
572233,13419,Christian Walker,2.3452772195825036,588.0
641933,15711,Tyler O'Neill,2.344005514563814,401.0
679822,27501,Justin Foscue,2.3303076521664665,511.0
682829,26668,Elly De La Cruz,2.3220793382435017,616.0
664056,18030,Harrison Bader,2.3190047286842,381.0
665161,21636,Jeremy Peña,2.3144861449055285,604.0
641857,15112,Ryan McMahon,2.313317055961851,588.0
665862,20454,Jazz Chisholm Jr.,2.305802553152553,439.0
650333,18568,Luis Arraez,2.294378267723401,602.0
662139,19918,Daulton Varsho,2.287036069655303,541.0
808982,33824,Jung Hoo Lee,2.279424070384592,524.0
679529,27465,Spencer Torkelson,2.273809561919925,656.0
691723,28312,Coby Mayo,2.2714083063345614,597.0
807799,31837,Masataka Yoshida,2.2656706808613736,553.0
678882,24262,Ceddanne Rafaela,2.2626155844980484,557.0
663993,19566,Nathaniel Lowe,2.261870964177057,621.0
664034,17982,Ty France,2.2610233163599984,633.0
643376,16535,Danny Jansen,2.2371971943881492,297.0
668715,26323,Spencer Steer,2.2248181624949535,643.0
672724,22823,Oswald Peraza,2.205321145011025,506.0
673962,26299,Josh Jung,2.2033130087687764,461.0
669357,22263,Nolan Gorman,2.1945289546204685,504.0
666624,21897,Christopher Morel,2.1934441559313154,546.0
691783,29976,Jordan Lawlar,2.1914940283960718,531.0
669261,22244,Jack Suwinski,2.1881495834972773,537.0
670770,19522,TJ Friedl,2.1834423579603874,523.0
596146,12144,Max Kepler,2.1820915986242815,491.0
678662,24064,Ezequiel Tovar,2.182054331140954,588.0
669394,22275,Jake Burger,2.167985169952376,529.0
672580,22715,Maikel Garcia,2.1599170071432354,583.0
680700,24589,Richie Palacios,2.1418406332392848,498.0
681371,sa3020194,Dom Keegan,2.1339861312912305,447.0
571970,13301,Max Muncy,2.1313587541591743,548.0
673237,23003,Yainer Diaz,2.1226444810423786,432.0
664057,17932,Andrew Stevenson,2.1138902266363067,489.0
669720,19363,Austin Hays,2.110437934828867,543.0
669087,22209,Sam Huff,2.1093194113123706,368.0
593871,13152,Jorge Polanco,2.101759591848606,491.0
660688,19610,Keibert Ruiz,2.094069564339546,509.0
680869,29766,Zack Gelof,2.090994527170989,554.0
686217,29622,Sal Frelick,2.081663341153848,545.0
682928,25768,CJ Abrams,2.06972439046688,573.0
649966,16622,Luis Urías,2.066851621552509,455.0
