mlbam,fgid,name,war,pa
665742,20123,Juan Soto,7.574514106554863,672.4535522460938
545361,10155,Mike Trout,6.3795453235653925,655.0040283203125
660670,18401,Ronald Acuña Jr.,6.236986326291419,616.4078979492188
608070,13510,José Ramírez,6.0935682091988665,663.0438232421875
665489,19611,Vladimir Guerrero Jr.,6.027717392621521,656.2295532226562
592450,15640,Aaron Judge,5.897261926190166,665.0213623046875
605141,13611,Mookie Betts,5.57377518798623,692.3510131835938
621043,14162,Carlos Correa,5.44519006939485,620.9828491210938
677551,23667,Wander Franco,5.303613561255455,651.159912109375
592518,11493,Manny Machado,5.156597034177063,670.8556518554688
607208,16252,Trea Turner,5.117180562368212,671.8204956054688
608324,17678,Alex Bregman,5.043342702061601,643.1925048828125
666182,19612,Bo Bichette,4.89156863657278,668.2115478515625
547180,11579,Bryce Harper,4.870438840152444,662.236328125
608369,13624,Corey Seager,4.810361447819416,610.4616088867188
646240,17350,Rafael Devers,4.807814925155001,647.8248291015625
673357,20043,Luis Robert Jr.,4.785494124686032,636.2306518554688
518692,5361,Freddie Freeman,4.731081323068043,675.4290771484375
621566,14344,Matt Olson,4.650330042855505,660.3948974609375
621439,14161,Byron Buxton,4.610307966854148,567.2294921875
664040,18882,Brandon Lowe,4.489564593249726,626.0067749023438
543760,12533,Marcus Semien,4.47549773786103,681.0846557617188
596019,12916,Francisco Lindor,4.4724262284928145,667.2757568359375
518735,11368,Yasmani Grandal,4.417312709781433,529.2566528320312
514888,5417,Jose Altuve,4.363081896081767,681.4808959960938
543685,12861,Anthony Rendon,4.2972758657403825,589.5321044921875
592663,11739,J.T. Realmuto,4.287036870226779,595.908935546875
663656,18345,Kyle Tucker,4.282099399028577,605.0269165039062
645277,16556,Ozzie Albies,4.267588663506658,673.0695190429688
593428,12161,Xander Bogaerts,4.266944135564548,649.3849487304688
571448,9777,Nolan Arenado,4.097423331837251,649.0604858398438
606466,13613,Ketel Marte,4.065731137713364,652.435791015625
624413,19251,Pete Alonso,4.030660211274631,649.1705322265625
673548,30116,Seiya Suzuki,3.9885631467007374,530.4959716796875
663757,18564,Trent Grisham,3.8639173554285127,628.65478515625
670541,19556,Yordan Alvarez,3.861644864891736,606.7470703125
543807,12856,George Springer,3.8585034391999007,666.8194580078125
660162,17232,Yoán Moncada,3.828121071737453,651.3182373046875
596115,12564,Trevor Story,3.7508719710066605,659.3670043945312
608336,14128,Joey Gallo,3.738133022800882,632.8349609375
607043,12927,Brandon Nimmo,3.7118462302964437,611.2572021484375
650402,16997,Gleyber Torres,3.694193417515539,614.1162719726562
663697,21523,Jonathan India,3.676365010364286,679.0374145507812
518626,5038,Josh Donaldson,3.665103024383975,577.4160766601562
668804,19326,Bryan Reynolds,3.6465570336308373,669.0897827148438
669257,19197,Will Smith,3.6304435089697478,483.5273132324219
663586,18360,Austin Riley,3.589598149768632,638.1720581054688
502671,9218,Paul Goldschmidt,3.5356738148940963,675.4568481445312
630105,18036,Jake Cronenworth,3.529146390019353,629.8549194335938
571970,13301,Max Muncy,3.5168270998920796,604.5159912109375
519317,4949,Giancarlo Stanton,3.5145912398388757,596.9678955078125
660271,19755,Shohei Ohtani,3.4882894921802463,649.58154296875
641933,15711,Tyler O'Neill,3.4376876371307232,624.3656616210938
665487,19709,Fernando Tatis Jr.,3.387925772856364,326.2642822265625
669221,19352,Sean Murphy,3.3799265299894383,449.6272888183594
656305,16505,Matt Chapman,3.2874550985667796,630.6389770507812
593871,13152,Jorge Polanco,3.2722556606756394,646.7749633789062
642715,15986,Willy Adames,3.21686043115216,600.1734008789062
641313,15172,Tim Anderson,3.2043222167564047,691.842041015625
677594,23697,Julio Rodríguez,3.200203285804103,545.1605834960938
592885,11477,Christian Yelich,3.1047710852188795,643.5654907226562
641487,15491,J.P. Crawford,3.0721191119239855,664.4523315429688
519203,3473,Anthony Rizzo,3.048951507275506,600.435791015625
656775,17929,Cedric Mullins,3.0286044183707332,676.9683227539062
664034,17982,Ty France,3.010951575957496,619.789306640625
571771,10472,Enrique Hernández,2.991465568976224,646.5990600585938
649966,16622,Luis Urías,2.978957599017966,539.2105102539062
665833,21711,Oneil Cruz,2.9027432907121726,457.3594665527344
457759,5235,Justin Turner,2.8875854929428098,573.1866455078125
664056,18030,Harrison Bader,2.8573121656086147,537.4736328125
657656,17128,Ramón Laureano,2.8475462744669304,525.5517578125
656555,16472,Rhys Hoskins,2.8449842507443783,607.6375122070312
656941,16478,Kyle Schwarber,2.8442199886675095,630.9660034179688
663647,18577,Ke'Bryan Hayes,2.7839912930911472,617.7156982421875
543063,5343,Brandon Crawford,2.7667831901841,578.020263671875
608385,13590,Jesse Winker,2.764501411117867,569.2024536132812
600869,13621,Jeimer Candelario,2.7632214555935715,627.257568359375
662139,19918,Daulton Varsho,2.7610470860133094,492.2339782714844
543939,12532,Kolten Wong,2.7256929549890923,620.53955078125
516782,9241,Starling Marte,2.720053545353604,607.2000732421875
668227,19290,Randy Arozarena,2.6816306459874584,638.4793701171875
543305,5297,Aaron Hicks,2.6590948898724203,537.7471313476562
