mlbam,fgid,name,war,ip,gs,g
608337,15474,Lucas Giolito,5.769957120110039,180.0,30.0,30.0
543037,13125,Gerrit Cole,5.435322070334068,193.3000030517578,32.0,32.0
669456,19427,Shane Bieber,5.180876657887542,197.6999969482422,32.0,32.0
594798,10954,Jacob deGrom,5.123558724041398,176.6999969482422,28.0,28.0
545333,12703,Trevor Bauer,4.716297859054384,184.0,30.0,30.0
453286,3137,Max Scherzer,4.659040525455978,164.6999969482422,27.0,27.0
605400,16149,Aaron Nola,4.3523396861846795,187.3000030517578,31.0,31.0
621111,19374,Walker Buehler,4.217870103187587,150.3000030517578,27.0,27.0
622491,15689,Luis Castillo,4.065942941399204,173.6999969482422,30.0,30.0
608566,15038,Germán Márquez,3.991927385905197,186.6999969482422,32.0,32.0
656427,17479,Jack Flaherty,3.9485064630881626,171.3000030517578,31.0,31.0
477132,2036,Clayton Kershaw,3.6677293684337577,154.3000030517578,26.0,26.0
571578,9323,Patrick Corbin,3.617326675242259,173.3000030517578,29.0,30.0
544931,10131,Stephen Strasburg,3.446263319173132,126.0,21.0,21.0
543243,12768,Sonny Gray,3.4026333725697517,152.3000030517578,28.0,28.0
519242,10603,Chris Sale,3.3246704713541892,121.0,20.0,20.0
605540,16162,Brandon Woodruff,3.276234543745531,138.3000030517578,25.0,28.0
506433,13074,Yu Darvish,3.2380773788445545,151.0,26.0,26.0
621244,14168,José Berríos,3.1352450732549615,180.3000030517578,31.0,31.0
605182,12808,Mike Clevinger,3.120135354062812,137.0,25.0,26.0
592332,14107,Kevin Gausman,3.117904176570665,151.3000030517578,26.0,27.0
571760,15423,Andrew Heaney,3.091442897870908,146.3000030517578,26.0,26.0
605397,12970,Joe Musgrove,3.0532524283971942,141.0,26.0,28.0
434378,8700,Justin Verlander,3.0202563821531276,145.0,23.0,23.0
668678,19291,Zac Gallen,3.013320655642369,163.6999969482422,29.0,29.0
554430,10310,Zack Wheeler,2.987008591999155,171.6999969482422,28.0,28.0
425844,1943,Zack Greinke,2.974268049517499,171.0,29.0,29.0
607192,14374,Tyler Glasnow,2.9390727889321657,134.0,25.0,25.0
593958,13164,Eduardo Rodriguez,2.911772782986646,164.0,28.0,29.0
605483,13543,Blake Snell,2.893861757996654,133.3000030517578,26.0,26.0
450203,4676,Charlie Morton,2.888958758160416,137.6999969482422,26.0,26.0
458681,2520,Lance Lynn,2.846313965252267,165.3000030517578,27.0,28.0
471911,6632,Carlos Carrasco,2.822286801268233,142.6999969482422,23.0,27.0
572020,11828,James Paxton,2.7768332443514963,120.69999694824219,23.0,23.0
659275,17186,Dinelson Lamet,2.7475007921162344,124.69999694824219,24.0,24.0
608331,13743,Max Fried,2.7460484746570684,145.0,26.0,29.0
547943,14444,Hyun Jin Ryu,2.7354762338253487,138.3000030517578,24.0,25.0
663978,20099,Chris Paddack,2.728548196657293,157.0,30.0,30.0
594835,15467,Marco Gonzales,2.717956735775187,159.0,27.0,28.0
592789,11762,Noah Syndergaard,2.633584896052538,126.69999694824219,21.0,21.0
572971,9434,Dallas Keuchel,2.625592166676194,153.3000030517578,26.0,26.0
605164,12917,Dylan Bundy,2.6177860311936985,160.0,28.0,28.0
543294,12049,Kyle Hendricks,2.6048517457420157,166.3000030517578,28.0,28.0
669203,19361,Corbin Burnes,2.579909370509445,115.69999694824219,18.0,38.0
641816,16358,Tyler Mahle,2.5579095427274314,138.0,27.0,28.0
501985,10021,Mike Minor,2.535830565113785,161.3000030517578,27.0,29.0
628317,18498,Kenta Maeda,2.4992415090645768,135.3000030517578,24.0,32.0
622663,15890,Luis Severino,2.4934388908109746,113.69999694824219,19.0,19.0
669160,19716,Dustin May,2.473073643596659,151.3000030517578,28.0,39.0
592662,11486,Robbie Ray,2.4421652009025507,151.6999969482422,29.0,30.0
571510,15440,Matthew Boyd,2.300451245053752,164.3000030517578,30.0,30.0
628711,14765,Julio Urías,2.231349117363843,118.69999694824219,16.0,45.0
571945,9803,Miles Mikolas,2.2278335234345232,151.0,26.0,26.0
592351,14916,Jon Gray,2.2269625127382238,133.6999969482422,25.0,25.0
656713,20186,Brendan McKay,2.1955709235791954,118.69999694824219,25.0,29.0
668676,19979,Zach Plesac,2.1731410473451467,148.6999969482422,27.0,27.0
547888,15764,Masahiro Tanaka,2.151626725659205,137.6999969482422,25.0,25.0
641154,17085,Pablo López,2.144011221218488,134.3000030517578,27.0,27.0
666200,19959,Jesús Luzardo,2.0805857268139576,112.30000305175781,20.0,27.0
647336,18383,Michael Soroka,2.072485976740137,120.30000305175781,21.0,21.0
593423,14309,Frankie Montas,2.066059512427833,129.0,24.0,25.0
664350,19680,Sixto Sánchez,2.0633977174692024,109.69999694824219,20.0,20.0
519144,2717,Rick Porcello,2.0260253741989547,154.0,27.0,27.0
605200,13183,Zach Davies,1.9840412507791687,152.6999969482422,29.0,29.0
663878,20160,Nate Pearson,1.9693675691523933,99.0,24.0,24.0
446372,2429,Corey Kluber,1.9520400148748107,119.0,20.0,20.0
663546,21481,Sean Hjelle,1.941244728024557,142.0,29.0,29.0
621107,13774,Zach Eflin,1.9410073230494935,151.0,27.0,29.0
665620,20276,Deivi García,1.9407105034962575,112.69999694824219,22.0,26.0
573186,13431,Marcus Stroman,1.921676198328764,123.0,21.0,21.0
663776,19447,Patrick Sandoval,1.9121145674211708,129.6999969482422,27.0,31.0
621121,14120,Lance McCullers Jr.,1.893481034350814,112.69999694824219,21.0,22.0
592826,11189,Vince Velasquez,1.8822103104593706,117.69999694824219,23.0,28.0
458676,7882,Josh Lindblom,1.8713990196499855,125.69999694824219,22.0,24.0
593334,17149,Domingo Germán,1.8705324752304255,127.30000305175781,22.0,26.0
,,,1.8543937931094026,158.6999969482422,27.0,27.0
642232,16502,Ryan Yarbrough,1.8306408342965115,158.3000030517578,19.0,34.0
656302,18525,Dylan Cease,1.8252643374015216,144.6999969482422,30.0,31.0
625643,16400,Reynaldo López,1.8211958354497442,148.0,28.0,28.0
607625,12447,Seth Lugo,1.812628601332195,127.30000305175781,23.0,23.0
