mlbam,fgid,name,war,ip,gs,g
694973,33677,Paul Skenes,5.752156450876019,188.10440063476562,30.780000686645508,30.780000686645508
669373,22267,Tarik Skubal,5.127143986479577,196.23399353027344,32.0,32.0
594798,10954,Jacob deGrom,5.078122487796683,152.0175018310547,25.920000076293945,25.920000076293945
676979,27463,Garrett Crochet,4.786253699384136,170.13819885253906,30.780000686645508,30.780000686645508
554430,10310,Zack Wheeler,4.544508950488888,198.51800537109375,32.0,32.0
519242,10603,Chris Sale,4.517564146519944,186.7720947265625,30.780000686645508,30.780000686645508
607192,14374,Tyler Glasnow,3.759867407424702,143.6885986328125,24.299999237060547,24.299999237060547
543243,12768,Sonny Gray,3.640312715554671,184.7655029296875,30.780000686645508,30.780000686645508
656302,18525,Dylan Cease,3.609477901547812,188.9936065673828,32.0,32.0
669203,19361,Corbin Burnes,3.6060657320018707,189.84860229492188,30.780000686645508,30.780000686645508
666142,21846,Cole Ragans,3.6006479540279903,182.63259887695312,30.780000686645508,30.780000686645508
641154,17085,Pablo López,3.592733165775648,193.10670471191406,32.0,32.0
657277,17995,Logan Webb,3.58100378636337,201.1092987060547,32.0,32.0
664285,17295,Framber Valdez,3.5308312149814163,184.5924072265625,29.15999984741211,29.15999984741211
605483,13543,Blake Snell,3.520859974815098,169.98219299316406,29.15999984741211,29.15999984741211
669302,22250,Logan Gilbert,3.4267913535917107,198.74180603027344,32.0,32.0
645261,18684,Sandy Alcantara,3.2822761497501745,188.82980346679688,29.15999984741211,29.15999984741211
808967,33825,Yoshinobu Yamamoto,3.2132752139843195,157.89599609375,27.540000915527344,27.540000915527344
608331,13743,Max Fried,3.2072844945965935,175.84039306640625,29.15999984741211,29.15999984741211
675911,27498,Spencer Strider,3.155881236076591,128.58050537109375,22.68000030517578,22.68000030517578
605400,16149,Aaron Nola,3.1279666395269228,187.6676025390625,30.780000686645508,30.780000686645508
650911,20778,Cristopher Sánchez,3.1160101616133504,169.77780151367188,29.15999984741211,29.15999984741211
657746,21390,Joe Ryan,3.113859326037825,159.70880126953125,27.540000915527344,27.540000915527344
650633,19853,Michael King,3.045815612720682,179.51930236816406,30.780000686645508,30.780000686645508
686613,25880,Hunter Brown,3.0384142178913534,167.53280639648438,29.15999984741211,29.15999984741211
642547,18679,Freddy Peralta,3.029304790114199,177.95770263671875,30.780000686645508,30.780000686645508
592332,14107,Kevin Gausman,2.981989413272795,193.23770141601562,32.0,32.0
684007,33829,Shota Imanaga,2.970409526534373,177.9658966064453,29.15999984741211,29.15999984741211
579328,20633,Yusei Kikuchi,2.897151551133568,176.10960388183594,30.780000686645508,30.780000686645508
669923,25436,George Kirby,2.8140161548888996,158.93539428710938,27.540000915527344,27.540000915527344
543135,9132,Nathan Eovaldi,2.795994092036644,175.96429443359375,29.15999984741211,29.15999984741211
657006,17312,Justin Steele,2.79525960434635,168.6132049560547,29.15999984741211,29.15999984741211
656557,19879,Tanner Houck,2.790300181411843,182.6842041015625,29.15999984741211,40.15999984741211
663556,21483,Shane McClanahan,2.759469017278943,149.60980224609375,24.299999237060547,32.29999923706055
808963,35323,Roki Sasaki,2.748345745652965,135.3856964111328,24.299999237060547,24.299999237060547
680885,31846,Spencer Schwellenbach,2.7388092979777547,171.93359375,29.15999984741211,29.15999984741211
622491,15689,Luis Castillo,2.735546203386455,184.326904296875,30.780000686645508,30.780000686645508
668881,22182,Hunter Greene,2.7337935904162274,172.0605010986328,29.15999984741211,29.15999984741211
621107,13774,Zach Eflin,2.70712871886637,175.85079956054688,29.15999984741211,29.15999984741211
625643,16400,Reynaldo López,2.7054103004505503,178.86050415039062,30.780000686645508,30.780000686645508
669022,22201,MacKenzie Gore,2.6761826184840944,174.38600158691406,30.780000686645508,30.780000686645508
607074,16137,Carlos Rodón,2.655420240062345,178.7032928466797,30.780000686645508,30.780000686645508
656427,17479,Jack Flaherty,2.6445665497132564,169.52090454101562,29.15999984741211,29.15999984741211
607625,12447,Seth Lugo,2.634971713985858,190.34140014648438,30.780000686645508,30.780000686645508
624133,17277,Ranger Suarez,2.6093394113371584,157.9416961669922,25.920000076293945,37.91999816894531
673540,31838,Kodai Senga,2.605172258345143,163.28880310058594,25.920000076293945,33.91999816894531
676440,30134,Tanner Bibee,2.57881724376602,173.45399475097656,29.15999984741211,29.15999984741211
605540,16162,Brandon Woodruff,2.578082276760953,156.67779541015625,25.920000076293945,25.920000076293945
668678,19291,Zac Gallen,2.5707185197660367,170.7115936279297,29.15999984741211,29.15999984741211
660271,19755,Shohei Ohtani,2.5255993085946584,120.78130340576172,21.059999465942383,21.059999465942383
641927,21224,Bailey Ober,2.428086267360659,171.0402069091797,29.15999984741211,29.15999984741211
