mlbam,fgid,name,war,ip,gs,g
669373,22267,Tarik Skubal,5.513861512083966,170.3000030517578,28.0,28.0
657277,17995,Logan Webb,4.49969535410291,196.0,32.0,32.0
676979,27463,Garrett Crochet,4.189652376063917,135.6999969482422,29.0,29.0
554430,10310,Zack Wheeler,4.149854072058179,175.6999969482422,28.0,28.0
669203,19361,Corbin Burnes,4.041974130802261,182.0,30.0,30.0
605400,16149,Aaron Nola,3.690715284539747,184.3000030517578,30.0,30.0
694973,33677,Paul Skenes,3.617536871563969,156.0,30.0,30.0
669923,25436,George Kirby,3.56614641775592,173.3000030517578,30.0,30.0
656302,18525,Dylan Cease,3.555759865480577,175.6999969482422,32.0,32.0
808967,33825,Yoshinobu Yamamoto,3.5256895005214557,145.6999969482422,24.0,24.0
519242,10603,Chris Sale,3.426362420726041,138.3000030517578,24.0,24.0
669302,22250,Logan Gilbert,3.3510856157213613,189.3000030517578,32.0,32.0
675911,27498,Spencer Strider,3.287546038454221,125.69999694824219,22.0,24.0
608331,13743,Max Fried,3.259123170378824,162.0,27.0,27.0
605483,13543,Blake Snell,3.1823245703192726,133.0,26.0,26.0
641154,17085,Pablo López,3.17296852600709,173.0,30.0,30.0
645261,18684,Sandy Alcantara,3.146388249932723,157.6999969482422,24.0,24.0
607192,14374,Tyler Glasnow,3.035028509066879,124.0,22.0,22.0
668881,22182,Hunter Greene,3.0125029083751564,154.6999969482422,27.0,27.0
650633,19853,Michael King,3.008852034493026,162.6999969482422,28.0,29.0
680885,31846,Spencer Schwellenbach,2.93521631982062,148.3000030517578,27.0,27.0
666142,21846,Cole Ragans,2.93086405267704,155.6999969482422,27.0,30.0
664285,17295,Framber Valdez,2.873440975094545,170.0,27.0,27.0
650911,20778,Cristopher Sánchez,2.8393960068720245,161.3000030517578,28.0,29.0
656557,19879,Tanner Houck,2.806583204675461,154.0,26.0,28.0
592332,14107,Kevin Gausman,2.7824996907727755,161.3000030517578,28.0,28.0
624133,17277,Ranger Suarez,2.7387663173203705,145.6999969482422,26.0,28.0
657006,17312,Justin Steele,2.719632752874455,140.6999969482422,25.0,26.0
694297,27782,Brandon Pfaadt,2.7073760541800023,160.0,28.0,28.0
676440,30134,Tanner Bibee,2.670266021442682,161.0,29.0,29.0
622491,15689,Luis Castillo,2.5983594172017703,167.3000030517578,29.0,29.0
641482,17874,Nestor Cortes,2.5846640383472748,154.0,26.0,28.0
680694,24586,Kyle Bradish,2.547419492411944,129.6999969482422,24.0,24.0
543037,13125,Gerrit Cole,2.4959465024431964,144.0,25.0,25.0
678394,23920,Brayan Bello,2.4925306822306244,153.6999969482422,28.0,29.0
605280,13649,Clay Holmes,2.4459025021220717,118.69999694824219,17.0,25.0
686613,25880,Hunter Brown,2.4268174950241623,150.0,26.0,29.0
641927,21224,Bailey Ober,2.368337740412873,159.0,29.0,29.0
672282,27468,Reid Detmers,2.3594907347282637,151.0,27.0,27.0
684007,33829,Shota Imanaga,2.357117912099851,150.6999969482422,27.0,27.0
663556,21483,Shane McClanahan,2.3562321237689345,110.69999694824219,19.0,19.0
657746,21390,Joe Ryan,2.323655429806117,134.3000030517578,24.0,24.0
607074,16137,Carlos Rodón,2.3229649187916177,149.6999969482422,27.0,27.0
543243,12768,Sonny Gray,2.3146089886092067,146.0,26.0,26.0
607259,12730,Nick Martinez,2.305516649262001,120.0,13.0,43.0
669022,22201,MacKenzie Gore,2.302205051698543,145.0,28.0,28.0
808963,35323,Roki Sasaki,2.296744627150475,111.0,21.0,21.0
642547,18679,Freddy Peralta,2.2930577880058056,157.0,29.0,29.0
621107,13774,Zach Eflin,2.2921518842596513,147.3000030517578,25.0,26.0
668678,19291,Zac Gallen,2.260746285255531,161.6999969482422,28.0,28.0
656605,17594,Mitch Keller,2.253087480326723,168.6999969482422,29.0,29.0
625643,16400,Reynaldo López,2.243152664234879,121.30000305175781,20.0,33.0
693433,30279,Bryan Woo,2.2074198841820283,124.69999694824219,26.0,26.0
682243,29837,Bryce Miller,2.1722256513143847,158.3000030517578,29.0,29.0
607625,12447,Seth Lugo,2.1623448961653255,161.6999969482422,26.0,30.0
656427,17479,Jack Flaherty,2.1461234165898713,136.0,25.0,25.0
805673,31827,Zebby Matthews,2.1319846878280235,123.69999694824219,25.0,26.0
683003,27863,Jared Jones,2.1252138882931724,130.3000030517578,25.0,25.0
673540,31838,Kodai Senga,2.1225707007466936,138.3000030517578,24.0,24.0
680570,24492,Grayson Rodriguez,2.1087548325822003,122.30000305175781,22.0,22.0
621111,19374,Walker Buehler,2.088156250053224,124.0,25.0,25.0
663903,25377,Brady Singer,2.0218474736090633,156.6999969482422,28.0,28.0
579328,20633,Yusei Kikuchi,1.989848379175469,142.3000030517578,27.0,28.0
543135,9132,Nathan Eovaldi,1.9644904886199201,144.0,25.0,25.0
669456,19427,Shane Bieber,1.9595123188151653,119.0,20.0,20.0
605135,12304,Chris Bassitt,1.9041909811384263,155.3000030517578,27.0,27.0
453286,3137,Max Scherzer,1.8975533142908043,107.69999694824219,20.0,20.0
621244,14168,José Berríos,1.8703092371215833,173.0,29.0,29.0
694813,27792,Gavin Stone,1.8587886947633898,124.0,22.0,24.0
663776,19447,Patrick Sandoval,1.8066358069578237,104.30000305175781,20.0,20.0
700241,29869,Michael McGreevy,1.7629064944579023,153.3000030517578,28.0,29.0
