mlbam,fgid,name,war,pa
575929,11609,Willson Contreras,0.8450138744060545,170.0
572122,9785,Kyle Seager,0.832105978485864,199.0
647351,19844,Abraham Toro,0.8277019274850729,230.0
594809,11205,Adam Eaton,0.8110622577829514,212.0
621439,14161,Byron Buxton,0.8054173747973649,145.0
656941,16478,Kyle Schwarber,0.7984028822467005,202.0
519058,4892,Mike Moustakas,0.7909447861985608,210.0
664056,18030,Harrison Bader,0.7841073053330934,180.0
609275,13769,Adalberto Mondesi,0.7834297668032933,185.0
521692,7304,Salvador Perez,0.7808344882595362,159.0
624585,14221,Jorge Soler,0.7794724477853268,208.0
664040,18882,Brandon Lowe,0.7749293182835384,174.0
650391,17484,Eloy Jiménez,0.7710262765224632,207.0
624428,15223,Adam Frazier,0.7515959646011663,214.0
516416,5933,Jean Segura,0.7498856666707053,232.0
514917,10556,César Hernández,0.7415560401250807,242.0
621035,13757,Chris Taylor,0.74010690114399,190.0
666198,19958,Carter Kieboom,0.7325377284286252,208.0
608348,13620,Carson Kelly,0.7320964466593306,139.0
595777,10815,Jurickson Profar,0.7255156994872042,194.0
624577,14225,Yasiel Puig,0.7228520013622483,207.0
605137,13145,Josh Bell,0.7150347126601841,225.0
656669,16424,Jordan Luplow,0.7149037849153799,159.0
663757,18564,Trent Grisham,0.7115173419527665,215.0
547379,2900,Roberto Pérez,0.7079274439277602,138.0
596129,14130,Daniel Vogelbach,0.7074727192037055,199.0
669256,19294,Nick Solak,0.7063998722455427,224.0
572821,9810,Brian Dozier,0.6973889685535786,198.0
641487,15491,J.P. Crawford,0.6959651128300918,201.0
571466,10200,Tucker Barnhart,0.6946921929267668,154.0
592192,11445,Mark Canha,0.6911633727447377,171.0
660294,27459,Yoshi Tsutsugo,0.6879173544801448,206.0
553902,15608,Willians Astudillo,0.6860103970215059,123.0
453568,7859,Charlie Blackmon,0.680885759704973,234.0
641820,15149,Trey Mancini,0.680670708151867,239.0
650490,16578,Yandy Díaz,0.6796948846265887,174.0
641313,15172,Tim Anderson,0.6793859934515231,226.0
598265,12984,Jackie Bradley Jr.,0.6788086897754382,198.0
458015,4314,Joey Votto,0.6787010810530141,208.0
664761,21618,Alec Bohm,0.6770120065411652,208.0
592669,15464,Hunter Renfroe,0.6751505968525832,187.0
455139,3142,Robinson Chirinos,0.6720358844239792,136.0
663611,20521,Nick Madrigal,0.6684997030808195,197.0
660271,19755,Shohei Ohtani,0.6662418776781986,156.0
664034,17982,Ty France,0.663393004379856,212.0
425877,7007,Yadier Molina,0.6623809571756842,161.0
666134,20529,Nolan Jones,0.6608868303185503,206.0
605480,13608,Mallex Smith,0.6582978446890683,217.0
457705,9847,Andrew McCutchen,0.6571099714156675,182.0
500743,7802,Miguel Rojas,0.6544510903267232,186.0
467092,1433,Wilson Ramos,0.6543920035499761,171.0
642708,15518,Amed Rosario,0.6532529708690472,235.0
663993,19566,Nathaniel Lowe,0.65240545576043,207.0
657077,17027,Alex Verdugo,0.6372460352961911,176.0
622534,14712,Manuel Margot,0.6322308862654767,190.0
570731,11265,Jonathan Schoop,0.629671224214384,203.0
516770,4579,Starlin Castro,0.6285570470303338,236.0
670623,20036,Isaac Paredes,0.626800299790944,208.0
607043,12927,Brandon Nimmo,0.6264472026397881,159.0
645801,15585,Mike Ford,0.6203497921839292,182.0
592206,11737,Nick Castellanos,0.6201530228030939,247.0
543305,5297,Aaron Hicks,0.6181139854039066,146.0
607680,12434,Kevin Pillar,0.6169678966768306,224.0
608365,14106,Addison Russell,0.6165990379396667,157.0
572039,13367,Stephen Piscotty,0.6162875541591846,181.0
543068,12546,C.J. Cron,0.616112649044096,185.0
663586,18360,Austin Riley,0.6127946764322629,191.0
542454,10322,Danny Santana,0.6101890946509894,179.0
663647,18577,Ke'Bryan Hayes,0.6012049551119107,190.0
677551,23667,Wander Franco,0.5982974694616924,183.0
666185,20126,Dylan Carlson,0.5927553957229568,208.0
543510,12859,James McCann,0.5922284766377434,166.0
668670,19452,Jake Rogers,0.5878912181744209,158.0
621563,13853,Joey Wendle,0.5869222042606939,169.0
662139,19918,Daulton Varsho,0.585283770925723,168.0
668942,19734,Josh Rojas,0.5805871161621213,216.0
594777,11200,Kole Calhoun,0.5780703876825852,215.0
673451,27461,Shogo Akiyama,0.5700968272240918,243.0
621020,18314,Dansby Swanson,0.5682165441262284,210.0
664023,17919,Ian Happ,0.5616463026331536,204.0
576397,10816,Jedd Gyorko,0.5538101250420456,129.0
542255,4922,Ender Inciarte,0.549160409470186,202.0
668939,26288,Adley Rutschman,0.5477286152189086,238.0
656821,16593,Kevin Padlo,0.547376439504478,171.0
664702,17620,Myles Straw,0.5412002621238516,196.0
664058,17992,David Fletcher,0.5318603300442313,234.0
670712,19683,Mike Brosseau,0.5317246311322945,168.0
669221,19352,Sean Murphy,0.5313804746956554,114.0
668800,19514,Andrew Knizner,0.5244904288624754,138.0
641914,19635,Sheldon Neuse,0.5229868399749021,218.0
669720,19363,Austin Hays,0.5150178055096625,187.0
429665,2151,Edwin Encarnación,0.5102246730947628,168.0
672386,22581,Alejandro Kirk,0.5061356563219498,139.0
518595,7739,Travis d'Arnaud,0.5058857538692945,141.0
621028,17696,Kevin Newman,0.5045419524002649,218.0
643376,16535,Danny Jansen,0.5043610468879607,151.0
593643,11902,Hanser Alberto,0.5035071834810202,194.0
462101,8709,Elvis Andrus,0.5031169243950662,227.0
444482,2136,David Peralta,0.49889071998218404,182.0
542932,12037,Jon Berti,0.49542294192826103,134.0
578428,10231,Jose Iglesias,0.4935531060896825,192.0
657247,16680,Brian O'Keefe,0.4931563122924324,132.0
670764,22458,Taylor Walls,0.49196092173831296,179.0
541645,5760,Avisaíl García,0.4910194019102745,193.0
543401,9776,Jason Kipnis,0.4909260133959943,189.0
553882,13338,Omar Narváez,0.4880162210890434,155.0
573262,14854,Mike Yastrzemski,0.4878399125719047,190.0
545341,10243,Randal Grichuk,0.484846734936091,212.0
670032,19339,Nicky Lopez,0.48399293163635604,207.0
453943,785,Todd Frazier,0.4835972954062856,186.0
620439,15519,Franklin Barreto,0.48160249278708844,188.0
664119,18083,Austin Allen,0.48115571847828054,167.0
605131,12158,Austin Barnes,0.47892803025875974,118.0
488671,7476,Alex Avila,0.4780841990425908,90.0
641796,15124,Tim Locastro,0.47370139559109126,169.0
595909,14477,Jake Cave,0.4735228070305521,182.0
543063,5343,Brandon Crawford,0.47296819742465723,198.0
474832,10264,Brandon Belt,0.47085482745105095,193.0
503556,5497,Marwin Gonzalez,0.4686299038703836,180.0
650859,19858,Luis Rengifo,0.46771176519302715,208.0
572041,9256,AJ Pollock,0.4673469999383748,149.0
476704,4418,Jed Lowrie,0.46670428960008187,187.0
621500,14555,Wyatt Mathisen,0.4665359372230009,140.0
546318,11476,Odúbel Herrera,0.4656076702201187,187.0
595978,12976,Austin Hedges,0.4630728328550433,135.0
614177,14566,Franmil Reyes,0.4626325239273771,206.0
452678,4962,Asdrúbal Cabrera,0.4597805741347346,186.0
547989,15676,José Abreu,0.4588354124673709,237.0
660688,19610,Keibert Ruiz,0.4583434202621393,147.0
605196,16211,Kevin Cron,0.45722893325732855,178.0
605170,14968,Victor Caratini,0.4558249428113331,132.0
608596,13499,Tom Murphy,0.45573387465706205,111.0
608703,13788,Matt Reynolds,0.45219770350488986,151.0
594807,10950,Adam Duvall,0.44900330001278366,198.0
488771,8722,Jason Castro,0.44686067307151256,107.0
641531,15117,Hunter Dozier,0.44507705834889044,212.0
542513,10067,Tomás Telis,0.43856321793083264,131.0
572816,10762,Corey Dickerson,0.43712196694591227,175.0
642082,15694,Chance Sisco,0.4332479323848406,147.0
663898,17907,Brendan Rodgers,0.432115873718645,141.0
663538,21479,Nico Hoerner,0.42524610625340903,188.0
643289,16530,Mauricio Dubón,0.42400473797018057,229.0
446334,9368,Evan Longoria,0.4239097883663879,194.0
572233,13419,Christian Walker,0.4212056157000265,205.0
641432,17838,Willie Calhoun,0.4204180189116198,204.0
622666,14950,Johan Camargo,0.41915001058726786,164.0
596059,12282,Rougned Odor,0.4184779790072377,223.0
518618,10542,Derek Dietrich,0.41791295030378617,158.0
621493,17548,Taylor Ward,0.41664409703128064,202.0
641470,19181,Zack Collins,0.4159857307223691,170.0
519346,3711,Eric Thames,0.41512421456013987,157.0
680777,24618,Ryan Jeffers,0.4134598092582046,149.0
624512,15674,Reese McGuire,0.4129069203978582,139.0
