Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",48,210,189,54,33,12,2,8,30,27,17,2,36,1,1,0,,12,3,0.286317,0.0826142,0.17409,0.474548,0.348466,0.494834,0.361228,0.843301,0.208518,6.98354,0.316017,0,0.934671,32.5524,7.59452,129.971,0.934671,3.72035,8.264908254146576,5.708872318267822,2.17566,3.0999999046325684,,,,,,,303.2,6.316666666,303.2,6.316666666,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Aaron Judge","NYY",42,182,148,41,21,7,0,13,31,33,32,6,47,2,1,0,,3,1,0.280619,0.174594,0.257014,0.679319,0.411424,0.591374,0.41843,1.0028,0.310755,3.82549,0.32289,0,-0.141514,36.7116,15.038,173.942,-0.141514,1.20186,15.56307552754879,-0.9129267930984497,2.14435,1.850000023841858,,,,,,,329,7.833333333,329,7.833333333,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Pete Crow-Armstrong","CHC",52,214,192,51,30,9,2,10,32,31,16,1,54,4,1,2,,11,3,0.265523,0.0753784,0.251927,0.299207,0.33279,0.488018,0.352763,0.820808,0.222494,7.46719,0.319559,0,0.749188,31.8344,6.29849,124.359,0.749188,6.01123,7.092081904411316,6.780881464481354,2.11328,32.939998626708984,,,,,,,297.6,5.723076923,297.6,5.723076923,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shohei Ohtani","LAD",51,230,194,56,30,10,1,15,41,40,32,6,55,2,2,0,,7,1,0.286254,0.13737,0.238132,0.576866,0.388208,0.577545,0.403574,0.965753,0.291291,6.25026,0.32405,0,0.576828,43.5627,16.2107,157.031,0.576828,0,16.483056962490082,-5.2355265617370605,1.89738,1.2699999809265137,,,,,,,407.8,7.996078431,407.8,7.996078431,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",51,223,195,54,36,10,1,8,32,27,23,1,44,2,2,0,,9,3,0.276349,0.105414,0.198728,0.530443,0.357662,0.451903,0.352524,0.809565,0.175554,5.4402,0.319618,0,0.322447,33.0103,6.49645,126.114,0.322447,2.92636,7.382653385400772,1.7252557277679443,1.65726,14.010000228881836,,,,,,,301,5.901960784,301,5.901960784,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Juan Soto","NYM",47,203,163,45,26,7,1,11,31,31,38,3,33,1,1,0,,6,1,0.273305,0.186648,0.164066,1.13764,0.409969,0.529383,0.401864,0.939352,0.256078,4.91454,0.278604,0,0.281975,38.2949,14.0734,158.635,0.281975,-1.89113,14.764031022787094,-5.075845003128052,1.65264,4.650000095367432,,,,,,,344,7.319148936,344,7.319148936,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Yordan Alvarez","HOU",41,175,148,45,25,8,0,11,26,28,24,5,31,2,1,0,,1,0,0.30277,0.136238,0.174924,0.77884,0.404811,0.581266,0.413679,0.986077,0.278496,2.23621,0.315811,0,-0.235309,34.6684,13.8024,170.077,-0.235309,-0.292946,14.093766495585442,-4.309759855270386,1.62645,33.38999938964844,,,,,,,310.5,7.573170731,310.5,7.573170731,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Junior Caminero","TBR",53,222,201,55,32,9,0,13,29,37,19,2,41,1,1,0,,2,1,0.27387,0.0871118,0.185476,0.469666,0.339164,0.517091,0.365512,0.856255,0.243221,3.20624,0.284829,0,-0.179938,35.3085,8.82982,135.122,-0.179938,-2.18509,8.933256983757019,-1.4066326022148132,1.56828,16.479999542236328,,,,,,,316.3,5.967924528,316.3,5.967924528,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Julio Rodríguez","SEA",49,214,194,52,33,9,0,9,29,29,15,1,46,3,1,0,,8,2,0.266447,0.0717809,0.216745,0.331177,0.327687,0.45506,0.338415,0.782748,0.188613,5.30536,0.305194,0,0.481778,29.2344,3.78975,123.838,0.481778,0.94697,6.425498008728027,1.3005250692367554,1.55705,9.489999771118164,,,,,,,271.5,5.540816326,271.5,5.540816326,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Elly De La Cruz","CIN",50,216,192,52,31,10,2,9,33,29,21,1,58,1,1,0,,12,3,0.267873,0.0958245,0.270455,0.354308,0.34005,0.475195,0.351333,0.815245,0.207322,7.4512,0.339313,0,0.875894,31.761,6.08341,116.841,0.875894,0.7731,5.285390794277191,2.754731774330139,1.52586,8.449999809265137,,,,,,,304.6,6.092,304.6,6.092,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Corbin Carroll","ARI",50,217,189,48,26,9,5,8,35,28,23,1,48,3,1,0,,10,2,0.25449,0.107926,0.22219,0.485738,0.344406,0.487112,0.357574,0.831517,0.232622,8.1577,0.297487,0,1.05004,33.1259,7.23445,124.841,1.05004,2.53894,7.608440279960632,0.22307300567626953,1.51063,14.100000381469727,,,,,,,301,6.02,301,6.02,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Wyatt Langford","TEX",42,175,156,42,24,8,1,8,25,24,17,1,39,1,1,0,,6,1,0.269544,0.0993271,0.223486,0.444444,0.346246,0.491474,0.361216,0.83772,0.221931,5.78707,0.310496,0,0.354669,27.189,6.34191,134.464,0.354669,2.50625,7.395393639802933,0.8696044683456421,1.47188,37.75,,,,,,,245.9,5.854761904,245.9,5.854761904,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Gunnar Henderson","BAL",51,221,197,50,30,10,2,9,31,26,20,1,49,3,1,0,,6,2,0.253139,0.0919431,0.221692,0.414733,0.329245,0.451904,0.338667,0.781148,0.198765,6.03754,0.293744,0,0.258314,30.328,3.97084,118.834,0.258314,-0.481352,5.122926890850067,1.3124825656414032,1.45395,12.510000228881836,,,,,,,282.8,5.545098039,282.8,5.545098039,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Cody Bellinger","NYY",49,205,183,49,31,9,1,7,27,29,20,1,31,1,2,0,,4,2,0.267255,0.0963592,0.151009,0.638102,0.338949,0.446169,0.341398,0.785119,0.178914,5.11197,0.285963,0,-0.108045,28.5472,4.13232,120.41,-0.108045,3.83263,4.775185152888298,1.933344841003418,1.42258,80.98999786376953,,,,,,,254,5.183673469,254,5.183673469,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"James Wood","WSN",51,225,191,51,28,12,1,11,35,32,31,3,66,1,1,0,,6,2,0.265274,0.138247,0.292654,0.472391,0.369547,0.502872,0.374308,0.872419,0.237598,5.17995,0.344903,0,0.124325,37.32,10.536,137.005,0.124325,-0.600193,10.230799064040184,-3.5803579688072205,1.4156,37.790000915527344,,,,,,,340.3,6.672549019,340.3,6.672549019,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Cal Raleigh","SEA",46,188,163,35,18,6,0,11,22,29,23,2,55,1,1,0,,2,1,0.212594,0.120721,0.290071,0.416179,0.312156,0.443599,0.325771,0.755754,0.231005,2.68208,0.243214,0,-0.147657,23.8061,1.40754,115.051,-0.147657,2.45819,3.1559914350509644,4.022017002105713,1.40886,18.729999542236328,,,,,,,226.8,4.930434782,226.8,4.930434782,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
