Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC",51,222,198,53,31,10,2,10,33,32,17,1,56,4,1,2,,12,3,0.265523,0.0753784,0.251927,0.299207,0.33279,0.488018,0.352763,0.820808,0.222494,7.46719,0.319559,0,0.774477,32.909,6.5111,124.359,0.774477,5.95837,7.331482768058777,6.75003308057785,2.15829,32.939998626708984,,,,,,,310.6,6.090196078,310.6,6.090196078,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Bobby Witt Jr.","KCR",44,190,172,49,30,11,2,7,27,24,16,2,33,1,1,0,,11,3,0.286317,0.0826142,0.17409,0.474548,0.348466,0.494834,0.361228,0.843301,0.208518,6.98354,0.316017,0,0.847728,29.5244,6.88808,129.971,0.847728,3.38088,7.496109247207642,5.417457342147827,1.99757,3.0999999046325684,,,,,,,275,6.25,275,6.25,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",46,198,167,51,29,9,0,12,29,32,27,6,35,3,1,0,,1,0,0.30277,0.136238,0.174924,0.77884,0.404811,0.581267,0.413679,0.986077,0.278496,2.23621,0.315811,0,-0.265545,39.123,15.5759,170.077,-0.265545,-0.0296088,15.904737144708633,-4.716028744354844,1.8504,33.38999938964844,,,,,,,349.4,7.595652173,349.4,7.595652173,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",51,219,186,53,28,10,1,14,39,38,30,6,52,2,2,0,,7,1,0.286254,0.13737,0.238132,0.576866,0.388208,0.577545,0.403574,0.965753,0.291291,6.25026,0.32405,0,0.550846,41.6005,15.4805,157.031,0.550846,0,15.740601003170013,-5.483333110809326,1.76288,1.2699999809265137,,,,,,,383.6,7.521568627,383.6,7.521568627,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Wyatt Langford","TEX",48,205,183,49,29,10,1,9,29,29,20,1,46,2,1,0,,7,2,0.269544,0.0993271,0.223486,0.444444,0.346246,0.491474,0.361216,0.83772,0.221931,5.78707,0.310496,0,0.416013,31.8916,7.43881,134.464,0.416013,2.72662,8.67451298236847,0.6599569320678711,1.68995,37.75,,,,,,,284.4,5.925,284.4,5.925,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Kevin McGonigle","DET",51,222,193,51,33,11,2,6,31,25,27,0,30,1,1,0,,4,1,0.265013,0.121424,0.134875,0.900272,0.357416,0.428672,0.346838,0.786088,0.163659,5.25241,0.286577,0,-0.0313504,31.9122,5.45767,122.787,-0.0313504,0.712113,5.876065492630005,2.585107207298279,1.66229,999,,,,,,,281.1,5.511764705,281.1,5.511764705,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Francisco Lindor","NYM",51,222,197,50,31,9,1,8,32,28,21,1,40,4,1,0,,7,1,0.253779,0.0928041,0.181687,0.510791,0.333855,0.442915,0.339172,0.77677,0.189136,5.97084,0.27829,0,0.392369,30.5311,4.0766,116.767,0.392369,1.99044,4.915345638990402,4.206949353218079,1.65708,25.350000381469727,,,,,,,275.5,5.401960784,275.5,5.401960784,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",51,220,200,53,34,9,0,9,30,30,16,1,48,3,1,0,,8,2,0.266447,0.0717809,0.216745,0.331177,0.327687,0.45506,0.338415,0.782748,0.188613,5.30536,0.305194,0,0.495735,30.0813,3.89954,123.838,0.495735,0.951682,6.611647516489029,1.5405709743499756,1.62267,9.489999771118164,,,,,,,274.1,5.374509803,274.1,5.374509803,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Elly De La Cruz","CIN",52,226,202,54,32,10,2,9,35,30,22,1,61,1,1,0,,13,3,0.267873,0.0958245,0.270455,0.354308,0.34005,0.475195,0.351333,0.815245,0.207322,7.4512,0.339313,0,0.917141,33.2566,6.36988,116.841,0.917141,0.789681,5.534283876419067,2.954032778739929,1.60477,8.449999809265137,,,,,,,310.7,5.975,310.7,5.975,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Junior Caminero","TBR",53,228,206,56,33,10,0,13,30,38,20,2,42,1,1,0,,2,1,0.27387,0.0871118,0.185476,0.469666,0.339164,0.517091,0.365512,0.856255,0.243221,3.20624,0.284829,0,-0.184635,36.23,9.06029,135.122,-0.184635,-2.09776,9.166422963142395,-1.5545501112937927,1.59794,16.479999542236328,,,,,,,322.8,6.090566037,322.8,6.090566037,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
