Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis García Jr.","WSN",43,186,173,48,31,9,1,7,23,24,10,1,29,1,1,0,,4,1,0.275367,0.0560921,0.159022,0.352731,0.315909,0.458515,0.333385,0.774424,0.183148,4.74971,0.295077,-0.00600667,-0.0881321,24.6244,2.53349,109.674,-0.0941388,0.172936,2.085078775882721,-3.3031449168920517,0.487969,261.8500061035156,,,,,,,231.2,5.376744186,231.2,5.376744186,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Jake Cronenworth","SDP",45,194,168,39,26,8,1,4,23,19,20,0,39,4,1,1,,2,1,0.229516,0.101328,0.199403,0.508157,0.321006,0.359572,0.305158,0.680579,0.130056,4.4745,0.271273,0.018592,-0.140013,21.2752,-1.78826,94.4813,-0.121421,-0.2062,-1.4192899391055107,-0.08120052516460419,0.486256,738.2999877929688,,,,,,,189.9,4.22,189.9,4.22,,,,,,,,,,,,,,,,,,,"Jake Cronenworth","18036",630105
"Colt Emerson","SEA",45,195,174,38,25,8,1,4,21,19,15,0,54,3,1,1,,4,1,0.217112,0.0783533,0.275976,0.283913,0.290473,0.344676,0.283702,0.635149,0.127564,4.96152,0.284655,-0.0131497,0.0961515,17.9971,-5.18464,85.8157,0.0830018,-1.10244,-3.139227479696274,0.9504965543746948,0.483058,999,,,,,,,164.1,3.646666666,164.1,3.646666666,,,,,,,,,,,,,,,,,,,"Colt Emerson","33575",806068
"Marcus Semien","NYM",40,172,154,36,24,6,0,5,19,19,15,0,32,1,1,1,,3,1,0.231014,0.0860613,0.184489,0.466486,0.300333,0.372418,0.29754,0.672751,0.141404,4.45363,0.258567,0.0482375,0.128371,17.8074,-2.64714,88.9631,0.176609,0.636526,-2.125395819544792,1.2499514818191528,0.477411,266.25,,,,,,,162.9,4.0725,162.9,4.0725,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
"Lawrence Butler","ATH",40,173,154,37,23,8,1,6,21,21,16,0,45,0,1,1,,5,1,0.241899,0.0945299,0.260216,0.363275,0.313525,0.41153,0.317405,0.725054,0.169631,5.48739,0.302193,0.0937523,0.35798,20.6832,0.120643,99.7189,0.451733,-0.428664,0.3950977250933647,-1.878663718700409,0.474899,157.22000122070312,,,,,,,193.2,4.83,193.2,4.83,,,,,,,,,,,,,,,,,,,"Lawrence Butler","22542",671732
"Alec Bohm","PHI",42,183,167,44,30,9,0,5,21,21,12,0,30,2,1,1,,1,0,0.261465,0.0650148,0.162189,0.400859,0.314996,0.400207,0.313527,0.715203,0.138742,3.23304,0.290896,-0.0445282,-0.178629,21.37,-0.448144,94.8089,-0.223157,-0.352666,-1.378057986497879,0.056285083293914795,0.469906,239.8699951171875,,,,,,,196.4,4.676190476,196.4,4.676190476,,,,,,,,,,,,,,,,,,,"Alec Bohm","21618",664761
"Carson Kelly","CHC",33,131,115,27,19,5,0,4,14,14,13,0,25,1,1,1,,1,0,0.236765,0.0971062,0.191953,0.505885,0.31771,0.371713,0.306872,0.689423,0.134948,2.76084,0.271422,-0.12528,-0.132996,14.5657,-1.02694,93.7117,-0.258276,-0.507775,-1.2580953538417816,1.6338921189308167,0.469691,591.9099731445312,,,,,,,132.2,4.006060606,132.2,4.006060606,,,,,,,,,,,,,,,,,,,"Carson Kelly","13620",608348
"Isaac Collins","KCR",37,160,138,34,22,7,1,3,21,16,18,0,33,2,1,1,,5,2,0.242655,0.112373,0.206892,0.543147,0.336672,0.376171,0.318507,0.712843,0.133516,6.02305,0.296313,0.0301438,0.0758417,19.3461,0.255202,100.284,0.105985,0.449992,0.15902817249298096,-1.2676005363464355,0.468163,666.1699829101562,,,,,,,170.5,4.608108108,170.5,4.608108108,,,,,,,,,,,,,,,,,,,"Isaac Collins","25477",686555
"Matt McLain","CIN",35,150,131,30,19,6,0,5,17,17,15,0,41,2,1,1,,5,1,0.228514,0.0996054,0.271462,0.366922,0.313851,0.38716,0.310577,0.701011,0.158645,4.8583,0.291282,0.0240203,0.275855,17.1056,-0.724508,89.622,0.299875,0.688574,-1.5869724750518799,1.3251478672027588,0.466981,144.3000030517578,,,,,,,159.1,4.545714285,159.1,4.545714285,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Braden Montgomery","CHW",41,178,159,37,24,8,1,4,20,18,16,0,48,2,1,1,,2,1,0.231804,0.0875641,0.266573,0.328481,0.306257,0.372686,0.300921,0.678943,0.140882,4.40765,0.301118,0,-0.281845,18.9682,-2.25819,90.872,-0.281845,2.25052,-2.1805308163166046,0.4086945056915283,0.46586,999,,,,,,,169.7,4.13902439,169.7,4.13902439,,,,,,,,,,,,,,,,,,,"Braden Montgomery","35423",695731
