Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",44.82,203.094,182.156,52.9918,31.7831,11.7182,1.2526,8.2379,31.0035,26.8989,16.8365,2.0309,34.2818,1.8278,1.4107,0.8631,,11.3113,3.4941,0.290914,0.0828999,0.168797,0.491121,0.354328,0.504671,0.36719,0.858998,0.213757,6.49461,0.317297,0.668,0.542553,32.5279,8.34173,134.115,1.21055,2.022,9.296167612075806,4.263000011444092,2.11015,3.0999999046325684,,,,,,,300,6.666666666,300,6.666666666,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",50,224.752,203.106,55.0025,34.6684,9.6921,0.54,10.1019,30.9366,30.3723,16.4069,0.899,47.5471,2.9218,1.5897,0.7276,,7.3961,2.1349,0.270807,0.0730001,0.211554,0.345066,0.3318,0.473055,0.347281,0.804854,0.202248,5.047,0.305349,0.211,0.295721,32.3678,5.60254,129.999,0.506721,1.554,8.375029683113098,2.1790000200271606,1.88392,9.489999771118164,,,,,,,298.4,5.968,298.4,5.968,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",51.85,228.92,204.363,55.8624,31.5191,9.4826,0.4261,14.4346,32.6822,38.3681,21.198,2.2892,42.4665,1.3735,1.6588,0.3274,,1.7395,0.6207,0.27335,0.0925999,0.185508,0.49917,0.343116,0.535817,0.372677,0.878934,0.262468,3.31815,0.277815,-0.05,-0.201479,37.6829,10.4212,140.101,-0.251479,-0.901,10.461495459079742,-0.3250000476837158,1.85668,16.479999542236328,,,,,,,334.3,6.428846153,334.3,6.428846153,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Yordan Alvarez","HOU",46.64,210.677,174.718,52.0582,29.5858,9.8935,0.2858,12.293,34.8569,32.2366,30.7377,6.7417,36.2364,2.9495,1.4783,0.7936,,0.7846,0.2588,0.297956,0.1459,0.172,0.848255,0.408539,0.568931,0.409757,0.97747,0.270974,2.71969,0.311477,-0.478,-0.269354,41.015,15.9259,167.352,-0.747354,-0.072,15.811781704425812,-5.230999916791916,1.83566,33.38999938964844,,,,,,,361.9,7.7,361.9,7.7,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Pete Crow-Armstrong","CHC",50.93,223.587,199.852,50.1954,29.4804,9.26,2.2085,9.2465,31.2462,27.4644,17.7304,1.1179,56.0385,3.3538,1.4768,1.1735,,11.7578,3.2394,0.251163,0.0792999,0.250634,0.316397,0.320483,0.458398,0.335862,0.778881,0.207236,7.38783,0.300998,0.505,0.731469,30.1295,3.50293,113.072,1.23647,4.067,4.785707116127014,4.915999889373779,1.72058,32.939998626708984,,,,,,,279.5,5.480392156,279.5,5.480392156,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shohei Ohtani","LAD",50.93,236.039,197.125,54.2398,28.6984,9.3898,1.7928,14.3588,41.8693,33.6719,34.1312,6.373,55.8455,1.8883,1.4419,1.4526,,5.7542,1.6706,0.275155,0.1446,0.236595,0.611172,0.38476,0.559501,0.395628,0.944261,0.284347,6.08223,0.310691,0.04,0.129916,43.248,15.1386,151.724,0.169916,0,14.995611175894737,-5.940999984741211,1.69602,1.2699999809265137,,,,,,,388.3,7.61372549,388.3,7.61372549,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",50,225.468,198.394,50.951,30.7729,10.0414,1.3846,8.7521,30.658,28.0878,22.2988,1.1273,48.0708,2.4801,1.5659,0.7292,,6.1757,1.8343,0.256818,0.0989002,0.213205,0.463874,0.336969,0.453734,0.342927,0.790703,0.196916,5.56695,0.294815,0.647,0.168585,31.6747,4.82412,121.795,0.815585,-0.386,6.550208747386932,2.113999992609024,1.69492,12.510000228881836,,,,,,,284.7,5.694,284.7,5.694,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Elly De La Cruz","CIN",51.85,235.334,207.403,54.2291,32.3553,10.232,2.2304,9.4114,33.4475,28.5429,23.7452,1.1767,61.3499,1.6473,1.5723,0.9658,,12.6015,3.575,0.261467,0.1009,0.260693,0.387045,0.339729,0.468441,0.349032,0.80817,0.206974,7.12462,0.324263,0.788,0.721068,34.2258,6.20036,115.304,1.50907,0.606,5.882457375526428,2.925999939441681,1.66874,8.449999809265137,,,,,,,311.9,5.998076923,311.9,5.998076923,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Kevin McGonigle","DET",50,230.022,197.656,53.2399,35.7338,10.6855,1.236,5.5846,31.3866,22.0335,28.0166,0.23,32.3365,1.6102,1.4504,1.2885,,4.6613,1.2767,0.269356,0.1218,0.14058,0.866408,0.362285,0.420686,0.346524,0.782972,0.15133,4.96633,0.295655,0.304,0.036082,32.9854,5.59256,122.569,0.340082,-0.218,6.398340493440628,1.7490000128746033,1.65901,999,,,,,,,289.5,5.79,289.5,5.79,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"José Ramírez","CLE",49.07,219.984,193.284,52.467,31.5892,11.3246,0.585,8.9682,31.2234,29.1104,22.9883,5.0596,26.8085,1.5399,1.5789,0.5934,,12.3722,3.0353,0.271451,0.1045,0.121866,0.8575,0.35095,0.475292,0.35106,0.826242,0.203841,5.61232,0.27343,0.013,0.92974,32.3553,6.15773,127.182,0.94274,-0.028,7.920925676822662,0.30299999937415123,1.63042,6.28000020980835,,,,,,,309.8,6.322448979,309.8,6.322448979,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
