Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",152,656,591,168,99,37,6,26,99,91,52,8,110,6,7,0,5,26,8,0.284264,0.0792683,0.167683,0.472727,0.344512,0.499154,0.356354,0.843666,0.21489,6.68623,0.307359,,0.940212,100.573,23.0614,127.006,0.940212,7.5,21.82049536705017,14.731040477752686,6.05046,999,,,,,,,936.7,6.1625,936.7,6.1625,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",152,666,528,141,82,24,1,34,107,97,130,14,112,3,4,1,8,18,3,0.267045,0.195195,0.168168,1.16071,0.41203,0.50947,0.392687,0.9215,0.242424,4.63114,0.277202,,1.04451,121.752,43.0594,157.89,1.04451,-7.4,46.739564657211304,-14.741270065307617,5.54018,999,,,,,,,1081.3,7.113815789,1081.3,7.113815789,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Cal Raleigh","SEA",152,621,537,118,62,21,0,35,77,97,75,7,172,5,4,0,8,5,2,0.219739,0.120773,0.276973,0.436047,0.318841,0.454376,0.330523,0.773217,0.234637,2.68854,0.248503,,-0.710261,82.1832,8.80731,118.76,-0.710261,8.3,13.02082508802414,19.708730697631836,5.53614,999,,,,,,,757.6,4.984210526,757.6,4.984210526,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Julio Rodríguez","SEA",152,663,599,161,101,29,2,29,96,98,52,12,140,10,2,0,4,22,6,0.268781,0.0784314,0.211161,0.371429,0.33635,0.469115,0.341881,0.805465,0.200334,5.47069,0.305556,,0.946043,93.8553,15.5167,126.584,0.946043,6.1,21.719522774219513,8.536067008972168,5.43097,999,,,,,,,881.7,5.800657894,881.7,5.800657894,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152,647,570,154,91,31,5,27,97,88,67,6,131,6,4,0,3,18,3,0.270175,0.103555,0.202473,0.51145,0.35085,0.484211,0.35656,0.835061,0.214035,6.15132,0.305288,,1.32838,99.3013,22.8533,131.609,1.32838,-1.9,25.432387471199036,5.231834053993225,5.41641,999,,,,,,,909.4,5.982894736,909.4,5.982894736,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Aaron Judge","NYY",123,540,437,117,64,21,1,31,84,89,93,12,141,6,4,0,17,5,1,0.267735,0.172222,0.261111,0.659574,0.4,0.533181,0.39366,0.933181,0.265446,3.55382,0.319703,,-0.40637,99.1448,35.3397,156.85,-0.40637,3.8,35.775957107543945,-2.152381181716919,5.34228,999,,,,,,,879.9,7.153658536,879.9,7.153658536,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Wyatt Langford","TEX",152,634,550,147,84,30,2,31,94,94,75,7,132,5,4,0,3,19,5,0.267273,0.118297,0.208202,0.568182,0.358044,0.498182,0.364658,0.856226,0.230909,5.1047,0.296675,,0.715951,101.475,26.5626,137.149,0.715951,8.5,28.474978029727936,1.5114636421203613,5.30128,999,,,,,,,925.1,6.08618421,925.1,6.08618421,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Pete Crow-Armstrong","CHC",152,612,554,146,86,28,5,27,96,95,37,3,134,9,6,6,2,28,7,0.263538,0.0604575,0.218954,0.276119,0.316832,0.478339,0.338116,0.795171,0.214801,7.22988,0.298246,,1.88176,84.7648,12.4522,118.998,1.88176,12.8,15.661545157432556,15.048677444458008,5.22464,999,,,,,,,798.7,5.254605263,798.7,5.254605263,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shohei Ohtani","LAD",144,657,562,152,81,26,4,41,120,112,87,6,161,4,4,0,14,21,3,0.270463,0.13242,0.245053,0.540373,0.369863,0.549822,0.388319,0.919685,0.279359,6.55324,0.304945,,1.87557,117.777,40.1476,152.106,1.87557,0,42.44915950298309,-16.898147583007812,4.84992,999,,,,,,,1077.3,7.48125,1077.3,7.48125,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",146,633,551,147,91,28,1,27,99,83,74,11,121,6,2,0,4,19,5,0.266788,0.116904,0.191153,0.61157,0.35861,0.46824,0.353448,0.826849,0.201452,5.08782,0.296296,,0.696146,95.553,20.7592,131.447,0.696146,8.9,24.288705348968506,1.9224863052368164,4.83579,999,,,,,,,875,5.993150684,875,5.993150684,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
