Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,8,2.63787,11,11,0,0,,66,262,52,21,19,6,14,,3,79,10.7543,1.85858,5.78633,0.879827,0.302513,0.0522807,0.2502323091030121,0.211245,0.988928,0.283955,0.784919,,,2.72919,1.94968,2.18785,7.019999980926514,,,,,,,386.40000000000015,5.854545454545457,359,5.4393939393939394,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",5,3,7,2.94185,11,11,0,0,,66,272,58,24,22,6,16,,3,70,9.53126,2.17985,4.37245,0.750237,0.2583,0.0590744,0.1992252580821514,0.22783,1.11154,0.294006,0.758441,,,2.92816,1.89604,1.91336,24.75,,,,,,,346.80000000000007,5.254545454545456,335,5.075757575757576,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",4,3,7,2.91261,11,11,0,0,,63,252,51,22,20,6,16,,3,73,10.5492,2.32334,4.54053,0.855295,0.291108,0.0641131,0.2269948124885559,0.219495,1.07606,0.293953,0.766258,,,2.90128,1.7995,1.9232,9.649999618530273,,,,,,,348.80000000000007,5.536507936507937,326,5.174603174603175,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Jacob Misiorowski","MIL",4,2,7,2.53772,10,10,0,0,,54,233,38,17,15,5,23,,3,81,13.4986,3.83955,3.51567,0.904146,0.349704,0.0994702,0.2502337917685509,0.183914,1.1278,0.271543,0.830496,,,2.84503,1.58087,1.80673,114.13999938964844,,,,,,,323.3,5.987037037037037,289,5.351851851851852,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Chris Sale","ATL",4,2,7,2.89755,10,10,0,0,,57,235,46,20,18,6,16,,2,71,11.0895,2.49378,4.44687,0.942874,0.300751,0.0676321,0.23311907052993774,0.213118,1.08197,0.286962,0.780851,,,2.96815,1.53933,1.69454,39.36000061035156,,,,,,,316.4,5.550877192982456,295,5.175438596491228,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",5,3,7,3.23742,11,11,0,0,,61,254,51,24,22,7,20,,3,72,10.5251,2.8787,3.65619,1.00552,0.282119,0.077162,0.20495673269033432,0.219397,1.14926,0.287162,0.761826,,,3.31782,1.49372,1.55934,70.58999633789062,,,,,,,307.70000000000005,5.0442622950819676,289,4.737704918032787,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Zack Wheeler","PHI",4,3,6,3.35902,10,10,0,0,,61,247,51,25,23,8,17,,3,70,10.3614,2.44492,4.23791,1.11809,0.283305,0.06685,0.21645454317331314,0.223373,1.10915,0.288325,0.750095,,,3.3654,1.46978,1.45203,110.48999786376953,,,,,,,300.4000000000001,4.924590163934428,281,4.60655737704918,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",4,3,6,3.5791,10,10,0,0,,65,268,62,28,26,6,16,,3,57,7.94789,2.28098,3.48442,0.798665,0.21338,0.0612385,0.15214192867279053,0.250107,1.21446,0.303867,0.715549,,,3.38576,1.29368,1.21632,57.189998626708984,,,,,,,303,4.661538461538462,304,4.676923076923077,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","TOR",4,3,7,3.21911,11,11,0,0,,59,249,46,23,21,7,24,,3,75,11.4029,3.57912,3.18594,1.0254,0.301497,0.0946337,0.20686347037553787,0.208613,1.18135,0.281916,0.773787,,,3.39407,1.29248,1.4251,74.7699966430664,,,,,,,299.9,5.083050847457627,273,4.627118644067797,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",5,3,5,3.38001,9,9,0,0,,55,221,46,22,21,6,16,,2,58,9.4957,2.68759,3.53316,0.985014,0.260825,0.0738219,0.1870027258992195,0.22634,1.13678,0.287058,0.738738,,,3.44865,1.2848,1.3181,26.639999389648438,,,,,,,275.6,5.010909090909092,259,4.709090909090909,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
