Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",4.5801,2.8774,7.3133,2.79996,10.4691,10.4691,0,0,,64.8074,258.403,52.2858,22.1488,20.162,6.49514,13.53,,2.423,78.4759,10.8982,1.87895,5.80014,0.902,0.303696,0.0523601,0.2513356991112232,0.215656,1.01556,0.290773,0.769834,,,2.72927,1.91899,1.97851,7.019999980926514,,,,,,,380.00000000000006,5.846153846153847,355,5.461538461538462,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",4.3398,2.9252,6.6408,2.89986,10.4691,10.4691,0,0,,61.3789,248.598,49.2385,21.6857,19.7767,5.78326,16.2031,,2.6563,75.7225,11.1032,2.37586,4.67333,0.848,0.304598,0.0651779,0.23942026495933533,0.214324,1.06619,0.293155,0.763029,,,2.78902,1.85927,1.78973,9.649999618530273,,,,,,,345.20000000000005,5.659016393442624,322,5.278688524590164,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",4.4704,3.0144,7.215,2.93793,10.4691,10.4691,0,0,,65.1796,265.066,58.1952,23.8208,21.277,5.4606,15.9015,,2.1958,66.3939,9.16767,2.19568,4.17532,0.754,0.250481,0.0599907,0.19048990681767464,0.235638,1.13681,0.301144,0.756576,,,2.99453,1.79101,1.85094,24.75,,,,,,,346.7,5.333846153846154,338,5.2,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Zack Wheeler","PHI",4.1452,2.9639,6.4675,3.12312,10.07,10.07,0,0,,61.0509,248.074,50.5121,23.1346,21.1855,6.78343,15.674,,2.734,71.1083,10.4826,2.31063,4.5367,1,0.286641,0.0631828,0.22345872223377228,0.219937,1.08411,0.288116,0.759429,,,3.12925,1.62634,1.67874,110.48999786376953,,,,,,,317.70000000000005,5.208196721311476,299,4.901639344262295,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",4.1549,2.6805,6.2407,3.07558,9.72,9.72,0,0,,58.6042,237.649,47.528,21.836,20.0269,6.02321,15.2281,,3.3699,72.1425,11.0791,2.33862,4.73746,0.925,0.303567,0.0640781,0.23948932439088821,0.216972,1.07085,0.2946,0.753266,,,2.93586,1.60043,1.61052,39.36000061035156,,,,,,,328,5.559322033898305,307,5.203389830508475,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jacob Misiorowski","MIL",4.101,3.0555,6.3352,3.12435,10.26,10.26,0,0,,60.6477,249.785,44.9478,22.9384,21.0539,6.45561,23.8147,,3.738,80.921,12.0085,3.53405,3.39794,0.958,0.323963,0.0953408,0.22862181067466736,0.202256,1.1338,0.285432,0.767256,,,3.18787,1.52859,1.61093,114.13999938964844,,,,,,,338.6000000000001,5.550819672131149,305,5,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Dylan Cease","TOR",4.0682,3.189,6.127,3.2969,10.4691,10.4691,0,0,,61.0308,254.295,47.7938,24.2986,22.3569,6.69304,23.9012,,1.9527,78.3516,11.5542,3.52463,3.27815,0.987,0.308113,0.0939901,0.2141229584813118,0.209217,1.17473,0.286623,0.760475,,,3.23864,1.48241,1.42698,74.7699966430664,,,,,,,318.50000000000006,5.221311475409837,292,4.786885245901639,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",4.0861,3.1951,6.1702,3.31828,10.4691,10.4691,0,0,,61.4482,253.604,51.8387,24.7136,22.6558,6.97778,19.8582,,2.358,70.1985,10.2816,2.90853,3.53499,1.022,0.276804,0.078304,0.1984996423125267,0.224034,1.16679,0.290905,0.758676,,,3.38578,1.43629,1.45488,70.58999633789062,,,,,,,304.1000000000001,4.985245901639345,288,4.721311475409836,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Jacob deGrom","TEX",3.641,3.019,5.3835,3.36644,9.72,9.72,0,0,,55.2444,224.571,46.4941,22.2608,20.6641,7.3782,12.7024,,1.477,65.731,10.7084,2.06938,5.17469,1.202,0.292696,0.056563,0.2361328899860382,0.220988,1.07154,0.28493,0.755841,,,3.2363,1.3514,1.2861,50.0099983215332,,,,,,,291.29999999999995,5.296363636363636,274,4.9818181818181815,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Yoshinobu Yamamoto","LAD",3.9812,2.5491,5.7201,3.45744,9.18,9.18,0,0,,56.6499,234.964,51.588,23.8727,21.7626,6.24408,16.6634,,1.9152,58.5484,9.30162,2.64732,3.51359,0.992,0.24918,0.0709189,0.17826135456562042,0.238408,1.20479,0.299116,0.745739,,,3.45945,1.33486,1.24693,26.639999389648438,,,,,,,273.79999999999995,4.803508771929824,268,4.701754385964913,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
