Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",44,190,171,51,30,10,2,8,29,26,15,2,32,2,2,0,,11,3,0.295728,0.0811178,0.168506,0.481394,0.356394,0.524033,0.375237,0.880427,0.228305,7.2568,0.319738,1.08961,0.702431,31.684,9.04771,139.707,1.79204,1.71283,10.600045800209045,3.7494027614593506,2.14314,3.0999999046325684,,,,,,,293.7,6.675,293.7,6.675,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",51,220,200,54,34,9,1,10,31,30,16,1,48,3,1,0,,9,2,0.270835,0.0734953,0.218386,0.336538,0.332514,0.476403,0.348994,0.808916,0.205568,5.94993,0.308895,0.498859,0.672196,31.9675,5.7857,131.189,1.17106,1.33423,9.173128485679626,1.9231233596801758,1.92114,9.489999771118164,,,,,,,296.7,5.817647058,296.7,5.817647058,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Shohei Ohtani","LAD",51,219,185,53,27,9,1,15,40,36,31,4,52,2,1,0,,7,2,0.285236,0.141944,0.239026,0.593845,0.390357,0.588802,0.411346,0.979159,0.303566,6.01847,0.319576,0.27735,0.249922,42.983,16.863,162.221,0.527272,0,17.099539518356323,-5.483333110809326,1.90066,1.2699999809265137,,,,,,,391.3,7.672549019,391.3,7.672549019,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",51,220,195,51,31,10,1,9,32,27,21,1,47,2,1,0,,7,2,0.264221,0.0958849,0.213708,0.448671,0.340533,0.469367,0.350365,0.8099,0.205146,5.96063,0.303044,0.696799,0.474299,32.212,6.03025,126.964,1.1711,0.303949,8.089172601699829,2.6595049798488617,1.88591,12.510000228881836,,,,,,,286.6,5.619607843,286.6,5.619607843,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Pete Crow-Armstrong","CHC",51,222,197,50,29,10,2,10,32,29,16,1,54,3,2,3,,12,3,0.255639,0.0733938,0.243145,0.301852,0.320183,0.468837,0.339633,0.78902,0.213197,7.0716,0.300923,1.13058,0.93365,30.5487,4.15077,115.591,2.06423,3.65893,6.260911226272583,4.450600326061249,1.81663,32.939998626708984,,,,,,,288.8,5.662745098,288.8,5.662745098,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"José Ramírez","CLE",49,211,186,51,30,11,1,9,30,29,22,4,25,1,1,0,,12,3,0.271602,0.104645,0.118655,0.881927,0.350737,0.482866,0.355385,0.833603,0.211264,6.13991,0.271271,0.905664,0.953286,31.8057,6.65306,130.188,1.85895,0.216356,9.299737811088562,0.5212939232587814,1.76056,6.28000020980835,,,,,,,305.2,6.228571428,305.2,6.228571428,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",46,198,167,50,28,9,0,12,30,33,26,3,34,2,2,0,,1,0,0.298008,0.132968,0.170719,0.778875,0.397236,0.577845,0.411088,0.97508,0.279837,2.35311,0.304318,-0.583675,-0.222821,38.7077,15.1606,168.277,-0.806496,-0.100344,14.948428869247437,-4.786764182150364,1.74628,33.38999938964844,,,,,,,337.8,7.34347826,337.8,7.34347826,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Francisco Lindor","NYM",51,222,196,51,32,9,1,9,32,28,20,0,40,4,2,0,,7,2,0.259304,0.0921881,0.180478,0.510798,0.338812,0.450109,0.344166,0.788921,0.190805,5.58249,0.282513,0.147032,0.397664,31.4307,4.97621,120.102,0.544696,1.38926,5.967282354831696,3.6057742834091187,1.70278,25.350000381469727,,,,,,,285.7,5.601960784,285.7,5.601960784,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Junior Caminero","TBR",53,228,206,56,33,9,0,14,32,38,19,2,44,1,2,0,,2,1,0.273957,0.0844247,0.191692,0.440418,0.337504,0.529555,0.368837,0.867059,0.255598,3.1415,0.281762,-0.234523,-0.158776,36.8453,9.6755,137.432,-0.393299,-1.62028,9.572976976633072,-1.0770675539970398,1.68756,16.479999542236328,,,,,,,326.3,6.156603773,326.3,6.156603773,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Fernando Tatis Jr.","SDP",52,226,199,55,35,10,1,9,33,27,23,1,44,2,1,0,,10,3,0.274334,0.102599,0.196466,0.522223,0.354341,0.466034,0.356481,0.820374,0.1917,5.83702,0.311783,0.798749,0.500996,34.2842,7.33062,128.757,1.29975,2.4173,9.203469514846802,0.025637149810791016,1.68172,14.010000228881836,,,,,,,313.9,6.036538461,313.9,6.036538461,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
