Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",48,189.857,163.968,37.5706,17.5003,6.50458,0.100277,13.4654,27.2676,33.1061,22.4163,1.38747,54.4731,1.8658,1.37533,0.151591,1.90528,2.0117,0.609364,0.229133,0.118069,0.286916,0.411511,0.326183,0.516392,0.358387,0.842575,0.287259,3.45581,0.247474,,-0.0779519,29.0523,6.44258,137.716,-0.0779519,4.88,8.278618298470974,7.169562339782715,2.25373,18.729999542236328,,,,,,,264.3,5.50625,264.3,5.50625,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Yordan Alvarez","HOU",47,199.789,167.701,52.0276,27.3958,9.65377,0.0671478,14.9109,33.364,38.451,27.4053,4.28572,34.1694,2.88628,1.62616,0.170791,3.17663,0.858441,0.330718,0.310241,0.137171,0.171027,0.802041,0.412383,0.635349,0.43685,1.04773,0.325108,2.32689,0.308672,,-0.266687,43.2851,19.4926,186.18,-0.266687,-0.03,19.826460003852844,-4.843411711975932,2.24254,33.38999938964844,,,,,,,385.1,8.193617021,385.1,8.193617021,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Bobby Witt Jr.","KCR",45,190.657,171.531,49.977,29.1862,9.10677,3.26616,8.41784,31.5215,26.911,15.669,1.44792,33.1169,1.62339,1.60071,0.23272,1.86796,9.67517,2.82444,0.291359,0.0821844,0.173699,0.473143,0.353261,0.529756,0.37534,0.883018,0.238398,7.89275,0.315807,,0.511643,31.796,9.091,139.779,0.511643,3.05,9.362213969230652,5.133333206176758,2.16004,3.0999999046325684,,,,,,,291,6.466666666,291,6.466666666,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",52,229.496,193.972,56.7309,29.0776,9.94758,1.38029,16.3254,42.7659,41.5985,31.4071,4.51353,51.8926,1.95411,1.30137,0.242731,3.40998,6.35771,2.96409,0.29247,0.136853,0.226115,0.605234,0.394044,0.610476,0.420007,1.00452,0.318007,5.70559,0.318015,,-0.282451,46.5864,19.2561,168.005,-0.282451,0,18.66945880651474,-5.176712512969971,2.1244,1.2699999809265137,,,,,,,412.3,7.928846153,412.3,7.928846153,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Pete Crow-Armstrong","CHC",52,225.235,199.981,51.8323,28.9327,10.271,1.51871,11.1099,35.3581,30.8743,17.7703,1.10906,57.3393,3.50327,1.66379,2.31668,2.29563,11.6051,2.70936,0.259186,0.0788967,0.254576,0.309914,0.327949,0.4924,0.351483,0.820349,0.233213,7.20044,0.305734,,0.922305,33.2048,6.38203,123.504,0.922305,5.06,7.350980043411255,5.862469017505646,2.08204,32.939998626708984,,,,,,,315.4,6.065384615,315.4,6.065384615,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",54,236.4,212.348,59.9519,33.5879,9.40584,0.607528,16.3506,35.0457,44.7008,20.5023,1.78833,43.9261,1.44226,1.86609,0.240598,4.94189,1.65944,0.453488,0.282328,0.0867274,0.185813,0.466746,0.346785,0.563341,0.384853,0.910126,0.281013,3.57035,0.283239,,-0.159241,41.2484,13.096,148.562,-0.159241,-2.38,13.238054946064949,-1.824444591999054,2.01325,16.479999542236328,,,,,,,376,6.962962962,376,6.962962962,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"José Ramírez","CLE",50,220.176,193.878,54.3562,32.0157,11.5339,0.887717,9.91889,33.5894,31.9227,22.4252,4.31543,24.9593,1.45472,2.08657,0.244076,2.50634,11.5554,3.5505,0.280363,0.101852,0.113361,0.898473,0.355871,0.502493,0.363637,0.858364,0.22213,5.79923,0.275861,,0.550158,34.6292,8.4089,135.922,0.550158,1.09,9.780229449272156,1.4019253849983215,1.93103,6.28000020980835,,,,,,,323.5,6.47,323.5,6.47,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Francisco Lindor","NYM",53,229.002,200.355,53.5005,32.577,9.7683,0.773295,10.3819,33.8196,31.2606,20.765,0.299947,40.4505,3.67499,1.7474,0.263608,3.54185,7.30099,2.05673,0.267028,0.0906761,0.176638,0.513344,0.344043,0.478955,0.356594,0.822998,0.211926,5.42443,0.285044,,0.288627,34.7094,7.43793,128.402,0.288627,0.57,8.186717480421066,2.8550642132759094,1.87429,25.350000381469727,,,,,,,313.8,5.920754716,313.8,5.920754716,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Gunnar Henderson","BAL",52,230.589,205.094,54.4091,31.7352,10.9008,1.45883,10.3143,34.2563,30.7157,21.0715,0.939784,51.2581,2.40661,1.82054,0.195982,4.14156,5.7751,1.47555,0.265288,0.091381,0.222292,0.411086,0.338062,0.483536,0.353668,0.821598,0.218247,5.72926,0.303386,,0.23782,34.4027,6.94227,129.259,0.23782,-0.47,8.111270934343338,1.9374072849750519,1.85382,12.510000228881836,,,,,,,306.6,5.896153846,306.6,5.896153846,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Byron Buxton","MIN",46,198.684,179.015,48.0031,23.4048,8.72775,1.93217,13.9383,32.8637,34.2354,15.1948,0.746935,50.671,2.97543,1.27068,0.227627,1.99279,4.35448,0.998293,0.268151,0.0764771,0.255033,0.299871,0.33344,0.572075,0.382427,0.905516,0.303924,6.5921,0.294483,,0.227162,34.2766,10.6157,147.003,0.227162,-0.18,11.1253941655159,-0.28141096234321594,1.81891,73.4800033569336,,,,,,,317.7,6.906521739,317.7,6.906521739,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
