Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,5,,2.66594,30,30,,,,182.3,716,145,58,54,17,32,0,6,218,10.7625,1.57981,6.8125,0.839276,0.304469,0.0446927,0.2597765512764454,0.213864,0.970927,0.288939,0.776762,,,2.5811,5.94477,5.85431,999,,,,,,,1084.920022583008,5.9512891081794566,1012.5000152587891,5.5540318064137635,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13,6,,2.76848,33,33,,,,185.3,738,146,61,57,16,45,0,6,205,9.95683,2.18564,4.55556,0.777118,0.277778,0.0609756,0.216802179813385,0.212518,1.03076,0.27897,0.771056,,,2.8707,5.17026,6.01358,999,,,,,,,1051.8200225830078,5.6763087170010165,975.5000152587891,5.264436045294146,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13,6,,2.92771,28,28,,,,166,678,141,58,54,16,43,1,4,198,10.7349,2.33133,4.60465,0.86747,0.292035,0.0634218,0.22861357033252716,0.223455,1.10843,0.29976,0.779703,,,2.852,4.76601,4.96084,999,,,,,,,920.0000000000001,5.542168674698796,877,5.283132530120482,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",14,9,,3.13788,30,30,,,,189.3,777,176,71,66,15,39,1,5,175,8.32013,1.8542,4.48718,0.713154,0.225225,0.050193,0.17503217607736588,0.240109,1.13576,0.296501,0.742268,,,3.01364,4.48385,4.81012,999,,,,,,,976.7200225830078,5.159640817945238,969.5000152587891,5.12150026217227,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",10,5,,3.33529,28,28,,,,170,700,156,67,63,15,39,0,5,163,8.62941,2.06471,4.17949,0.794118,0.232857,0.0557143,0.17714285105466843,0.237805,1.14706,0.294979,0.735632,,,3.14102,4.13728,4.24635,999,,,,,,,861.9,5.07,849,4.9941176470588236,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",13,7,,3.38182,27,27,,,,165,651,129,66,62,18,41,0,4,175,9.54545,2.23636,4.26829,0.981818,0.268817,0.06298,0.205837182700634,0.212871,1.0303,0.268765,0.718232,,,3.25029,3.99973,3.85653,999,,,,,,,879.1999999999999,5.328484848484848,806,4.884848484848485,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown","HOU",12,7,,3.08634,29,27,,,,163.3,671,136,60,56,16,52,0,6,172,9.47949,2.86589,3.30769,0.881813,0.256334,0.0774963,0.17883755266666412,0.22186,1.15126,0.282353,0.772947,,,3.36784,3.47136,4.18953,999,,,,,,,828.020022583008,5.070545052718509,778.5000152587891,4.767299453215834,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Dylan Cease","TOR",10,8,,3.66879,29,29,,,,157,655,132,68,64,18,58,2,4,177,10.1465,3.32484,3.05172,1.03185,0.270229,0.0885496,0.1816793903708458,0.222597,1.21019,0.286432,0.740291,,,3.55552,3.37251,2.88414,999,,,,,,,765.1999999999998,4.87388535031847,719,4.579617834394904,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Hunter Greene","CIN",8,7,,3.6952,25,25,,,,143.7,576,108,63,59,17,43,0,14,161,10.0835,2.69311,3.74419,1.06472,0.279514,0.0746528,0.204861119389534,0.208092,1.0508,0.266862,0.691824,,,3.62226,3.26795,3.10153,999,,,,,,,724.4799774169921,5.041614424514811,648.4999847412109,4.512874032800345,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Bryan Woo","SEA",11,7,,3.3185,27,26,,,,157.3,623,130,62,58,19,31,1,7,158,9.04005,1.77368,5.09677,1.08709,0.253612,0.0497592,0.2038523368537426,0.222222,1.02352,0.272059,0.736607,,,3.42121,3.21918,3.12364,999,,,,,,,794.3200225830078,5.0497139680388035,741.5000152587891,4.713922446745324,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
