Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,7,2.729,11,11,0,0,,65,258,52,22,20,6,12,,2,79,10.9857,1.70903,6.42806,0.865237,0.308175,0.0479421,0.26023248210549355,0.213223,0.986208,0.289583,0.768892,,,2.59684,2.03714,1.98195,7.019999980926514,,,,,,,388.00000000000006,5.96923076923077,363,5.584615384615384,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",5,3,7,2.84582,11,11,0,0,,61,245,49,21,19,6,16,,3,73,10.812,2.31863,4.6631,0.82686,0.297535,0.0638063,0.23372909426689148,0.214074,1.05748,0.289783,0.766753,,,2.80521,1.83736,1.8958,9.649999618530273,,,,,,,339.20000000000005,5.560655737704919,316,5.180327868852459,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",5,3,7,3.04012,11,11,0,0,,66,270,59,25,22,6,15,,2,68,9.19291,2.09139,4.3956,0.77117,0.250452,0.0569778,0.19347375258803368,0.234713,1.12743,0.299072,0.749367,,,2.97575,1.82781,1.79988,24.75,,,,,,,346.20000000000005,5.245454545454546,337,5.106060606060606,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",5,2,6,3.02762,10,10,0,0,,58,234,48,21,19,6,15,,4,70,10.9677,2.2923,4.78458,0.870264,0.299579,0.0626134,0.2369655892252922,0.222009,1.08675,0.302305,0.757333,,,2.88951,1.60494,1.65232,39.36000061035156,,,,,,,313.6,5.406896551724138,295,5.086206896551724,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Zack Wheeler","PHI",4,3,6,3.2726,10,10,0,0,,61,248,51,24,22,7,16,,2,69,10.2314,2.3154,4.41885,1.02592,0.279126,0.0631673,0.21595922857522964,0.222135,1.09572,0.287062,0.74733,,,3.21271,1.56254,1.56445,110.48999786376953,,,,,,,316.70000000000005,5.191803278688526,298,4.885245901639344,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Dylan Cease","TOR",4,3,7,3.29131,11,11,0,0,,61,253,47,24,22,6,24,,2,78,11.5074,3.55143,3.24023,0.934823,0.307058,0.0947643,0.2122936248779297,0.209273,1.17746,0.287906,0.755761,,,3.17247,1.54195,1.43687,74.7699966430664,,,,,,,333.4000000000001,5.465573770491805,305,5,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jacob Misiorowski","MIL",4,3,6,3.15929,10,10,0,0,,57,234,42,22,20,6,21,,4,78,12.168,3.35443,3.62745,0.955744,0.330748,0.091179,0.23956865817308426,0.200579,1.10401,0.28573,0.755737,,,3.11157,1.47602,1.44004,114.13999938964844,,,,,,,319.79999999999995,5.610526315789473,288,5.052631578947368,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Jesús Luzardo","PHI",4,3,6,3.53199,11,11,0,0,,62,256,53,26,24,7,20,,2,71,10.3399,2.84777,3.63088,1.03631,0.277181,0.07634,0.20084111392498016,0.226926,1.17614,0.294936,0.737833,,,3.37778,1.46201,1.40996,70.58999633789062,,,,,,,310.8999999999999,5.014516129032256,295,4.758064516129032,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Logan Webb","SFG",4,3,6,3.36856,10,10,0,0,,64,265,61,26,24,5,16,,2,57,8.04905,2.20793,3.64552,0.717592,0.214514,0.0588432,0.15567059814929962,0.247937,1.20983,0.303415,0.72716,,,3.19468,1.41652,1.39084,57.189998626708984,,,,,,,313.5,4.8984375,315,4.921875,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Yoshinobu Yamamoto","LAD",4,3,5,3.45972,9,9,0,0,,56,230,48,24,22,6,15,,2,59,9.35548,2.43758,3.83803,0.978356,0.254712,0.0663655,0.18834693729877472,0.225641,1.12361,0.282795,0.724546,,,3.34923,1.37819,1.17122,26.639999389648438,,,,,,,282.80000000000007,5.050000000000002,269,4.803571428571429,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Ranger Suarez","BOS",4,3,6,3.45823,10,10,0,0,,59,250,57,25,23,5,17,,2,56,8.479,2.64564,3.2049,0.822014,0.223811,0.0698342,0.15397732704877853,0.24591,1.24977,0.302964,0.740143,,,3.3805,1.34534,1.36954,183.97999572753906,,,,,,,281.90000000000003,4.777966101694916,285,4.830508474576271,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Hunter Greene","CIN",3,3,5,3.83421,10,10,0,0,,58,237,46,26,25,8,19,,4,68,10.6371,2.97009,3.58142,1.2385,0.286992,0.0801338,0.20685859769582748,0.215323,1.13083,0.276378,0.717087,,,3.73205,1.32922,1.2164,444.32000732421875,,,,,,,278.20000000000005,4.796551724137932,253,4.362068965517241,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Jacob deGrom","TEX",4,3,6,3.42074,10,10,0,0,,55,221,45,22,21,7,13,,1,63,10.3699,2.08195,4.98088,1.23237,0.284626,0.0571439,0.22748259454965591,0.2192,1.06405,0.277233,0.748267,,,3.33308,1.28028,1.28045,50.0099983215332,,,,,,,287.9,5.234545454545454,268,4.872727272727273,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Max Fried","NYY",4,3,6,3.29063,10,10,0,0,,58,242,52,23,21,5,18,,2,54,8.35007,2.70748,3.08408,0.760179,0.223371,0.0724271,0.15094377100467682,0.233902,1.19343,0.288221,0.736922,,,3.36455,1.25154,1.33727,50.04999923706055,,,,,,,280.50000000000006,4.836206896551725,273,4.706896551724138,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Chase Burns","CIN",3,3,5,3.84058,12,9,0,0,,52,217,45,24,22,7,17,,1,61,10.5123,3.01542,3.48619,1.21171,0.279775,0.0802524,0.19952280819416046,0.228018,1.20737,0.292383,0.732452,,,3.57151,1.21882,0.938007,109.72000122070312,,,,,,,249.70000000000005,4.801923076923078,237,4.5576923076923075,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Cam Schlittler","NYY",4,3,6,3.48871,10,10,0,0,,54,223,46,23,21,6,16,,2,60,9.95302,2.72111,3.6577,1.03702,0.267491,0.0731309,0.19436007738113403,0.225918,1.15771,0.288546,0.738945,,,3.44025,1.15238,1.0697,116.62999725341797,,,,,,,272.20000000000005,5.040740740740741,258,4.777777777777778,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Sonny Gray","BOS",4,3,5,3.86299,10,10,0,0,,60,252,58,28,26,7,16,,2,60,8.97583,2.48038,3.61873,1.0781,0.236211,0.0652745,0.17093640565872192,0.250134,1.25475,0.307201,0.725293,,,3.59529,1.13456,1.12155,138.08999633789062,,,,,,,273.09999999999997,4.551666666666666,275,4.583333333333333,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Hunter Brown","HOU",4,3,6,3.47489,10,10,0,0,,57,240,49,24,22,6,22,,3,63,9.86946,3.41098,2.89344,0.925185,0.261147,0.090255,0.17089224606752396,0.225472,1.23045,0.290525,0.745273,,,3.52149,1.12685,1.21495,36.189998626708984,,,,,,,271.5999999999999,4.764912280701753,258,4.526315789473684,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Logan Gilbert","SEA",4,3,6,3.4471,10,10,0,0,,58,238,50,24,22,8,14,,2,64,9.81513,2.15506,4.55446,1.16365,0.267891,0.0588196,0.20907166600227356,0.225717,1.09617,0.282421,0.744488,,,3.43557,1.12125,1.086,37.150001525878906,,,,,,,280.80000000000007,4.841379310344829,266,4.586206896551724,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Drew Rasmussen","TBR",4,3,6,3.54091,10,10,0,0,,55,228,50,24,22,6,13,,2,53,8.54598,2.10738,4.05526,1.03763,0.231136,0.0569965,0.17413915693759918,0.236861,1.14244,0.286296,0.728379,,,3.53003,1.11617,1.09819,132.36000061035156,,,,,,,264.2,4.803636363636364,258,4.6909090909090905,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Braxton Ashcraft","PIT",3,3,6,3.66966,10,10,0,0,,54,227,51,24,22,6,15,,2,54,8.91639,2.54346,3.50561,1.02029,0.236357,0.0674224,0.16893437504768372,0.244567,1.22737,0.301348,0.733671,,,3.58785,1.1054,1.07865,239.36000061035156,,,,,,,250.20000000000002,4.633333333333334,249,4.611111111111111,,,,,,,,,,,,,,,,,,,"Braxton Ashcraft","23793",677952
"Joe Ryan","MIN",3,3,5,3.75596,10,10,0,0,,53,218,47,24,22,8,12,,3,59,9.91003,2.08785,4.74652,1.27814,0.268845,0.0566406,0.21220483258366585,0.229991,1.10918,0.285961,0.724482,,,3.59873,1.0596,0.965342,78.52999877929688,,,,,,,244.60000000000008,4.615094339622643,234,4.415094339622642,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Bryan Woo","SEA",4,3,5,3.49689,9,9,0,0,,53,215,46,22,21,7,12,,2,53,9.03122,1.95553,4.6183,1.11477,0.24721,0.0535284,0.19368186965584755,0.228608,1.0865,0.278648,0.728949,,,3.48378,1.03415,0.983982,34.77000045776367,,,,,,,250.50000000000003,4.7264150943396235,238,4.490566037735849,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Mason Miller","SDP",1,0,0,1.96259,23,0,11,1,,23,88,12,5,5,2,8,,1,39,15.3256,3.32687,4.6066,0.606999,0.436888,0.0948396,0.34204863011837006,0.154464,0.909551,0.273884,0.822824,,,1.7879,1.03304,1.1119,27.860000610351562,,,,,,,224.40000000000003,9.756521739130436,199,8.652173913043478,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"MacKenzie Gore","TEX",3,3,5,3.94628,10,10,0,0,,56,237,49,27,25,7,21,,3,63,10.1524,3.38615,2.99822,1.10486,0.266755,0.088971,0.17778348177671432,0.230553,1.25338,0.295406,0.720138,,,3.72232,1.00562,0.805014,164.82000732421875,,,,,,,254.90000000000006,4.551785714285716,243,4.339285714285714,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Shane McClanahan","TBR",4,3,5,3.57124,9,9,0,0,,51,211,45,22,20,6,16,,1,51,9.11926,2.85873,3.18996,1.02432,0.242783,0.0761082,0.16667429357767105,0.233347,1.21085,0.288585,0.742037,,,3.59979,1.00523,1.04659,182.99000549316406,,,,,,,237.60000000000002,4.658823529411765,228,4.470588235294118,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Kevin Gausman","TOR",4,3,5,3.91825,10,10,0,0,,58,245,55,27,25,8,17,,1,58,8.89188,2.64358,3.36358,1.1992,0.234452,0.0697031,0.16474880278110504,0.242483,1.2402,0.292316,0.730602,,,3.79832,0.999923,0.913543,112.94999694824219,,,,,,,249.80000000000007,4.306896551724139,248,4.275862068965517,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
