Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,7,2.79989,11,11,0,0,,66,258,51,22,20,7,13,,2,79,10.8154,1.75269,6.17071,0.91878,0.306269,0.0496326,0.25663600862026215,0.211957,0.977435,0.284903,0.766056,,,2.72646,1.98856,2.08595,7.019999980926514,,,,,,,382.70000000000005,5.798484848484849,352,5.333333333333333,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",5,3,7,2.84559,11,11,0,0,,64,253,50,22,20,6,16,,3,76,10.7255,2.20699,4.85977,0.838324,0.299265,0.0615801,0.23768524080514908,0.212946,1.03256,0.28775,0.763604,,,2.79165,1.93833,1.99291,9.649999618530273,,,,,,,364.8,5.7,337,5.265625,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",5,2,7,3.10556,11,11,0,0,,67,271,60,25,23,6,15,,2,68,9.13317,2.0663,4.42006,0.791606,0.250013,0.0565631,0.19344938918948174,0.234395,1.1205,0.297595,0.747405,,,2.99776,1.82229,1.85545,24.75,,,,,,,350.99999999999994,5.238805970149253,342,5.104477611940299,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Zack Wheeler","PHI",5,2,6,3.27169,10,10,0,0,,63,253,50,25,23,8,17,,3,72,10.3411,2.37269,4.35838,1.07611,0.285009,0.0653933,0.21961548179388046,0.215869,1.06764,0.278686,0.747029,,,3.28696,1.54221,1.57754,110.48999786376953,,,,,,,321.80000000000007,5.107936507936509,295,4.682539682539683,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Dylan Cease","TOR",4,3,6,3.51624,11,11,0,0,,61,254,49,26,24,7,24,,2,78,11.4394,3.56079,3.21259,0.986974,0.307056,0.0955787,0.2114768698811531,0.21619,1.19828,0.297166,0.740476,,,3.27374,1.50514,1.2541,74.7699966430664,,,,,,,315.9000000000001,5.178688524590165,292,4.786885245901639,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Chris Sale","ATL",5,3,6,3.20282,10,10,0,0,,59,240,49,23,21,6,16,,4,71,10.9047,2.38253,4.57695,0.964435,0.297616,0.0650251,0.23259109258651733,0.221898,1.09584,0.298332,0.749644,,,3.05652,1.50408,1.49127,39.36000061035156,,,,,,,317.4,5.379661016949152,299,5.067796610169491,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",4,4,6,3.40829,10,10,0,0,,65,267,62,27,24,5,15,,2,59,8.25596,2.1561,3.82911,0.739597,0.221376,0.0578139,0.16356214880943298,0.249536,1.20635,0.307709,0.728232,,,3.15168,1.5014,1.37248,57.189998626708984,,,,,,,325.3,5.004615384615385,327,5.030769230769231,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jesús Luzardo","PHI",4,3,6,3.52008,11,11,0,0,,63,260,54,27,25,7,19,,2,71,10.1417,2.76092,3.6733,1.02028,0.274544,0.0747403,0.19980337470769882,0.226696,1.15984,0.293204,0.733881,,,3.35394,1.48823,1.35437,70.58999633789062,,,,,,,318.70000000000005,5.058730158730159,303,4.809523809523809,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",4,2,6,3.32606,9,9,0,0,,57,231,47,23,21,6,16,,2,61,9.57451,2.52473,3.79229,0.945513,0.262247,0.0691526,0.19309397041797638,0.219895,1.10405,0.278887,0.733932,,,3.2824,1.42737,1.33013,26.639999389648438,,,,,,,293.79999999999995,5.15438596491228,275,4.824561403508772,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jacob deGrom","TEX",4,3,6,3.40144,10,10,0,0,,57,226,46,23,21,8,13,,1,66,10.4707,2.03887,5.13551,1.24131,0.292645,0.0569845,0.2356601357460022,0.2186,1.04062,0.279087,0.743125,,,3.33013,1.31904,1.29477,50.0099983215332,,,,,,,293.79999999999995,5.15438596491228,271,4.754385964912281,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Jacob Misiorowski","MIL",4,2,6,3.37848,10,10,0,0,,56,230,41,23,21,6,22,,4,74,11.7539,3.44523,3.41165,1.0156,0.320075,0.0938182,0.22625673562288284,0.199509,1.10807,0.27631,0.736817,,,3.29972,1.31356,1.25188,114.13999938964844,,,,,,,304.0000000000001,5.428571428571431,272,4.857142857142857,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Ranger Suarez","BOS",4,3,6,3.62289,10,10,0,0,,62,259,58,27,25,6,18,,2,58,8.44222,2.59087,3.25845,0.926592,0.224873,0.0690123,0.1558610200881958,0.244582,1.23005,0.298527,0.729802,,,3.52961,1.28959,1.35051,183.97999572753906,,,,,,,290.19999999999993,4.680645161290322,288,4.645161290322581,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Hunter Greene","CIN",4,3,6,3.75523,10,10,0,0,,59,241,47,27,25,9,19,,3,70,10.7458,2.96188,3.62804,1.34725,0.290819,0.0801586,0.2106599286198616,0.217289,1.13718,0.277185,0.737005,,,3.82768,1.28286,1.17587,444.32000732421875,,,,,,,277.70000000000005,4.70677966101695,252,4.271186440677966,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Chase Burns","CIN",3,3,5,3.65131,12,9,0,0,,53,216,44,23,21,7,17,,1,62,10.5509,2.95107,3.57527,1.24495,0.28613,0.0800302,0.20609964430332184,0.223008,1.16311,0.286246,0.744885,,,3.6192,1.21209,1.10488,109.72000122070312,,,,,,,261.70000000000005,4.937735849056605,244,4.60377358490566,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Max Fried","NYY",5,3,6,3.38728,10,10,0,0,,60,248,53,25,23,6,18,,2,56,8.34677,2.69384,3.09847,0.875687,0.2246,0.0724873,0.1521122008562088,0.232117,1.17896,0.282952,0.73831,,,3.53849,1.20483,1.28361,50.04999923706055,,,,,,,284.4,4.739999999999999,274,4.566666666666666,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Drew Rasmussen","TBR",4,3,6,3.58984,10,10,0,0,,57,230,50,25,23,6,13,,2,53,8.47662,2.11919,3.99993,1.02294,0.231733,0.0579344,0.1737987920641899,0.232534,1.11716,0.280696,0.713548,,,3.5216,1.17339,1.13542,132.36000061035156,,,,,,,278.99999999999994,4.894736842105262,268,4.701754385964913,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Nathan Eovaldi","TEX",4,3,6,3.65597,10,10,0,0,,60,243,52,26,24,7,14,,3,59,8.95762,2.18119,4.10677,1.12226,0.244413,0.0595148,0.18489864468574524,0.231753,1.1202,0.282305,0.717681,,,3.59313,1.13256,1.16527,132.50999450683594,,,,,,,289.7,4.828333333333333,276,4.6,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",4,3,5,3.73033,10,10,0,0,,56,227,48,25,23,8,13,,3,63,10.0968,2.08294,4.84739,1.3153,0.277485,0.0572442,0.2202405408024788,0.227018,1.08608,0.283782,0.721013,,,3.60091,1.12544,1.06514,78.52999877929688,,,,,,,269.2000000000001,4.807142857142859,254,4.535714285714286,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Logan Gilbert","SEA",4,3,6,3.51414,10,10,0,0,,61,242,50,26,24,9,14,,2,67,9.99635,2.01667,4.95687,1.29037,0.277587,0.0560005,0.22158671915531158,0.221974,1.05431,0.276275,0.737942,,,3.53533,1.12536,1.0773,37.150001525878906,,,,,,,296.7000000000001,4.86393442622951,274,4.491803278688525,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Sonny Gray","BOS",4,3,5,3.90842,10,10,0,0,,61,254,58,29,27,8,16,,2,63,9.19093,2.36039,3.89381,1.1601,0.246558,0.0633205,0.18323763459920883,0.243953,1.20124,0.300153,0.714363,,,3.62173,1.12345,1.07468,138.08999633789062,,,,,,,274.2000000000001,4.495081967213117,273,4.475409836065574,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Braxton Ashcraft","PIT",3,2,5,3.63237,10,10,0,0,,52,216,48,23,21,6,15,,2,52,9.0705,2.6381,3.43827,0.97906,0.241681,0.0702913,0.17138954252004623,0.241113,1.21795,0.300121,0.731251,,,3.51152,1.10808,1.04668,239.36000061035156,,,,,,,239.2,4.6,235,4.519230769230769,,,,,,,,,,,,,,,,,,,"Braxton Ashcraft","23793",677952
"Hunter Brown","HOU",4,3,6,3.59194,10,10,0,0,,59,243,50,25,23,7,21,,2,64,9.84096,3.16816,3.10621,1.03334,0.263589,0.0848588,0.17873059958219528,0.225124,1.19746,0.286836,0.736603,,,3.59394,1.10567,1.23103,36.189998626708984,,,,,,,279.5,4.737288135593221,263,4.4576271186440675,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Framber Valdez","DET",4,3,6,3.71885,10,10,0,0,,63,265,58,28,26,6,21,,3,56,8.04554,3.00281,2.67934,0.834519,0.212035,0.079137,0.13289768993854523,0.24088,1.25703,0.291797,0.716717,,,3.67523,1.08304,1.19801,81.13999938964844,,,,,,,281.6,4.46984126984127,277,4.396825396825397,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Blake Snell","LAD",3,2,5,3.47718,9,9,0,0,,48,201,38,20,19,5,21,,1,59,11.0919,3.92456,2.82627,0.969941,0.29622,0.104809,0.19141033291816711,0.213639,1.22665,0.289282,0.749882,,,3.42571,1.07736,1.04603,178.41000366210938,,,,,,,246.90000000000003,5.143750000000001,227,4.729166666666667,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Kevin Gausman","TOR",4,4,5,3.96109,10,10,0,0,,61,251,55,29,27,8,17,,1,60,8.92397,2.5744,3.46642,1.24356,0.240233,0.069303,0.17093050479888916,0.238454,1.19722,0.287207,0.716123,,,3.8417,1.05757,0.933409,112.94999694824219,,,,,,,276.0000000000001,4.524590163934428,267,4.377049180327869,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Cam Schlittler","NYY",4,3,6,3.70223,10,10,0,0,,56,232,48,25,23,7,19,,3,59,9.49655,3.03365,3.13041,1.12713,0.254278,0.0812286,0.17304985970258713,0.227502,1.19407,0.282906,0.733202,,,3.77548,1.00445,1.01467,116.62999725341797,,,,,,,255.50000000000006,4.562500000000001,241,4.303571428571429,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Nolan McLean","NYM",4,3,6,3.62804,10,10,0,0,,56,236,48,25,23,6,21,,4,59,9.4397,3.3637,2.80634,0.948145,0.249335,0.088847,0.160488098859787,0.227315,1.22983,0.287432,0.731434,,,3.70313,1.00324,0.962375,87.29000091552734,,,,,,,258.80000000000007,4.621428571428573,245,4.375,,,,,,,,,,,,,,,,,,,"Nolan McLean","33703",690997
"George Kirby","SEA",4,3,5,3.75135,10,10,0,0,,57,232,53,26,24,7,12,,2,54,8.60462,1.83906,4.67882,1.14363,0.233377,0.0498794,0.18349722772836685,0.245094,1.14925,0.29502,0.716719,,,3.57371,0.985405,0.815172,64.58000183105469,,,,,,,263.8999999999999,4.629824561403507,260,4.56140350877193,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Bryan Woo","SEA",4,2,5,3.47128,9,9,0,0,,55,219,46,23,21,8,11,,2,55,9.0534,1.88019,4.81516,1.25263,0.250989,0.0521248,0.19886405393481255,0.221825,1.04317,0.265725,0.735495,,,3.64822,0.980888,1.02202,34.77000045776367,,,,,,,260,4.7272727272727275,242,4.4,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Sandy Alcantara","MIA",4,4,5,4.21508,10,10,0,0,,63,268,62,32,30,8,18,,3,53,7.46076,2.54646,2.92985,1.1046,0.196384,0.0670286,0.12935521453619003,0.252337,1.26605,0.292217,0.691798,,,4.02288,0.964412,0.82487,144.57000732421875,,,,,,,249.60000000000008,3.9619047619047634,254,4.031746031746032,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"José Soriano","LAA",4,4,6,3.76904,10,10,0,0,,59,251,51,27,25,5,26,,3,57,8.74578,3.97133,2.20223,0.814368,0.226969,0.103063,0.12390567362308502,0.231729,1.31899,0.288844,0.724468,,,3.82365,0.947559,1.06438,321.80999755859375,,,,,,,269.5,4.567796610169491,257,4.3559322033898304,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Shane McClanahan","TBR",3,3,5,3.84281,9,9,0,0,,52,214,46,24,22,7,16,,1,52,9.12033,2.86755,3.18053,1.13936,0.245264,0.0771144,0.16815001517534256,0.235113,1.20841,0.288591,0.721802,,,3.77033,0.93017,0.909178,182.99000549316406,,,,,,,232.10000000000005,4.463461538461539,222,4.269230769230769,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Kyle Bradish","BAL",3,3,5,3.82774,10,10,0,0,,54,229,48,25,23,6,20,,2,57,9.38604,3.34688,2.80442,1.03546,0.247813,0.0883653,0.15944796800613403,0.233461,1.25816,0.292318,0.72544,,,3.75589,0.92128,0.874307,72.95999908447266,,,,,,,249,4.611111111111111,240,4.444444444444445,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"MacKenzie Gore","TEX",3,4,5,4.00414,10,10,0,0,,57,242,51,28,25,7,22,,2,64,9.99281,3.48754,2.86529,1.17521,0.262984,0.0917826,0.17120102047920227,0.233187,1.27243,0.295356,0.723958,,,3.86779,0.916253,0.754826,164.82000732421875,,,,,,,259.0999999999999,4.545614035087718,250,4.385964912280702,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Matthew Boyd","CHC",4,3,5,3.91539,10,10,0,0,,56,233,52,26,24,7,16,,3,52,8.39997,2.59083,3.24219,1.19516,0.223865,0.0690475,0.15481765568256378,0.241388,1.21382,0.286357,0.720832,,,3.96902,0.911406,0.897351,212.75999450683594,,,,,,,240.10000000000008,4.287500000000001,236,4.214285714285714,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Eury Pérez","MIA",3,3,5,3.9683,9,9,0,0,,49,203,41,24,22,7,17,,2,56,10.1664,3.1269,3.25127,1.28393,0.274062,0.0842939,0.18976858258247375,0.221031,1.17314,0.277273,0.712826,,,3.86305,0.910075,0.731767,78.6500015258789,,,,,,,224.9,4.589795918367347,209,4.26530612244898,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Michael King","SDP",4,3,5,3.92097,10,10,0,0,,58,246,52,28,25,8,22,,3,57,8.82699,3.32617,2.6538,1.17421,0.232337,0.0875486,0.14478808641433716,0.234835,1.26267,0.283311,0.73066,,,4.09903,0.880527,0.756643,129.55999755859375,,,,,,,234.60000000000008,4.044827586206898,225,3.8793103448275863,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Reid Detmers","LAA",2,3,5,4.18902,10,10,0,0,,53,222,47,27,25,7,19,,2,58,9.90853,3.18337,3.11259,1.22508,0.262719,0.0844053,0.17831409722566605,0.232669,1.23607,0.292038,0.698373,,,3.87205,0.877099,0.67311,350.4599914550781,,,,,,,236.90000000000003,4.469811320754718,227,4.283018867924528,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Casey Mize","DET",3,3,5,4.00009,10,10,0,0,,53,222,51,26,24,7,14,,2,49,8.24328,2.37024,3.47782,1.20487,0.219844,0.0632133,0.1566309928894043,0.247618,1.22108,0.292358,0.713948,,,3.91375,0.874614,0.750082,289.6499938964844,,,,,,,223.50000000000003,4.216981132075472,224,4.226415094339623,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Freddy Peralta","NYM",4,3,5,3.99322,10,10,0,0,,57,241,49,28,25,8,22,,3,61,9.61829,3.47295,2.76949,1.26899,0.254363,0.0918447,0.16251803934574127,0.228084,1.24572,0.280782,0.728258,,,4.10022,0.872738,0.706023,56.36000061035156,,,,,,,242.99999999999997,4.263157894736842,228,4,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Jared Jones","PIT",3,3,4,4.00779,11,8,0,0,,47,197,43,23,21,6,16,,2,50,9.51385,3.06186,3.10722,1.17625,0.252014,0.0811062,0.17090817540884018,0.23789,1.24736,0.295733,0.717151,,,3.83836,0.869402,0.640205,714.77001953125,,,,,,,208.2,4.429787234042553,203,4.319148936170213,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Gerrit Cole","NYY",4,3,5,4.11407,10,10,0,0,,61,254,56,30,28,10,18,,2,60,8.83127,2.61001,3.38361,1.40034,0.236704,0.069956,0.1667480170726776,0.239404,1.20411,0.282878,0.717082,,,4.15156,0.862949,0.812876,232.89999389648438,,,,,,,242.8000000000001,3.9803278688524606,235,3.8524590163934427,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Parker Messick","CLE",3,3,5,3.8752,9,9,0,0,,53,225,50,25,23,7,17,,2,50,8.48074,2.92113,2.90323,1.0988,0.223826,0.0770954,0.1467306911945343,0.243093,1.25916,0.292247,0.726994,,,3.90844,0.850424,0.81619,294.17999267578125,,,,,,,219.10000000000002,4.133962264150944,217,4.09433962264151,,,,,,,,,,,,,,,,,,,"Parker Messick","31986",800048
"Mason Miller","SDP",1,1,0,2.30674,23,0,11,1,,23,88,13,6,6,2,9,,1,36,14.1694,3.3867,4.18385,0.712263,0.403923,0.0965433,0.30737927556037903,0.165271,0.952463,0.271206,0.800639,,,2.22449,0.848573,0.938837,27.860000610351562,,,,,,,212.8,9.252173913043478,190,8.26086956521739,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Aaron Nola","PHI",3,4,5,4.32114,10,10,0,0,,58,245,57,30,28,10,17,,2,58,8.90647,2.56786,3.46844,1.47729,0.235805,0.0679857,0.1678188294172287,0.250928,1.25907,0.296902,0.716228,,,4.21279,0.84361,0.713232,205.52999877929688,,,,,,,217.00000000000006,3.7413793103448287,219,3.7758620689655173,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Foster Griffin","WSN",3,3,5,4.1183,10,10,0,0,,54,225,51,27,25,7,15,,3,51,8.48429,2.55776,3.31708,1.23529,0.22492,0.0678067,0.15711352229118347,0.245763,1.2324,0.291891,0.706585,,,4.00781,0.842188,0.712916,999,,,,,,,228.9,4.238888888888889,227,4.203703703703703,,,,,,,,,,,,,,,,,,,"Foster Griffin","16432",656492
"Gavin Williams","CLE",4,3,5,3.86566,10,10,0,0,,58,243,50,27,25,7,23,,2,62,9.72504,3.5818,2.71513,1.15553,0.256791,0.0945778,0.16221284866333008,0.229272,1.26363,0.28724,0.735101,,,3.91457,0.827656,0.93109,144.74000549316406,,,,,,,262.1,4.51896551724138,248,4.275862068965517,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"Cade Cavalli","WSN",3,3,5,4.04149,10,10,0,0,,52,224,51,25,23,6,18,,4,49,8.45048,3.06199,2.7598,1.02114,0.218532,0.079184,0.13934791833162308,0.251241,1.31665,0.304504,0.715619,,,3.9373,0.810133,0.789473,305.2200012207031,,,,,,,210.4,4.046153846153846,214,4.115384615384615,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Shota Imanaga","CHC",4,3,5,4.01329,10,10,0,0,,61,249,56,30,27,11,14,,2,57,8.42967,2.03406,4.14426,1.60349,0.229722,0.0554312,0.17429029569029808,0.238182,1.137,0.270418,0.734932,,,4.31,0.795386,0.800756,157.92999267578125,,,,,,,236.50000000000009,3.8770491803278704,228,3.737704918032787,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Andrew Abbott","CIN",3,3,5,4.3621,10,10,0,0,,57,241,55,30,28,9,19,,1,50,7.94972,3.05445,2.60266,1.47268,0.208645,0.0801661,0.1284792348742485,0.249883,1.30684,0.284569,0.723741,,,4.55593,0.771707,0.743377,221.92999267578125,,,,,,,208.09999999999997,3.6508771929824557,208,3.6491228070175437,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Michael Wacha","KCR",4,4,5,4.39779,10,10,0,0,,61,256,60,32,30,8,18,,2,48,7.08207,2.67633,2.64619,1.22354,0.185781,0.0702071,0.1155741885304451,0.254956,1.29318,0.288257,0.690977,,,4.29268,0.767261,0.739047,609.2899780273438,,,,,,,233.0000000000001,3.819672131147543,237,3.8852459016393444,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Emmet Sheehan","LAD",3,2,4,4.06246,12,8,0,0,,44,180,37,21,20,7,14,,2,49,10.098,2.85744,3.53395,1.38281,0.271698,0.0768823,0.19481579214334488,0.227332,1.17366,0.282079,0.712556,,,3.9534,0.751458,0.62223,111.20999908447266,,,,,,,193.3,4.3931818181818185,179,4.068181818181818,,,,,,,,,,,,,,,,,,,"Emmet Sheehan","29839",686218
"Trevor Rogers","BAL",3,3,5,4.20318,10,10,0,0,,54,229,52,27,25,7,18,,2,45,7.54643,2.97721,2.53473,1.14228,0.197574,0.0779468,0.1196272000670433,0.250125,1.30145,0.289419,0.706394,,,4.1726,0.746667,0.665024,146.07000732421875,,,,,,,208.3,3.8574074074074076,209,3.8703703703703702,,,,,,,,,,,,,,,,,,,"Trevor Rogers","22286",669432
"Landen Roupp","SFG",3,3,5,3.92096,9,9,0,0,,49,209,45,23,21,5,20,,2,48,8.7671,3.70893,2.36378,0.895504,0.227786,0.096365,0.1314205676317215,0.239942,1.33076,0.29733,0.719465,,,3.79849,0.734107,0.743448,690.0999755859375,,,,,,,214.10000000000002,4.369387755102041,210,4.285714285714286,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Taj Bradley","MIN",3,3,5,4.35419,10,10,0,0,,55,234,51,29,27,8,20,,2,57,9.28869,3.31393,2.80293,1.31954,0.243553,0.0868922,0.15666040778160095,0.241897,1.29674,0.293971,0.706265,,,4.14877,0.733087,0.588504,492.4599914550781,,,,,,,224.00000000000003,4.072727272727273,219,3.981818181818182,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Griffin Jax","TBR",2,3,4,3.65169,8,8,0,0,,37,154,32,17,15,5,12,,1,42,10.1682,2.86613,3.5477,1.12277,0.273982,0.0772282,0.19675418734550476,0.229589,1.18448,0.294447,0.736219,,,3.52665,0.728139,0.654104,149.2100067138672,,,,,,,174.10000000000002,4.705405405405406,165,4.45945945945946,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Dustin May","STL",3,4,4,4.17467,16,10,0,0,,60,254,55,30,28,7,21,,4,55,8.32558,3.15398,2.63971,1.12122,0.217702,0.0824722,0.13523010909557343,0.24162,1.27757,0.287911,0.701063,,,4.1154,0.706021,0.65242,414.6700134277344,,,,,,,249.89999999999998,4.165,244,4.066666666666666,,,,,,,,,,,,,,,,,,,"Dustin May","19716",669160
"Payton Tolle","BOS",3,3,4,4.13351,9,9,0,0,,50,206,45,25,23,7,16,,2,49,8.9381,2.89178,3.09087,1.35572,0.238463,0.0771507,0.16131184250116348,0.236525,1.22283,0.281466,0.715075,,,4.14124,0.704885,0.756408,673,,,,,,,210.89999999999998,4.218,203,4.06,,,,,,,,,,,,,,,,,,,"Payton Tolle","35466",801139
