Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Connor Kaiser","KCR",95,342,299,57,37,13,2,5,34,28,34,7,118,3,1,5,0,4,1,0.190635,0.0994152,0.345029,0.288136,0.278932,0.297659,0.25187,0.576591,0.107023,5.10607,0.293785,,-0.0518295,23.4205,-16.9895,55.0307,-0.0518295,4.7,-18.178383983671665,8.469841003417969,0.211402,999,,,,,,,232.1,2.443157894,232.1,2.443157894,,,,,,,,,,,,,,,,,,,"Connor Kaiser","21535",663731
"Weston Eberly",,32,109,94,15,11,3,0,1,8,9,9,1,36,3,1,2,0,1,0,0.159574,0.0825688,0.330275,0.25,0.252336,0.223404,0.218853,0.475741,0.0638298,3.47636,0.241379,,0.0547632,4.54253,-8.33666,35.0463,0.0547632,4.6,-8.289792690426111,6.602498531341553,0.211325,999,,,,,,,46,1.4375,46,1.4375,,,,,,,,,,,,,,,,,,,"Weston Eberly","sa3022928",814440
"Adrian Pinto","TOR",28,121,109,24,16,4,0,4,18,17,8,3,24,2,0,2,0,3,1,0.220183,0.0661157,0.198347,0.333333,0.285714,0.366972,0.277395,0.652687,0.146789,5.2888,0.246914,,0.0386442,10.7938,-3.50331,76.2342,0.0386442,0.8,-3.3506635576486588,1.2445914149284363,0.210749,999,,,,,,,107.5,3.839285714,107.5,3.839285714,,,,,,,,,,,,,,,,,,,"Adrian Pinto","sa3015542",691437
"Niko Kavadas","LAA",121,493,422,84,48,17,1,18,52,62,58,5,189,10,3,0,1,1,1,0.199052,0.117647,0.383367,0.306878,0.308316,0.372038,0.298704,0.680354,0.172986,2.56429,0.302752,,-0.942303,52.5076,-5.74419,89.1319,-0.942303,1.4,-7.25732946395874,-7.657171845436096,0.21067,999,,,,,,,475.7,3.931404958,475.7,3.931404958,,,,,,,,,,,,,,,,,,,"Niko Kavadas","29782",694359
"Jay Thomason","MIN",68,247,217,42,26,8,2,6,29,29,24,1,81,4,2,0,0,10,1,0.193548,0.097166,0.327935,0.296296,0.283401,0.331797,0.272946,0.615198,0.138249,7.24269,0.272727,,1.24059,21.1414,-8.04353,71.808,1.24059,-0.4,-6.966604232788086,0.5075543820858002,0.209225,999,,,,,,,209.4,3.079411764,209.4,3.079411764,,,,,,,,,,,,,,,,,,,"Jay Thomason","sa3025265",823295
"Jefferson Rojas","CHC",118,503,456,98,68,16,3,11,60,58,38,16,103,5,4,0,0,10,3,0.214912,0.0755467,0.204771,0.368932,0.280318,0.335526,0.258775,0.615844,0.120614,5.64213,0.251445,,0.144289,37.2658,-22.1675,64.6463,0.144289,0.7,-20.932146087288857,6.244532763957977,0.20895,999,,,,,,,399.3,3.383898305,399.3,3.383898305,,,,,,,,,,,,,,,,,,,"Jefferson Rojas","sa3018571",800473
"Echedry Vargas","MIA",97,393,370,84,55,17,2,10,50,46,14,5,102,5,2,2,0,7,3,0.227027,0.0356234,0.259542,0.137255,0.263427,0.364865,0.267338,0.628292,0.137838,5.64889,0.284615,,-0.284067,31.8487,-14.5873,67.3793,-0.284067,3,-15.478326171636581,4.444003582000732,0.208405,999,,,,,,,317,3.268041237,317,3.268041237,,,,,,,,,,,,,,,,,,,"Echedry Vargas","sa3018565",800448
"Luke Maile","KCR",52,148,127,28,20,6,0,2,12,12,16,4,42,3,1,1,0,1,0,0.220472,0.108108,0.283784,0.380952,0.319728,0.314961,0.277617,0.634688,0.0944882,2.64904,0.309524,,-0.0310586,13.229,-4.25836,72.7668,-0.0310586,-1,-4.781491095200181,1.7189888954162598,0.208003,999,,,,,,,124.9,2.401923076,124.9,2.401923076,,,,,,,,,,,,,,,,,,,"Luke Maile","13355",571912
"Carlos Linarez",,50,166,154,31,23,4,1,3,13,15,9,4,66,1,1,1,0,1,1,0.201299,0.0542169,0.39759,0.136364,0.248485,0.298701,0.230928,0.547186,0.0974026,3.78135,0.325581,,-0.400966,8.54538,-11.0688,45.9261,-0.400966,4.5,-11.039698779582977,7.5496766567230225,0.207815,999,,,,,,,94.2,1.884,94.2,1.884,,,,,,,,,,,,,,,,,,,"Carlos Linarez","sa3016346",701800
"Gilberto Celestino",,107,390,348,81,63,13,1,4,42,35,39,13,92,3,0,0,0,6,2,0.232759,0.1,0.235897,0.423913,0.315385,0.310345,0.269884,0.625729,0.0775862,4.33994,0.305556,,-0.226389,32.4116,-13.6699,73.7653,-0.226389,5.7,-12.352892607450485,1.4010581970214844,0.206636,999,,,,,,,318.4,2.975700934,318.4,2.975700934,,,,,,,,,,,,,,,,,,,"Gilberto Celestino","20233",665482
"Wes Clarke",,110,468,400,85,48,18,1,18,49,59,60,9,150,5,3,0,0,2,1,0.2125,0.128205,0.320513,0.4,0.320513,0.3975,0.309423,0.718013,0.185,2.81084,0.285106,,-0.696091,53.9177,-1.38009,98.2691,-0.696091,-3.9,-1.6508671641349792,-12.497883319854736,0.200953,999,,,,,,,499.1,4.537272727,499.1,4.537272727,,,,,,,,,,,,,,,,,,,"Wes Clarke","sa3017045",682265
"Jorge Alfaro","KCR",79,295,279,64,43,12,1,8,30,32,9,5,112,5,2,0,0,5,0,0.229391,0.0305085,0.379661,0.0803571,0.264407,0.365591,0.266301,0.629998,0.136201,5.43298,0.347826,,0.656713,23.6584,-11.1981,64.9721,0.656713,-2.1,-11.52220207452774,3.319606304168701,0.19992,999,,,,,,,246.6,3.121518987,246.6,3.121518987,,,,,,,,,,,,,,,,,,,"Jorge Alfaro","12180",595751
"Conner Capel","COL",108,394,353,82,56,14,4,8,38,39,37,6,87,2,2,0,0,12,4,0.232295,0.0939086,0.220812,0.425287,0.307107,0.362606,0.289844,0.669713,0.130312,5.68687,0.284615,,0.174382,39.1291,-7.42507,70.4846,0.174382,6.8,-13.608489513397217,2.4569668769836426,0.199817,999,,,,,,,373.4,3.457407407,373.4,3.457407407,,,,,,,,,,,,,,,,,,,"Conner Capel","19983",668843
"Woody Hadeen","DET",120,495,441,95,72,15,2,6,67,55,34,5,102,20,0,0,0,16,4,0.21542,0.0686869,0.206061,0.333333,0.30101,0.29932,0.269805,0.60033,0.0839002,6.60982,0.267267,,0.763128,41.106,-17.382,70.1514,0.763128,-3.9,-16.65101444721222,1.556349277496338,0.199283,999,,,,,,,383.5,3.195833333,383.5,3.195833333,,,,,,,,,,,,,,,,,,,"Woody Hadeen","sa3025602",802219
"Matt Mervis",,107,425,386,85,49,18,1,17,49,58,31,4,124,5,3,0,1,3,1,0.220207,0.0729412,0.291765,0.25,0.284706,0.404145,0.295188,0.688851,0.183938,3.80426,0.274194,,-0.344253,44.0519,-6.16513,87.8187,-0.344253,2.1,-6.480151057243347,-5.707907199859619,0.199257,999,,,,,,,418.6,3.912149532,418.6,3.912149532,,,,,,,,,,,,,,,,,,,"Matt Mervis","27845",670223
"Canyon Brown","KCR",84,280,248,53,39,10,1,3,33,23,18,6,77,5,3,6,0,4,2,0.21371,0.0642857,0.275,0.233766,0.277372,0.298387,0.24828,0.575759,0.0846774,5.20475,0.292398,,-0.388728,18.3585,-14.7256,52.5576,-0.388728,3.2,-16.045305490493774,8.344033002853394,0.198374,999,,,,,,,182.7,2.175,182.7,2.175,,,,,,,,,,,,,,,,,,,"Canyon Brown","sa3025630",701401
"Tomás Nido","DET",75,241,222,51,38,8,0,5,24,23,11,9,62,2,2,4,0,0,0,0.22973,0.0456432,0.257261,0.177419,0.270042,0.333333,0.248076,0.603376,0.103604,1.60119,0.292994,,-0.27727,15.7615,-12.7145,55.183,-0.27727,2.2,-13.007390022277832,6.627542734146118,0.196193,999,,,,,,,172.8,2.304,172.8,2.304,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
"Andrew Benintendi","CHW",115,460,415,104,70,19,1,14,50,54,39,8,83,2,4,0,2,4,1,0.250602,0.0847826,0.180435,0.46988,0.315217,0.40241,0.306512,0.717627,0.151807,3.42269,0.279503,,-0.28949,51.909,-2.44354,95.4315,-0.28949,-6.1,-2.766347199678421,-11.170546531677246,0.194448,999,,,,,,,487.6,4.24,487.6,4.24,,,,,,,,,,,,,,,,,,,"Andrew Benintendi","17901",643217
"Ryan Noda","BAL",110,416,342,64,38,14,0,12,48,44,62,4,150,9,2,1,2,4,1,0.187135,0.149038,0.360577,0.413333,0.325301,0.333333,0.297115,0.658635,0.146199,3.23253,0.285714,,-0.302693,43.7698,-5.3838,90.6596,-0.302693,0.1,-4.882333993911743,-7.54256334155798,0.194153,999,,,,,,,387.6,3.523636363,387.6,3.523636363,,,,,,,,,,,,,,,,,,,"Ryan Noda","23312",676116
"Dixon Machado",,82,326,285,58,47,8,0,3,27,26,33,10,68,3,2,3,0,3,1,0.203509,0.101227,0.208589,0.485294,0.291022,0.263158,0.241763,0.55418,0.0596491,2.84482,0.25463,,-0.29144,19.6497,-18.8697,52.9928,-0.29144,8.3,-18.453958988189697,9.497825026512146,0.193033,999,,,,,,,202.1,2.464634146,202.1,2.464634146,,,,,,,,,,,,,,,,,,,"Dixon Machado","11472",553988
"Trevor Larnach","MIN",124,478,422,104,67,21,1,15,56,56,48,12,114,3,5,0,2,3,2,0.246445,0.100418,0.238494,0.421053,0.324268,0.407583,0.310338,0.731851,0.161137,3.03819,0.298658,,-0.918812,55.4248,-1.05459,97.5659,-0.918812,0,-2.2901338934898376,-12.294239044189453,0.191609,999,,,,,,,521.1,4.202419354,521.1,4.202419354,,,,,,,,,,,,,,,,,,,"Trevor Larnach","21501",663616
"Rudy Martin Jr.","TOR",83,331,290,68,50,10,3,5,38,30,27,3,85,3,1,10,0,22,6,0.234483,0.081571,0.256798,0.317647,0.305296,0.341379,0.284096,0.646675,0.106897,7.28246,0.313433,,1.43457,31.3277,-7.78251,77.2301,1.43457,-3.3,-7.448460817337036,-2.083803653717041,0.19069,999,,,,,,,298.9,3.601204819,298.9,3.601204819,,,,,,,,,,,,,,,,,,,"Rudy Martin Jr.","sa829374",657675
"Eric Wagaman","NYM",123,464,427,111,73,25,2,11,53,52,32,14,91,2,3,0,0,5,2,0.259953,0.0689655,0.196121,0.351648,0.3125,0.405152,0.300411,0.717652,0.145199,4.23422,0.304878,,-0.43299,50.062,-4.76322,90.728,-0.43299,-0.1,-5.503663808107376,-8.624397851526737,0.18898,999,,,,,,,487.8,3.965853658,487.8,3.965853658,,,,,,,,,,,,,,,,,,,"Eric Wagaman","23395",676572
