Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",44,190,171,49,30,11,1,7,28,25,16,2,33,2,1,0,,11,3,0.288606,0.0827571,0.171444,0.482707,0.351391,0.499733,0.3642,0.851124,0.211127,6.7374,0.316655,0.481479,0.677757,29.9826,7.34626,132.037,1.15924,2.68272,8.265790343284607,4.719293594360352,2.00482,3.0999999046325684,,,,,,,273.3,6.211363636,273.3,6.211363636,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Pete Crow-Armstrong","CHC",51,222,198,51,30,9,2,10,32,30,17,1,56,4,1,1,,12,3,0.258342,0.0773391,0.251281,0.30778,0.326631,0.473206,0.344309,0.799837,0.214864,7.42778,0.310239,0.350208,0.749833,31.3892,4.99129,118.713,1.10004,5.02746,6.137242555618286,5.8191229701042175,1.94283,32.939998626708984,,,,,,,296.5,5.81372549,296.5,5.81372549,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Yordan Alvarez","HOU",46,198,166,50,28,9,0,12,31,31,28,6,34,3,1,0,,1,0,0.300386,0.141069,0.173462,0.813255,0.406671,0.575157,0.411726,0.981828,0.274771,2.47976,0.313659,-0.323975,-0.259172,38.8099,15.2628,168.72,-0.583147,-0.0180154,15.273972749710083,-4.704435331746936,1.78763,33.38999938964844,,,,,,,347.8,7.560869565,347.8,7.560869565,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",51,220,199,53,34,9,0,10,30,30,16,1,47,3,1,0,,8,2,0.268622,0.0723905,0.214149,0.338038,0.32974,0.464037,0.342845,0.793777,0.195415,5.17907,0.305271,0.159198,0.392504,30.8712,4.68944,126.916,0.551703,1.24181,7.457514107227325,1.8306965827941895,1.73784,9.489999771118164,,,,,,,284.5,5.578431372,284.5,5.578431372,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",53,228,205,56,32,10,0,14,31,38,21,2,42,1,1,0,,2,1,0.273611,0.0898558,0.185492,0.484419,0.341139,0.526403,0.369087,0.867541,0.252792,3.26179,0.281357,-0.0323369,-0.192717,36.8914,9.72168,137.606,-0.225054,-1.48852,9.787401765584946,-0.9453094601631165,1.72266,16.479999542236328,,,,,,,336.2,6.343396226,336.2,6.343396226,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Shohei Ohtani","LAD",51,219,184,52,27,9,2,14,39,35,31,6,52,2,1,1,,6,1,0.280743,0.140985,0.237363,0.593963,0.386489,0.568585,0.399615,0.955075,0.287843,6.05538,0.317425,0.0273573,0.335783,40.8962,14.7762,154.386,0.363141,0,14.848617315292358,-5.483333110809326,1.67245,1.2699999809265137,,,,,,,383.9,7.52745098,383.9,7.52745098,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Kevin McGonigle","DET",51,222,192,51,34,11,1,6,31,23,27,0,31,1,1,1,,4,1,0.267174,0.121612,0.137727,0.882989,0.359845,0.424698,0.346681,0.784544,0.157524,5.23365,0.291085,0.146882,0.00174776,31.8839,5.4294,122.678,0.14863,0.243983,6.027776941657066,2.1169767677783966,1.63021,999,,,,,,,276.4,5.419607843,276.4,5.419607843,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Elly De La Cruz","CIN",52,226,200,53,32,10,2,9,33,29,22,1,60,1,1,1,,12,3,0.26469,0.0983623,0.265574,0.370376,0.33989,0.47184,0.350184,0.811729,0.207149,7.28927,0.331795,0.580272,0.804455,33.0462,6.15944,116.073,1.38473,0.690536,5.791435956954956,2.854887545108795,1.62079,8.449999809265137,,,,,,,305.2,5.869230769,305.2,5.869230769,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Gunnar Henderson","BAL",51,220,195,50,30,10,2,9,30,27,21,1,48,2,1,0,,6,2,0.254967,0.0954216,0.217448,0.438824,0.333101,0.452813,0.340793,0.785913,0.197846,5.92555,0.294279,0.468943,0.210491,30.5052,4.32347,120.312,0.679434,-0.438197,5.890724837779999,1.9173589646816254,1.58778,12.510000228881836,,,,,,,284.8,5.584313725,284.8,5.584313725,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Francisco Lindor","NYM",51,222,196,50,31,9,1,9,31,28,21,0,40,4,1,0,,6,2,0.25434,0.0940521,0.180165,0.522033,0.335172,0.444595,0.340564,0.779767,0.190254,5.83811,0.277553,-0.146199,0.310996,30.7818,4.32732,117.696,0.164797,1.26813,4.938492268323898,3.484641194343567,1.58619,25.350000381469727,,,,,,,281.2,5.51372549,281.2,5.51372549,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"José Ramírez","CLE",49,211,186,50,30,11,1,8,30,28,22,5,26,1,1,0,,12,2,0.266786,0.105247,0.122464,0.859407,0.346726,0.468076,0.34598,0.814802,0.20129,5.91779,0.269196,-0.000788804,1.06123,30.1947,5.04211,123.652,1.06044,0.698524,6.890282869338989,1.0034618973731995,1.56517,6.28000020980835,,,,,,,293,5.979591836,293,5.979591836,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Fernando Tatis Jr.","SDP",52,226,198,55,35,10,1,8,33,27,24,1,44,2,2,1,,10,3,0.275642,0.105707,0.196238,0.538667,0.35773,0.4591,0.355153,0.81683,0.183458,5.59224,0.315657,0.17738,0.496597,34.0405,7.08684,127.87,0.673977,2.00548,8.333925426006317,-0.3861875534057617,1.55181,14.010000228881836,,,,,,,308.5,5.932692307,308.5,5.932692307,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Cal Raleigh","SEA",47,187,161,34,18,6,0,10,23,27,23,2,54,2,1,0,,2,1,0.214068,0.122361,0.28655,0.427013,0.315396,0.446825,0.328631,0.762221,0.232758,2.9053,0.24442,-0.375387,-0.129419,24.1033,1.8332,117.039,-0.504806,1.26789,3.2136250138282776,3.492584466934204,1.54505,18.729999542236328,,,,,,,216.8,4.612765957,216.8,4.612765957,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Corbin Carroll","ARI",49,211,182,46,25,9,4,8,32,27,23,1,46,3,1,1,,9,2,0.254286,0.110313,0.216932,0.508514,0.34582,0.483044,0.357023,0.828865,0.228759,7.88238,0.295046,0.763766,0.824303,32.0074,6.91658,124.473,1.58807,1.66628,7.8494967222213745,-0.5584162473678589,1.43368,14.100000381469727,,,,,,,289.2,5.902040816,289.2,5.902040816,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Wyatt Langford","TEX",48,205,181,47,28,9,1,9,29,27,21,1,46,2,1,0,,6,2,0.260655,0.103064,0.225251,0.457549,0.341553,0.469165,0.351273,0.810719,0.20851,5.70136,0.302179,0.156468,0.305334,30.2359,5.78314,127.555,0.461801,1.62244,7.064628064632416,-0.4442216157913208,1.4148,37.75,,,,,,,273.4,5.695833333,273.4,5.695833333,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
