Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",5,2,8,2.65671,11,11,0,0,,64,253,51,21,19,6,11,,2,79,11.0749,1.53594,7.21053,0.827789,0.312805,0.0433817,0.26942287012934685,0.210741,0.95631,0.288367,0.767877,,,2.46194,2.1504,2.05928,7.019999980926514,,,,,,,386.20000000000005,6.034375000000001,361,5.640625,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Cristopher Sánchez","PHI",5,2,7,3.14152,11,11,0,0,,67,272,60,25,23,6,15,,2,68,9.21797,1.9879,4.63703,0.788207,0.250412,0.0540028,0.19640953466296196,0.233797,1.11812,0.297027,0.742042,,,2.95711,1.85628,1.85545,24.75,,,,,,,350.99999999999994,5.238805970149253,342,5.104477611940299,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",5,2,7,2.78916,11,11,0,0,,59,239,47,20,18,5,15,,3,69,10.5068,2.25863,4.65182,0.804696,0.290068,0.0623559,0.22771254181861877,0.213798,1.04835,0.286306,0.770704,,,2.82219,1.75788,1.8626,9.649999618530273,,,,,,,336.90000000000003,5.710169491525424,314,5.322033898305085,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Chris Sale","ATL",5,2,6,2.978,10,10,0,0,,57,231,48,20,19,5,14,,4,68,10.8524,2.24438,4.83538,0.813638,0.295451,0.061102,0.23434920608997345,0.227169,1.1032,0.310041,0.761328,,,2.84157,1.60848,1.69349,39.36000061035156,,,,,,,317.49999999999994,5.570175438596491,302,5.298245614035087,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Dylan Cease","TOR",4,2,7,3.28552,11,11,0,0,,60,248,47,24,22,6,24,,1,76,11.4589,3.57924,3.20149,0.880685,0.305956,0.095567,0.2103894278407097,0.209327,1.18028,0.289219,0.750973,,,3.10382,1.60605,1.40702,74.7699966430664,,,,,,,325,5.416666666666667,299,4.983333333333333,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Webb","SFG",5,3,6,3.28734,10,10,0,0,,63,262,60,25,23,5,14,,2,58,8.20104,1.99962,4.1013,0.685832,0.220119,0.0536706,0.1664486564695835,0.244286,1.17108,0.301246,0.727229,,,3.04381,1.54134,1.46265,57.189998626708984,,,,,,,316.70000000000005,5.026984126984128,318,5.0476190476190474,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",4,3,6,3.42329,10,10,0,0,,61,247,51,25,23,7,16,,2,67,9.97811,2.32021,4.30053,1.05204,0.271587,0.0631519,0.20843462646007538,0.224336,1.10742,0.286032,0.735329,,,3.29685,1.48473,1.43783,110.48999786376953,,,,,,,312.70000000000005,5.126229508196722,294,4.819672131147541,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jacob Misiorowski","MIL",4,2,6,3.19849,10,10,0,0,,54,219,39,21,19,6,19,,4,74,12.347,3.15294,3.91602,0.953214,0.338395,0.086413,0.2519819810986519,0.19862,1.0706,0.285937,0.74194,,,3.02599,1.44732,1.33807,114.13999938964844,,,,,,,303.4,5.618518518518518,271,5.018518518518518,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Ranger Suarez","BOS",4,2,6,3.29599,10,10,0,0,,58,245,56,23,21,5,17,,1,54,8.41558,2.60231,3.23389,0.707069,0.221937,0.0686285,0.1533086970448494,0.24462,1.2431,0.303311,0.745764,,,3.20125,1.43928,1.50453,183.97999572753906,,,,,,,276.1,4.7603448275862075,279,4.810344827586207,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Yoshinobu Yamamoto","LAD",5,2,5,3.46202,9,9,0,0,,56,226,45,24,22,6,14,,2,59,9.40974,2.22627,4.22669,0.964611,0.26048,0.0616274,0.198852326720953,0.212508,1.04181,0.265793,0.699396,,,3.2382,1.43172,1.14998,26.639999389648438,,,,,,,293.6000000000001,5.242857142857145,272,4.857142857142857,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
