feature,reliability_r,stabilize_n,pred_split_r,pred_yoy_r,pred_yoy_paxw_r,curr_r,n_split,n_pairs
kPct,0.6360914304104754,398.2721834263665,0.41747744320411767,0.5102537848368036,-0.5148865344601337,0.7106201116226918,4202,898
stuffRaw,0.9429331377268069,42.13183091584318,0.4057624238459019,0.4850358931000934,-0.45513168023225675,0.5332724404982427,4186,895
cswPct,0.5968607750514499,470.2071782772308,0.4047617290432416,0.4551014573195146,-0.44553413131072633,0.6804682127155061,4202,898
kbbPct,0.5138055329042306,658.7467301268772,0.39981385138385,0.4659759424079562,-0.4639396920960582,0.7594272677645985,4202,898
xrv100,0.3996776187915143,1045.6394082266465,0.39901836158410975,0.49142160272631474,-0.46928095575752277,0.9999999999999999,4202,898
paxw,0.3772860249010544,1149.0134978106337,-0.3823865785108279,-0.47721767414465766,0.4551273733582993,-0.9862246812426402,4202,898
whiffPct,0.7154817997310751,276.8335353662029,0.37965458757368875,0.44719423183196066,-0.44991263016572824,0.5752016552990609,4202,898
contactPct,0.7154817997310752,276.8335353662028,-0.37965458757368875,-0.44719423183196066,0.4499126301657282,-0.5752016552990605,4202,898
izContactPct,0.6229029397008057,421.4441241826406,-0.3619415120282971,-0.4568730364308063,0.4578387113783471,-0.5543701228851148,4202,898
izWhiffPct,0.6229029397008057,421.4441241826406,0.36194151202829705,0.4568730364308062,-0.4578387113783471,0.5543701228851149,4202,898
putawayPct,0.4764497406909857,764.97725232363,0.3566345681103512,0.44247354660368843,-0.4489344324777949,0.6634714099786928,4202,898
fipCore,0.35157184149725706,1283.9704219490786,-0.3513405801342142,-0.4284213646653782,0.4014181667322765,-0.8177697416802553,4202,898
weakSideXrv100,0.2754243447131091,1831.422942295251,0.3270777472898129,0.42110394472740775,-0.4056354423154197,0.8938145876562893,4108,898
twoStrikeWhiffPct,0.5117003394859361,664.3209585146026,0.32323069753940126,0.40991491206938646,-0.41784700976493294,0.5714465580058324,4202,898
woba,0.2708824938486694,1873.8025412567058,-0.3209261881916913,-0.3727370030757493,0.35321300457982446,-0.8271421030358321,4202,898
