mlbam,fangraphs,bbref,retro,last,first,birthYear
122134,1011875,sherled01,shere101,Sherling,Ed,1897
501869,3719,taylogr01,taylg001,Taylor,Graham,1984
285064,1011,vogelry01,voger001,Vogelsong,Ryan,1977
117006,1006859,kepshku01,kepsk001,Kepshire,Kurt,1959
460621,6026,spearna01,spean001,Spears,Nate,1985
702332,29646,durbica01,durbc002,Durbin,Caleb,2000
666674,20589,colined01,colie001,Colina,Edwar,1997
132620,627,sadledo01,sadld001,Sadler,Donnie,1975
119257,1009061,montara01,montr001,Montalvo,Rafael,1964
124645,1014320,yankoge01,yankg101,Yankowski,George,1922
506627,,brownra99,browr103,Brown,Ray,1908
121848,1011597,schnepe01,schnp101,Schneider,Pete,1895
596816,12963,gomezro01,gomer002,Gómez,Roberto,1989
122363,1012193,smithpo01,smitp101,Smith,Pop,1856
124100,1013792,wertsjo01,wertj101,Werts,Johnny,1898
117162,1007009,klingjo02,klinj102,Klinger,Joe,1902
112438,1002385,cockmji01,cockj101,Cockman,Jim,1873
817255,,simps02,simpu101,Simpson,,
116091,1005967,hollyed01,holle102,Holly,Ed,1879
118140,1007968,maglisa01,magls101,Maglie,Sal,1917
110525,1000504,bandoch01,bandc001,Bando,Chris,1956
120515,1010297,phillre01,philr101,Phillips,Red,1908
701552,29542,granian01,grana001,Granillo,Andre,2000
122443,1012191,smithpe02,smitp001,Smith,Pete,1966
820711,,anderbu02,andeb105,Anderson,Bubbles,1904
123056,1012791,swiglad01,swiga101,Swigler,Ad,1895
492661,,mccalja99,mccaj801,McCallister,Jack,1879
502593,10534,petrija01,petrj001,Petricka,Jake,1988
118683,1008500,mcganam01,mcgaa101,McGann,Ambrose,1868
664180,18076,hallma02,hallm002,Hall,Matt,1993
114369,1004287,foytapa01,foytp101,Foytack,Paul,1930
112157,1002103,cepedor01,cepeo101,Cepeda,Orlando,1937
112365,1002267,clarkbo02,clarb103,Clarke,William,1868
621242,14710,diazed04,diaze006,Díaz,Edwin,1994
400268,2324,boscajc01,boscj001,Boscán,J. C.,1979
120053,1009838,o'roufr01,orouf101,O'Rourke,Frank,1891
670032,19339,lopezni01,lopen001,Lopez,Nicky,1995
122587,1012332,spencve01,spenv101,Spencer,Vern,1894
820032,,colemgi01,coleg102,Coleman,Gilbert,
816468,,wrigh05,,Wright,,
110274,1000262,andrewa01,andrw102,Andrews,Wally,1859
114017,1003953,farrst01,farrs001,Farr,Steve,1956
119411,1009221,morrimi01,morrm101,Morrison,Mike,1867
115124,1005028,gremmed01,greme101,Gremminger,Ed,1874
120958,1010724,rayfofl01,rayff001,Rayford,Floyd,1957
622270,13877,mejiaal01,mejia002,Mejia,Alex,1991
113674,1003609,dwyerjo01,dwyej102,Dwyer,John,
118750,1008566,mcilrva01,mcilv101,McIlree,Vance,1897
115912,1005787,higgibo01,higgb102,Higgins,Bob,1886
117534,1007378,lattibi01,lattb101,Lattimore,Bill,1884
113220,1003157,delahji01,delaj103,Delahanty,Jim,1879
644428,15570,scribtr01,scrit001,Scribner,Troy,1991
115312,1005207,haighed01,haige101,Haigh,Ed,1867
120361,1010133,pellaed01,pelle101,Pellagrini,Eddie,1918
819240,,hackesp01,hacks102,Hackett,Speedball,
664040,18882,lowebr01,loweb001,Lowe,Brandon,1994
121935,1011685,scottji02,scotj103,Scott,John,1887
121080,1010843,rescixa01,rescx101,Rescigno,Xavier,1912
124590,1014269,wrighal01,wriga102,Wright,Al,1912
121840,1011578,schmicr01,schmc101,Schmit,Crazy,1866
518883,10529,kiekhde01,kiekd001,Kiekhefer,Dean,1989
124005,1013700,weaveji02,weavj102,Weaver,Jim,1939
122003,1011748,sentest01,sents101,Senteney,Steve,1955
114004,1003927,fanweha01,fanwh101,Fanwell,Harry,1886
596001,13619,junisja01,junij001,Junis,Jakob,1992
593576,11804,nerishe01,nerih001,Neris,Héctor,1989
110726,1000707,beamal01,beama101,Beam,Alex,1869
467092,1433,ramoswi01,ramow001,Ramos,Wilson,1987
457456,5559,reyesjo03,reyej003,Reyes,Jo-Jo,1984
657248,21366,ottogl01,ottog001,Otto,Glenn,1996
115333,1005228,haliced01,halie101,Halicki,Ed,1950
457574,2677,pachejo01,pachj001,Pacheco,Jordan,1986
819687,,duncajo01,duncj102,Duncan,Warren,1905
543744,6788,satinjo01,satij001,Satin,Josh,1984
124755,457,zeileto01,zeilt001,Zeile,Todd,1965
121820,1011568,schlibi01,schlb101,Schlitzer,Victor,1884
502522,8580,milleju02,millj006,Miller,Justin,1987
445926,5448,chaveje01,chavj001,Chavez,Jesse,1983
116199,1006072,howarch01,howac001,Howard,Chris,1966
112126,1002074,castlro01,castr101,Castleton,Roy,1885
112339,1002269,clarkbo04,clarb002,Clark,Bobby,1955
113285,1003224,derripa01,derrp101,Derringer,Paul,1906
451109,4293,hayesbr01,hayeb001,Hayes,Brett,1984
407870,1175,pearcjo01,pearj001,Pearce,Josh,1977
696100,29715,goodmhu01,goodh001,Goodman,Hunter,1999
117668,1007516,lemkema01,lemkm001,Lemke,Mark,1965
819429,,gardn03,,Gardner,,
115545,1005429,harriri01,harrr101,Harrison,Rit,1849
118985,1008797,merulma01,merum001,Merullo,Matt,1965
117029,1006881,ketchfr01,ketcf101,Ketchum,Fred,1875
117368,1007214,kurosry01,kuror101,Kurosaki,Ryan,1952
817020,,taylobo02,taylb109,Taylor,Bob,
121522,1011272,rozekdi01,rozed101,Rozek,Dick,1927
112703,1002640,corrifr01,corrf101,Corridon,Frank,1880
119800,1009597,nilanto01,nilat101,Niland,Tom,1870
115663,1005547,healyjo01,heale101,Healy,Egyptian,1866
112027,1001985,carrch01,carrc106,Carr,Charlie,1876
818445,,longlre01,longr102,Longley,Red,1909
120992,1010767,reedhu01,reedh101,Reid,Hugh,1852
608337,15474,giolilu01,gioll001,Giolito,Lucas,1994
122069,1011812,shaugsh01,shaus101,Shaughnessy,Shag,1883
658668,19698,olivaed02,olive001,Olivares,Edward,1996
111408,1001370,brazifr01,brazf101,Brazill,Frank,1899
111470,1001433,brillfr01,brilf101,Brill,Frank,1864
113420,1003356,dohened01,dohee101,Doheny,Ed,1873
110875,1000847,bennesh01,benns001,Bennett,Shayne,1972
114717,1004633,gerkege01,gerkg101,Gerken,George,1903
683227,25629,freemco01,freec003,Freeman,Cody,2001
112994,1002929,dailejo01,dailj101,Dailey,John,1853
641796,15124,locasti01,locat001,Locastro,Tim,1992
406723,1000544,barkean01,barka001,Barkett,Andy,1974
519455,4505,zimmejo02,zimmj003,Zimmermann,Jordan,1986
