mlbam,fangraphs,bbref,retro,last,first,birthYear
457508,3409,vanevjo01,vanej001,Van Every,Jonathan,1979
113401,1003336,doakbi01,doakb101,Doak,Bill,1891
122519,1012262,sodowcl01,sodoc001,Sodowsky,Clint,1972
110921,1000893,bernhwa01,bernw101,Bernhardt,Walter,1893
602080,12990,castier01,caste001,Castillo,Erick,1993
110079,1000073,adkindi01,adkid101,Adkins,Dick,1920
116631,1006508,johnsto02,johnt103,Johnson,Tom,1951
683822,33828,uwasana01,uwasn001,Uwasawa,Naoyuki,1994
114247,1004164,flohrmo01,flohm101,Flohr,Mort,1911
114043,1003964,fearve01,fearv101,Fear,Vern,1925
122364,1012112,smithch04,smitc105,Smith,Charley,1937
116934,1006789,kellona01,kelln101,Kellogg,Nate,1858
113129,1003072,davisot01,davio102,Davis,Otis,1920
650333,18568,arraelu01,arral001,Arráez,Luis,1997
110952,1000925,bestka01,bestk001,Best,Karl,1959
111203,1001173,bonnebo01,bonnb101,Bonner,Bobby,1956
119024,1008835,micelmi01,micem101,Micelotta,Mickey,1928
279823,259,wunscke01,wunsk001,Wunsch,Kelly,1972
502211,11137,bolsimi01,bolsm001,Bolsinger,Mike,1988
434590,3143,bazaryo01,bazay001,Bazardo,Yorman,1984
110093,1000089,ahearpa01,aheap001,Ahearne,Pat,1969
117246,1007094,koniedo01,konid101,Konieczny,Doug,1951
122170,1011910,shirlba01,shirb101,Shirley,Bart,1940
116215,1006090,howarth01,howat001,Howard,Thomas,1964
680951,30142,nikhado01,nikhd001,Nikhazy,Doug,1999
112629,1002575,cookro01,cookr102,Cook,Rollin,1890
117308,1007156,kremera01,kremr101,Kremer,Ray,1895
430899,2335,calzana01,calzn001,Calzado,Napoleon,1977
117879,1007716,lomando01,lomad001,Loman,Doug,1958
820274,,burgep01,burgp103,Burgett,P.,
818885,,jacks07,,Jackson,,
113159,1003099,deaglre01,deagr101,Deagle,Ren,1858
516782,9241,martest01,marts002,Marte,Starling,1988
420846,1445,fitzgbr01,fitzb001,Fitzgerald,Brian,1974
114032,279,fasseje01,fassj001,Fassero,Jeff,1963
114960,1004867,goodwma01,goodm102,Goodwin,Marv,1891
122521,1012264,sofieri01,sofir101,Sofield,Rick,1956
817360,,saundau01,sauna101,Saunders,Augustus,1909
117699,1007547,leppedo01,leppd102,Leppert,Don,1930
820582,,barnhda01,barnd101,Barnhill,Dave,1913
676961,19736,boushca01,bousc001,Boushley,Caleb,1993
112928,1002863,cullobu01,cullb101,Culloton,Bernard,1896
110610,1000590,barre01,barru101,Barrett,John,
121635,1011384,salkero01,salkr001,Salkeld,Roger,1971
124230,1013916,wickebo01,wickb101,Wicker,Bob,1877
122430,1012176,smithlo01,smitl002,Smith,Lonnie,1955
120859,1010623,raabebr01,raabb001,Raabe,Brian,1967
122787,1012527,stewane01,stewn101,Stewart,Neb,1918
430909,2355,mcconsa02,mccos001,McConnell,Sam,1975
621592,19642,jimened01,jimee002,Jiménez,Eduardo,1995
435714,2465,watkito01,watkt001,Watkins,Tommy,1980
116721,1006587,jonesro02,joner004,Jones,Ron,1964
116766,1006622,jorgemi01,jorgm001,Jorgensen,Mike,1948
592122,11850,austity01,austt001,Austin,Tyler,1991
457859,2761,ruizra01,ruizr001,Ruiz,Randy,1977
817590,,reesejo01,reesj102,Reese,John,1895
116493,1006360,jantzhe01,janth101,Jantzen,Walter,1890
448242,6141,gwynnto02,gwynt002,Gwynn,Tony,1982
111410,1001373,breamsi01,breas001,Bream,Sid,1960
114013,1003936,farmeho01,farmh001,Farmer,Howard,1966
136400,1009889,otanewi01,otanw001,Otáñez,Willis,1973
112604,1002548,contrna01,contn101,Contreras,Nardi,1951
451594,4062,fowlede01,fowld001,Fowler,Dexter,1986
121666,1011413,sandebe01,sandb101,Sanders,Ben,1865
658551,18496,fernaju01,fernj006,Fernández,Junior,1997
123357,1013079,tipplda01,tippd101,Tipple,Dan,1890
112104,1002061,castiji01,castj102,Castiglia,Jim,1918
820075,,clark08,,Clark,,
119014,1008821,meyerbo01,meyeb102,Meyer,Bob,1939
118968,1008780,merensp01,meres101,Merena,Spike,1909
115954,1005829,hillmda01,hilld102,Hillman,Dave,1927
817605,,recto01,rectu101,Rector,,
471897,6617,halmagr01,halmg001,Halman,Greg,1987
134181,639,beltrad01,belta001,Beltré,Adrian,1979
818401,,lynchja02,lyncj103,Lynch,James,1888
120637,1010406,podrejo01,podrj101,Podres,Johnny,1932
111958,1001914,canneri01,cannr101,Cannell,Wirt,1880
118321,1008143,marshma01,marsm102,Marshall,Max,1913
546276,10337,escobed02,escoe002,Escobar,Edwin,1992
121689,1011437,santaan01,santa001,Santana,Andrés,1968
407924,8725,acostma01,acosm001,Acosta,Manny,1981
460059,5203,pelfrmi01,pelfm001,Pelfrey,Mike,1984
120305,1010077,pattoha01,patth102,Patton,Harry,1884
113513,1003448,downere01,downr102,Downey,Red,1889
121651,1011400,samueju01,samuj001,Samuel,Juan,1960
119425,1009233,mortogu02,mortm101,Morton,Guy,1930
621514,17714,stewach02,stewc002,Stewart,Christin,1993
115719,1005605,heistal01,heisa101,Heist,Al,1927
118942,1008758,melvibo01,melvb001,Melvin,Bob,1961
116371,1006243,hutsoro01,hutsr101,Hutson,Roy,1902
112482,1002429,colemmi01,colem001,Coleman,Michael,1975
120690,1010460,portuma01,portm001,Portugal,Mark,1962
686642,29530,ellarfr01,ellaf001,Ellard,Fraser,1997
818171,,mesapa01,mesap101,Mesa,Pablo,1898
605507,16094,thompza01,thomz001,Thompson,Zach,1993
346862,1468,nealbl01,nealb001,Neal,Blaine,1978
122057,1011797,shannmi01,shanm101,Shannon,Mike,1939
819452,,gamizdo01,gamid101,Gámiz,Domingo,1892
500874,7996,martijo08,martj008,Martínez,José,1988
118671,1008490,mcfarda01,mcfad101,McFarlan,Dan,1874
115059,1004963,gravesi01,gravs101,Graves,Sid,1901
120964,1010735,raziaba01,razib101,Raziano,Barry,1947
112098,1002052,cassijo01,cassj103,Cassidy,John,1855
119533,1009337,murast01,muras001,Mura,Steve,1955
112233,1002179,chesbja01,chesj101,Chesbro,Jack,1874
820494,,black03,,Black,,
112577,1002515,connebi01,connb103,Connelly,Bill,1925
111422,1001385,brenesa01,brens101,Brenegan,Sam,1890
120310,1010080,paulege01,paulg102,Paulette,Gene,1891
450308,4235,weaveje02,weavj003,Weaver,Jered,1982
116500,1006366,jaspehi01,jasph101,Jasper,Hi,1886
687589,30153,hameldo01,hamed001,Hamel,Dom,1999
682769,,casteei01,,Castellano,Eiberson,2001
656288,19867,cannigr01,canng001,Canning,Griffin,1996
119360,1009165,morenju01,morej102,Moreno,Julio,1921
400105,1301,filebo01,fileb001,File,Bob,1977
116116,1005990,holzema01,holzm001,Holzemer,Mark,1969
117172,1007020,kluszte01,klust101,Kluszewski,Ted,1924
111116,1001088,blowemi01,blowm001,Blowers,Mike,1965
110004,1000004,abadijo01,abadj101,Abadie,John,1850
817784,,perezlu02,perel101,Pérez,Luis,
118132,1007961,magadda01,magad001,Magadan,Dave,1962
424925,1579,condrcl01,condc001,Condrey,Clay,1975
116259,1006132,hudliwi01,hudlw101,Hudlin,Willis,1906
124277,1013964,willbo01,willb106,Will,Bob,1931
124108,1013809,westma02,westm102,West,Max,1916
115892,1005772,hickemi01,hickm101,Hickey,Mike,1871
474029,9080,putnaza01,putnz001,Putnam,Zach,1987
342892,830,keislra01,keisr001,Keisler,Randy,1976
112019,1001972,carnebi01,carnb101,Carney,Bill,1874
663538,21479,hoernni01,hoern001,Hoerner,Nico,1997
121377,1011126,roetzed01,roete101,Roetz,Ed,1905
518558,8793,clarkma02,clarm003,Clark,Matt,1986
543542,12833,meyeral01,meyea001,Meyer,Alex,1990
122955,1012702,sullijo06,sullj104,Sullivan,John,1920
110421,1000402,bacsimi01,bacsm101,Bacsik,Mike,1952
113581,1003516,drysddo01,drysd101,Drysdale,Don,1936
113466,1003401,dooinre01,dooir101,Dooin,Red,1879
123913,1013606,wardco01,wardc002,Ward,Colin,1960
114813,1004723,gillija01,gillj101,Gilligan,Jack,1885
120014,1009802,o'neara01,onear001,O'Neal,Randy,1960
112299,1002246,ciscoga01,ciscg101,Cisco,Galen,1936
113620,1003554,duncama01,duncm001,Duncan,Mariano,1963
121925,1011674,scottdi01,scotd101,Scott,Dick,1883
117221,1007068,kochal01,kocha101,Koch,Alan,1938
117294,1007141,krappge01,krapg101,Krapp,Gene,1887
572114,9953,schimry01,schir001,Schimpf,Ryan,1988
663795,21546,hagenju01,hagej002,Hagenman,Justin,1996
819227,,haleyre01,haler102,Haley,Red,1901
117637,1007486,lehmake01,lehmk101,Lehman,Ken,1928
113605,1003540,dugeyos01,dugeo101,Dugey,Oscar,1887
113440,1003376,donalat01,donaa101,Donald,Atley,1910
113580,1003515,drumrke01,drumk101,Drumright,Keith,1954
122325,1012066,sloanbr01,sloab101,Sloan,Bruce,1914
121922,1011670,sconida01,scond001,Sconiers,Daryl,1958
123149,1012867,taylodu01,tayld102,Taylor,Luther,1875
123638,1013350,vandejo01,vandj101,Vander Meer,Johnny,1914
111554,642,brownke01,browk001,Brown,Kevin,1965
150260,1473,pickfke01,pickk001,Pickford,Kevin,1975
115380,1005273,hamilea01,hamie101,Hamilton,Earl,1891
121361,403,rodrine01,rodrn001,Rodríguez,Nerio,1971
113216,1003154,dela_to01,delat102,de la Cruz,Tommy,1911
113535,1003472,dozieto01,dozit001,Dozier,Tom,1961
122195,630,shousbr01,shoub001,Shouse,Brian,1968
122481,1012223,smyrecl01,smyrc101,Smyres,Clancy,1921
819483,,fox05,,Fox,,
111264,1001226,botteke01,bottk001,Bottenfield,Kent,1968
115580,1005467,hartzpa01,hartp001,Hartzell,Paul,1953
816961,,thomp10,,Thompson,,
121385,1011132,rogerja01,rogej101,Rogers,Jay,1888
114520,1004434,gainejo01,gainj101,Gaines,Joe,1936
121642,1011389,salvegu01,salvg101,Salve,Gus,1885
400143,1490,voylebr01,voylb001,Voyles,Brad,1976
693313,30084,seymoca01,seymc001,Seymour,Carson,1998
667465,22052,fletcaa01,fleta001,Fletcher,Aaron,1996
425629,1654,villaos01,villo001,Villarreal,Óscar,1981
672021,,ceraner01,,Cerantola,Eric,2000
681035,30107,scottch01,scotc001,Scott,Christian,1999
113441,1003377,donaled01,donae101,Donalds,Ed,1883
121516,1011267,royje01,roy-j101,Roy,Jean-Pierre,1920
425650,1941,duboija01,duboj001,Dubois,Jason,1979
150227,1687,ohmeke01,ohmek001,Ohme,Kevin,1971
116521,1006387,jeltzst01,jelts001,Jeltz,Steve,1959
435081,7419,nickemi01,nickm001,Nickeas,Mike,1983
117836,1007674,livinja01,livij101,Livingstone,Jake,1875
819881,,danieji01,danij103,Daniels,Jim,
819629,,entenlu01,entel101,Entenza,Luis,1904
808982,33824,leeju01,lee-j001,Lee,Jung Hoo,1998
467850,8574,escaled01,escae001,Escalona,Edgmer,1986
425626,1701,capuach01,capuc001,Capuano,Chris,1978
110528,1000507,baneydi01,baned101,Baney,Dick,1946
122668,1012412,stanlji01,stanj101,Stanley,Jim,1887
115054,1004959,gratema01,gratm001,Grater,Mark,1964
119806,1009603,nippeme01,nippm101,Nippert,Merlin,1938
279571,1837,belisma01,belim001,Belisle,Matt,1980
123682,1013389,veachpe01,veacp101,Veach,Peek-A-Boo,1862
113911,428,estalbo02,estab001,Estalella,Bobby,1974
817142,,spann01,spanu101,Spann,Buster,1907
111811,1001769,butlear01,butla101,Butler,Art,1887
122926,1012668,sudakbi01,sudab101,Sudakis,Bill,1946
117364,1007211,kunkeje01,kunkj001,Kunkel,Jeff,1962
112250,1002197,chismto01,chist101,Chism,Tom,1954
119055,1008866,miljujo01,miljj101,Miljus,Johnny,1895
818721,,johnsu01,,Johnson,U.,
816456,,wyattra01,wyatr101,Wyatt,Ralph,1917
124167,1013870,whiteel02,white105,White,Elder,1933
123157,1012890,taylote01,taylt001,Taylor,Terry,1964
121115,1010875,reynoto01,reynt101,Reynolds,Tommie,1941
119080,1008902,milleja01,millj106,Miller,Jake,1895
111347,1001311,bradlja01,bradj103,Bradley,Jack,1893
459932,559,ambrihe01,ambrh001,Ambriz,Héctor,1984
115136,1005044,griffke01,grifk001,Griffey,Ken,1950
123646,1013357,vanhage01,vanhg101,Van Haltren,George,1866
110729,1000709,beamoch01,beamc102,Beamon,Charlie,1934
820653,,atkinjo01,atkij102,Atkins,Joe,1922
113030,1002965,daneyar01,danea101,Daney,Lee,1904
663993,19566,lowena01,lowen001,Lowe,Nathaniel,1995
818234,,mcdufte01,mcdut101,McDuffie,Terris,1908
819766,,diazpe01,diazp101,Díaz,Pedro,1910
817285,,shepafr01,shepf101,Shepard,Freddie,1916
118351,1008192,martira01,martr103,Martin,Ray,1925
430664,1880,daiglca01,daigc001,Daigle,Casey,1981
115604,1005490,hatfigi01,hatfg101,Hatfield,Gil,1855
816440,,yorkji02,yorkj102,York,Jim,1895
430609,1913,saenzch01,saenc001,Sáenz,Chris,1981
433657,4635,bushda01,bushd001,Bush,Dave,1979
451188,6444,larocan01,laroa002,LaRoche,Andy,1983
112810,1002752,creebi01,creeb101,Cree,Birdie,1882
819887,,dandrtr01,dandt101,Dandridge,Troy,1904
400292,270,choihe01,choih001,Choi,Hee-Seop,1979
117198,1007045,knodemi01,knodm101,Knode,Mike,1895
581527,13862,travide01,travd001,Travis,Devon,1991
689981,29514,ryanri01,ryanr003,Ryan,River,1998
542884,7119,antoldu01,antod001,Antolin,Dustin,1989
112850,1002791,cronera01,cronr101,Crone,Ray,1931
113052,1002987,darkal01,darka101,Dark,Al,1922
115419,1005308,hanfoch01,hanfc101,Hanford,Charlie,1882
114555,1004468,galvilo01,galvl101,Galvin,Lou,1863
110511,1000489,balesle01,balel101,Bales,Lee,1944
819832,,davissa01,davis104,Davis,Saul,1901
620443,15905,torrelu01,torrl001,Torrens,Luis,1996
110914,1000890,bernavi01,bernv101,Bernal,Victor,1953
150188,1243,cordefr01,cordf002,Cordero,Francisco,1975
117833,1007673,livenwe01,livew101,Livengood,Wes,1910
124019,1013706,webbbi01,webbb101,Webb,Bill,1895
113198,1003136,deerijo01,deerj101,Deering,John,1878
119699,1009499,nelsoda01,nelsd101,Nelson,Dave,1944
116098,1005972,holmasc01,holms101,Holman,Scott,1958
114649,1004565,gastoal01,gasta101,Gaston,Alex,1893
819643,,ellisro03,ellir105,Ellis,Rocky,1911
111825,1001781,butleki02,butlk102,Butler,Kid,1887
112120,1002062,castijo01,castj001,Castino,John,1954
116700,1006532,jonesbr01,joneb105,Jones,Broadway,1898
122798,1012539,stimacr01,stimc101,Stimac,Craig,1954
541652,5766,rondobr01,rondb001,Rondón,Bruce,1990
112526,375,colonba01,colob001,Colón,Bartolo,1973
459987,3357,ramosce01,ramoc001,Ramos,Cesár,1984
111431,1001394,brently01,brenl101,Brenton,Lynn,1889
119460,1009265,moultal01,moula101,Moulton,Allie,1886
123026,1012759,swansbi01,swanb101,Swanson,Bill,1888
506693,5669,alvarhe01,alvah001,Álvarez,Henderson,1990
492668,,murrabi99,murrb801,Murray,Billy,1864
150097,1014322,yarnaed01,yarne001,Yarnall,Ed,1975
124385,1014071,wilsodo01,wilsd102,Wilson,Don,1945
661269,19278,gutievl01,gutiv001,Gutiérrez,Vladimir,1995
681751,24914,estrala01,estrl002,Estrada,Lazaro,1999
117444,1007287,lancale01,lancl001,Lancaster,Les,1962
111749,1001712,burnsji01,burnj106,Burns,Jim,
112985,1002919,d'acqjo01,dacqj101,D'Acquisto,John,1951
123575,1013291,uprigdi01,uprid101,Upright,Dixie,1926
469164,6380,wasseeh01,wasse001,Wassermann,Ehren,1980
115778,1005664,henrito01,henrt101,Henrich,Tommy,1913
121063,1010827,remseja01,remsj101,Remsen,Jack,1850
694388,29630,loperjo01,lopej008,Loperfido,Joey,1999
123339,1013060,tiernbi01,tierb101,Tierney,Bill,1858
114612,1004530,gardnra01,gardr102,Gardner,Ray,1901
123233,1012961,thoendi01,thoed101,Thoenen,Dick,1944
116149,1006024,horansh01,horas101,Horan,Shags,1895
120162,1009943,paddeto01,paddt101,Padden,Tom,1908
111125,1001097,blumecl01,blumc101,Blume,Clint,1898
111325,1001291,boyleji01,boylj103,Boyle,Jim,1904
113905,1003831,espossa01,espos101,Esposito,Sammy,1931
110519,1000498,ballowi01,ballw101,Ballou,Win,1897
113777,1003709,ehrharu01,ehrhr101,Ehrhardt,Rube,1894
592665,10586,reedad01,reeda001,Reed,Addison,1988
112578,1002526,connoed02,conne102,Connolly,Ed,1939
276055,319,dunnad01,dunna001,Dunn,Adam,1979
805672,,priceco01,,Price,Collin,1999
119063,1008888,milledu02,milld104,Miller,Dusty,1876
121875,1011628,schulda01,schud002,Schuler,Dave,1953
112116,513,castilu01,castl001,Castillo,Luis,1975
111866,1001820,cainbo01,cainb101,Cain,Bob,1924
121954,1011702,seamaki01,seamk101,Seaman,Kim,1957
116165,1006039,hoseydw01,hosed001,Hosey,Dwayne,1967
120006,1009795,olsonma01,olsom101,Olson,Marv,1907
121874,1011622,schuero01,schur101,Schueler,Ron,1948
115739,1005624,hemphch01,hempc101,Hemphill,Charlie,1876
816566,,willije03,willj114,Williams,Jesse,1923
111625,1001584,brumldu01,brumd001,Brumley,Duff,1970
119874,1009667,nyeri01,nye-r101,Nye,Rich,1944
111376,1001338,brameer01,brame101,Brame,Erv,1901
122557,1012299,spahnwa01,spahw101,Spahn,Warren,1921
471803,3387,gabinar01,gabia001,Gabino,Armando,1983
111098,1001070,blessik01,blesi101,Blessitt,Ike,1949
817569,,rhodear02,rhoda101,Rhodes,Army,1918
818027,,mullea01,mulla101,Mullen,A.,
114704,1004621,georgle01,georl101,George,Lefty,1886
425553,1693,sandeda01,sandd002,Sanders,David,1979
504186,5595,leonar01,leona001,Leon,Arnold,1988
115886,1005766,hibbsji01,hibbj101,Hibbs,Jim,1944
117791,1007625,lindsax01,linda101,Lindstrom,Axel,1895
111447,1001404,brewebi01,brewb001,Brewer,Billy,1968
116079,1005958,hollica01,hollc102,Holling,Carl,1896
596451,13546,quinnro01,quinr003,Quinn,Roman,1993
120521,1010292,phillja01,philj102,Phillips,Jack,1919
459425,7548,macrima01,macrm001,Macri,Matt,1982
111775,1001733,burrote01,burrt001,Burrows,Terry,1968
817686,,powelme01,,Powell,Malvin,1907
122045,1011788,shandji01,shanj101,Shanley,Jim,1854
116476,1006349,jamesdi01,jamed001,James,Dion,1962
624585,14221,solerjo01,solej001,Soler,Jorge,1992
121987,1011732,selkige01,selkg101,Selkirk,George,1908
123389,1013111,tomlira01,tomlr001,Tomlin,Randy,1966
502208,9557,waltepj01,waltp001,Walters,P. J.,1985
121118,1010876,rhawnbo01,rhawr101,Rhawn,Bobby,1919
116496,1037,jarvike01,jarvk001,Jarvis,Kevin,1969
115668,1005553,hearned01,heare101,Hearne,Ed,1887
116020,1005898,hoffre01,hoffr102,Hoff,Red,1891
118265,1008089,manushe01,manuh101,Manush,Heinie,1901
408304,1786,switzjo01,switj001,Switzer,Jon,1979
112218,1002165,chathbu01,chatb101,Chatham,Buster,1901
446899,7293,zieglbr01,ziegb001,Ziegler,Brad,1979
433584,3273,carmofa01,carmf001,Hernández,Roberto,1980
110262,1588,andresh01,andrs001,Andrews,Shane,1971
502517,4316,murphda08,murpd006,Murphy,Daniel,1985
119299,1009108,moorege01,moorg101,Moore,Frank,1876
123759,1013458,vossbi01,vossb101,Voss,Bill,1943
114732,1004648,getzgu01,getzg101,Getz,Gus,1889
118795,1008616,mclauki01,mclak101,McLaughlin,Kid,1888
665048,18615,harriho02,harrh001,Harris,Hobie,1993
113480,1003415,dorrbe01,dorrb101,Dorr,Bert,1862
116365,1006241,hutchjo02,hutcj101,Hutchings,Johnny,1916
817180,,smithji03,smitj114,Smith,James,
150375,1404,bocachi01,bocah001,Bocachica,Hiram,1976
121148,1010907,richage01,richg001,Richards,Gene,1953
113016,1002952,daltomi01,daltm001,Dalton,Mike,1963
150032,268,brownro02,browr001,Brown,Roosevelt,1975
400066,2033,nunezfr01,nunef001,Núñez,Franklin,1977
605288,12718,housead01,housa001,Houser,Adrian,1993
332292,160,parrijo01,parrj003,Parrish,John,1977
112021,1001978,carpecr01,carpc001,Carpenter,Cris,1965
819180,,harpe04,,Harper,,
115791,1005676,henryro01,henrr101,Henry,Ron,1936
114005,1003928,fanzoca01,fanzc101,Fanzone,Carmen,1941
121162,1010920,richato01,richt101,Richardson,Tom,1883
123594,1013308,vailbo01,vailb101,Vail,Bob,1881
474384,6582,freimna01,frein001,Freiman,Nate,1986
123418,1013139,tostlo01,tostl101,Tost,Lou,1911
506640,,torricr99,torrc101,Torriente,Cristóbal,1893
115633,1005517,hawlepi01,hawlp101,Hawley,Pink,1872
124337,1013977,willibo01,willb103,Williams,Bob,1884
113406,1003341,dobenra01,dober101,Dobens,Ray,1906
115874,1005755,heubege01,heubg101,Heubel,George,1849
124183,1013883,whiteki01,whitk101,White,Kirby,1884
124690,1014372,youngde02,yound105,Young,Del,1912
150403,1003998,fernajo01,fernj001,Fernández,José,1974
122681,849,stantmi02,stanm003,Stanton,Mike,1967
819778,,dewitfr01,dewif101,Dewitt,Fred,1900
683175,27649,phillco01,philc001,Phillips,Connor,2001
694876,,ingleco01,,Ingle,Cooper,2002
112485,1002431,colemra01,coler102,Coleman,Ray,1922
121355,1011106,rodrifr02,rodrf001,Rodriguez,Frankie,1972
400089,1100,soriara01,sorir001,Soriano,Rafael,1979
116531,1006394,jennibi01,jennb101,Jennings,Bill,1925
121512,1011262,rowlari01,rowlr001,Rowland,Rich,1964
118533,1008347,mccabbi01,mccab101,McCabe,Bill,1892
820812,,daviswi03,,Davis,Willie,1905
121744,1011490,scanldo01,scand101,Scanlan,Doc,1881
118332,1008153,martiba02,martb104,Martin,Barney,1923
124181,1013884,whitela01,whitl002,White,Larry,1958
110178,1000172,almadme01,almam101,Almada,Mel,1913
116144,1006018,hopkipa01,hopkp101,Hopkins,Paul,1904
429961,1775,jonesja04,jonej004,Jones,Jason,1976
113282,1003220,dernibo01,dernb001,Dernier,Bob,1957
118707,1008530,mcginti01,mcgit101,McGinley,Tim,1854
116926,1006776,kellejo01,kellj106,Kelley,Joe,1871
111190,1001160,bonege01,boneg101,Bone,George,1874
114580,1004494,garboal01,garba101,Garbowski,Alex,1922
118146,1007973,magrajo01,magrj001,Magrane,Joe,1964
425514,2080,bellhe01,bellh001,Bell,Heath,1977
571521,9794,brothre01,brotr001,Brothers,Rex,1987
113121,1003059,davisjo01,davij102,Davis,John,1915
119875,1009668,nyery01,nye-r001,Nye,Ryan,1973
818772,,johnsbu01,johnb113,Johnson,Bucky,
118454,1008274,mauldma01,maulm101,Mauldin,Mark,1914
124544,1014208,woodala01,woodl101,Woodall,Larry,1895
819945,,crespal01,cresa101,Crespo,Alejandro,1915
121477,1011222,rossbo01,rossb101,Ross,Bob,1928
687401,25493,ortizjo06,ortij005,Ortiz,Joey,1998
691172,27765,zulueyo01,zuluy001,Zulueta,Yosver,1998
280059,960,mercahe01,merch002,Mercado,Héctor,1974
112494,1002442,collaal01,colla101,Collamore,Allan,1887
818763,,johnsfr04,johnf105,Johnson,Frank,
117427,1007271,lamarbi01,lamab101,Lamar,Bill,1897
117591,1007437,learyjo01,learj101,Leary,John,1891
110453,1000418,bailebi01,bailb101,Bailey,Bill,1888
124001,1013693,weavear01,weava101,Weaver,Art,1879
117343,1007188,kubekto01,kubet101,Kubek,Tony,1935
817234,,smith14,,Smith,,
115108,1005006,greenmi01,greem001,Greenwell,Mike,1963
446919,2933,selfto01,selft001,Self,Todd,1978
117058,1006909,killija01,killj101,Killilay,Jack,1887
621363,19403,pocheco01,pochc001,Poche,Colin,1994
114028,1003950,farretu01,farrt101,Farrell,Turk,1934
819287,,greenle02,greel102,Green,Leslie,1914
680737,24605,helmami01,helmm001,Helman,Michael,1996
596064,13143,owenshe02,owenh002,Owens,Henry,1992
818494,,lillajo01,lillj102,Lillard,Joe,1905
501605,5665,navarya01,navay001,Navarro,Yamaico,1987
819067,,henrych01,henrc101,Henry,Charlie,1900
114124,1004046,filsope01,filsp001,Filson,Pete,1958
543108,6453,dirksan01,dirka001,Dirks,Andy,1986
527055,5498,vizcaar01,vizca001,Vizcaíno,Arodys,1990
111960,1001916,cannojo01,cannj101,Cannon,Joe,1953
119921,1009708,o'conan01,ocona101,O'Connor,Andy,1884
118456,1008275,maunedi01,maund101,Mauney,Dick,1920
641525,15214,dixonbr01,dixob001,Dixon,Brandon,1992
111827,1001784,buttefr01,buttf101,Buttery,Frank,1851
279782,232,garlajo01,garlj001,Garland,Jon,1979
819100,,haynesa01,hayns101,Haynes,Sammy,1920
123798,1013496,wakamdo01,wakad001,Wakamatsu,Don,1963
118584,1008400,mcclubo01,mcclb001,McClure,Bob,1952
518980,8051,mangima01,mangm001,Mangini,Matt,1985
542303,10324,ozunama01,ozunm001,Ozuna,Marcell,1990
117948,1007781,lovitjo01,lovij102,Lovitto,Joe,1951
114490,1004404,fultzda01,fultd101,Fultz,Dave,1875
452725,6236,littlwe01,littw001,Littleton,Wes,1982
668941,19574,romerjo01,romej002,Romero,JoJo,1996
592596,10585,noelri02,noelr001,Noel,Rico,1989
116804,1006661,kadinja01,kadij101,Kading,Jack,1884
430968,1896,takatsh01,takas001,Takatsu,Shingo,1968
820056,,clay03,,Clay,,
116710,1006576,jonesmi01,jonem101,Jones,Mike,1865
112816,1002758,creelke01,creek001,Creel,Keith,1959
110888,1000861,berarjo01,beraj101,Berardino,Johnny,1917
817812,,peeplna01,peepn101,Peeples,Nat,1926
502029,2852,marrech01,marrc001,Marrero,Chris,1988
123525,1013241,twinear01,twina101,Twineham,Art,1866
122088,1011835,sheana01,shean101,Shea,Nap,1874
136262,1010490,powelje01,powej002,Powell,Jeremy,1976
668901,22184,vientma01,vienm001,Vientos,Mark,1999
621074,19454,ruckemi01,ruckm001,Rucker,Michael,1994
122380,1012134,smithel01,smitm104,Smith,Elmer,1868
643376,16535,janseda01,jansd001,Jansen,Danny,1995
114067,1003990,fergujo01,fergj101,Ferguson,Joe,1946
493603,1247,ottavad01,ottaa001,Ottavino,Adam,1985
116809,1006665,kahlege01,kahlg101,Kahler,George,1889
816501,,wilsope02,wilsp103,Wilson,Percy,1899
123223,1012951,theseju01,thesj101,Thesenga,Jug,1914
818600,,kingea01,kinge101,King,Earnest,
672012,29949,blackty01,blact003,Black,Tyler,2000
110083,1000079,afenitr01,afent001,Afenir,Troy,1963
110164,1000141,allenga01,alleg001,Allenson,Gary,1955
117346,1007192,kubisja01,kubij101,Kubiszyn,Jack,1936
124484,1014164,withech01,withc102,Witherow,Charles,1852
150084,1001977,carpebu01,carpb001,Carpenter,Bubba,1968
123055,1012790,swigaoa01,swigo101,Swigart,Oad,1915
122780,1012529,stewast01,stews101,Stewart,Stuffy,1894
121336,1011089,rochelo01,rochl101,Rochelli,Lou,1919
114083,1004006,ferrami01,ferrm101,Ferraro,Mike,1944
121078,1010841,repozro01,repor101,Repoz,Roger,1940
117882,1007722,lombavi01,lombv101,Lombardi,Vic,1922
518435,10148,barrema03,barrm004,Barreda,Manny,1988
112636,1002579,cooledu01,coold101,Cooley,Duff,1873
124557,1014232,woodrpe01,woodp103,Woodruff,Pete,1874
115456,1005342,hardibu01,hardb101,Hardin,Bud,1922
667297,19178,nanceto01,nanct001,Nance,Tommy,1991
592407,11287,holadbr01,holab001,Holaday,Bryan,1987
117014,1006865,kernajo01,kernj101,Kernan,Joe,
117908,1007746,loospe01,loosp101,Loos,Pete,1878
119592,1009395,murrapa01,murrp101,Murray,Pat,1897
119946,1009739,oestero01,oestr001,Oester,Ron,1956
118998,1008810,metroch01,metrc101,Metro,Charlie,1918
113481,1003416,dorsebr01,dorsb001,Dorsett,Brian,1961
