Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Esteury Ruiz","MIA",21,90,79,19,12,4,1,2,12,10,8,0,22,2,1,1,,9,2,0.240493,0.0869704,0.241829,0.359636,0.325368,0.388211,0.317127,0.713579,0.147718,7.77895,0.302636,0.0170898,0.87355,10.8067,0.0322482,97.4209,0.89064,0.179188,0.6073992252349854,-0.10939197242259979,0.347172,748.530029296875,,,,,,,105,5,105,5,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
"Austin Hedges","CLE",18,70,61,14,10,2,0,2,7,6,6,0,16,1,1,1,,1,0,0.220003,0.0833715,0.228094,0.365514,0.291735,0.336477,0.281283,0.628212,0.116473,3.12125,0.26696,-0.0538243,-0.0862489,6.29621,-1.99932,78.5686,-0.140073,0.54084,-1.88299959897995,1.8988642692565918,0.346818,999,,,,,,,64.9,3.605555555,64.9,3.605555555,,,,,,,,,,,,,,,,,,,"Austin Hedges","12976",595978
"Alan Roden","MIN",25,107,94,24,17,5,0,2,12,12,10,0,18,2,1,0,,2,0,0.253849,0.0923651,0.172143,0.53656,0.337106,0.379178,0.319394,0.716285,0.125329,4.384,0.293041,-0.000603503,-0.0236736,12.9943,0.235083,103.056,-0.0242772,0.24398,0.357940673828125,-0.8339523822069168,0.339953,999,,,,,,,113.5,4.54,113.5,4.54,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Jimmy Crooks","STL",23,91,82,19,13,4,0,3,10,10,7,0,26,1,1,0,,0,0,0.23065,0.074834,0.285076,0.262505,0.29692,0.373077,0.295685,0.669997,0.142427,3.11817,0.302551,-0.00520071,-0.0810614,9.29595,-1.5507,86.5347,-0.0862621,-0.0687667,-1.574959620833397,1.599134624004364,0.338593,999,,,,,,,88.2,3.834782608,88.2,3.834782608,,,,,,,,,,,,,,,,,,,"Jimmy Crooks","31354",699625
"Hunter Feduccia","TBR",30,117,103,23,15,5,1,2,12,10,13,0,31,1,1,1,,0,0,0.219775,0.106992,0.26829,0.398791,0.305852,0.342547,0.291177,0.648399,0.122772,3.64131,0.291404,-0.0729995,-0.109785,11.5444,-2.42602,83.3364,-0.182784,-0.96833,-2.4650221168994904,1.318707287311554,0.335825,999,,,,,,,106.8,3.56,106.8,3.56,,,,,,,,,,,,,,,,,,,"Hunter Feduccia","23372",676439
"Brandon Valenzuela","TOR",27,108,97,21,13,4,0,3,11,12,9,0,28,1,1,0,,1,0,0.212955,0.0870705,0.26217,0.332114,0.28399,0.356608,0.283552,0.640598,0.143653,3.02665,0.263408,-0.0073577,-0.0923778,9.98788,-2.90908,79.5534,-0.0997355,0.231502,-2.68492628633976,1.4961620271205902,0.33444,999,,,,,,,92.3,3.418518518,92.3,3.418518518,,,,,,,,,,,,,,,,,,,"Brandon Valenzuela","23813",678218
"Jake Mangum","PIT",29,124,115,32,25,6,1,1,13,11,6,0,21,1,1,1,,6,2,0.280242,0.0485187,0.168974,0.287137,0.322249,0.369231,0.305531,0.69148,0.0889897,5.81204,0.332123,0.0657795,0.258169,13.6243,-1.11973,89.1426,0.323949,0.727121,-1.3077291250228882,0.5913189351558685,0.333555,672.4199829101562,,,,,,,123.5,4.258620689,123.5,4.258620689,,,,,,,,,,,,,,,,,,,"Jake Mangum","26202",663968
"Konnor Griffin","PIT",18,78,71,18,13,3,0,2,11,9,5,0,20,2,1,0,,4,1,0.261285,0.0643085,0.252602,0.254584,0.324209,0.396369,0.317745,0.720577,0.135083,6.90798,0.335853,0.0439549,0.321837,9.42418,0.0673982,97.3001,0.365792,0.0328399,0.10829755663871765,0.6184880882501602,0.331287,999,,,,,,,83.1,4.616666666,83.1,4.616666666,,,,,,,,,,,,,,,,,,,"Konnor Griffin","35376",804606
"TJ Rumfield","COL",45,192,171,47,31,9,1,5,22,23,18,0,33,3,1,0,,1,0,0.27235,0.0911965,0.170368,0.535291,0.347518,0.42788,0.340933,0.775398,0.15553,3.02247,0.307632,-0.136393,-0.278067,26.7573,3.7907,101.204,-0.414461,0.651857,-0.13256609439849854,-2.8874945640563965,0.326805,999,,,,,,,235.9,5.242222222,235.9,5.242222222,,,,,,,,,,,,,,,,,,,"TJ Rumfield","29805",681198
"Christian Yelich","MIL",43,184,160,40,26,7,1,6,24,21,21,2,47,2,1,0,,5,1,0.248065,0.112062,0.255165,0.439174,0.337339,0.405241,0.325591,0.74258,0.157176,5.38641,0.314188,0.220648,0.266105,23.2707,1.32991,105.136,0.486753,-0.00267177,1.6354281604290009,-4.427362970542163,0.321645,127.22000122070312,,,,,,,222.1,5.165116279,222.1,5.165116279,,,,,,,,,,,,,,,,,,,"Christian Yelich","11477",592885
