k,subset,r_S,r_Y,combined,se
0,BENCH kwERA-core (kbbPct),0.40342470330818075,0.4710253372222477,0.43722502026521426,
0,BENCH FIP-core,0.34901842437601777,0.4252656089647317,0.38714201667037473,
0,BENCH regressed xRV/100,0.40309641856032,0.4910885804842277,0.44709249952227387,
0,BENCH Pitching+ proxy,0.4411931548216509,0.47996913040427786,0.46058114261296434,
6,xrvoe+kPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.5269515898392731,0.5950913635305779,0.5610214766849255,0.013780081358986972
6,stuffRaw+locRaw+kPct+izWhiffPct+gbPct+pitchesPerG,0.5256784140063262,0.592335940216021,0.5590071771111735,0.013864055440919947
6,xrvoe+kPct+xrv100+gbPct+bestPitchXrv100+pitchesPerG,0.5240794280490236,0.5936910503056064,0.558885239177315,0.0135925154301642
6,stuffRaw+locRaw+kPct+izWhiffPct+barrelPct+pitchesPerG,0.5246676890097302,0.5930548426580218,0.558861265833876,0.013697332087244475
6,xrvoe+kPct+cswPct+xrv100+gbPct+pitchesPerG,0.5260869852504948,0.5911911624157965,0.5586390738331457,0.01313615258084956
6,stuffRaw+locRaw+kPct+cswPct+barrelPct+pitchesPerG,0.5255227705101293,0.5914596339232473,0.5584912022166884,0.013296565938362636
6,xrvoe+kPct+whiffPct+xrv100+gbPct+pitchesPerG,0.5265757089799323,0.590305466441394,0.5584405877106632,0.012982364452975277
6,stuffRaw+locRaw+kPct+xrv100+gbPct+pitchesPerG,0.5248433934570536,0.5917003041708842,0.5582718488139689,0.013723786783475985
6,xrvoe+kPct+chasePct+xrv100+gbPct+pitchesPerG,0.5270926182050361,0.5893576086484925,0.5582251134267643,0.012543725220091286
6,stuffRaw+locRaw+kPct+barrelPct+gbPct+pitchesPerG,0.5235365222475663,0.5927623851387801,0.5581494536931733,0.014031892195127321
6,stuffRaw+locRaw+kPct+whiffPct+barrelPct+pitchesPerG,0.5254705036116851,0.5907745859580728,0.558122544784879,0.013383314568748137
6,stuffRaw+xrvoe+kPct+xrv100+gbPct+pitchesPerG,0.5229481288378458,0.5932101766467545,0.5580791527423001,0.013859170923508309
6,stuffRaw+xrvoe+kPct+cswPct+xrv100+pitchesPerG,0.5251130146194266,0.5908967017794761,0.5580048581994513,0.01280238785628049
6,xrvoe+kPct+izWhiffPct+xrv100+barrelPct+pitchesPerG,0.5241170563793224,0.5917704622593141,0.5579437593193182,0.013177477727765683
6,stuffRaw+locRaw+kPct+barrelPct+bestPitchXrv100+pitchesPerG,0.5213672560802854,0.5945196998223846,0.557943477951335,0.014220423008423985
6,stuffRaw+locRaw+kPct+xrv100+bestPitchXrv100+pitchesPerG,0.5239475150064282,0.5919390321619691,0.5579432735841987,0.013254475174573765
6,stuffRaw+locRaw+kPct+chasePct+barrelPct+pitchesPerG,0.5258847938791413,0.5899911024793725,0.5579379481792569,0.013028692022910229
6,stuffRaw+locRaw+kPct+izWhiffPct+xrv100+pitchesPerG,0.5253735232775969,0.5903612908488703,0.5578674070632337,0.01305267569951648
6,stuffRaw+locRaw+kPct+cswPct+xrv100+pitchesPerG,0.5264835451538333,0.5892210049438662,0.5578522750488497,0.012709008165666795
6,stuffRaw+xrvoe+kPct+xrv100+bestPitchXrv100+pitchesPerG,0.5222586579568443,0.5934075332964875,0.5578330956266659,0.013410567772684451
6,stuffRaw+xrvoe+kPct+izWhiffPct+xrv100+pitchesPerG,0.523542938470701,0.5919671734597896,0.5577550559652453,0.013194413857523174
6,xrvoe+kPct+cswPct+xrv100+barrelPct+pitchesPerG,0.5254223603471919,0.5900504546029549,0.5577364074750735,0.012733679820769837
6,stuffRaw+locRaw+kPct+gbPct+bestPitchXrv100+pitchesPerG,0.5205271995886768,0.5949288958754938,0.5577280477320853,0.014692312720073215
6,stuffRaw+izWhiffPct+xrv100+xwobacon+gbPct+pitchesPerG,0.5230056917578184,0.5922887620910964,0.5576472269244575,0.014334451095388327
6,stuffRaw+locRaw+kPct+whiffPct+xrv100+pitchesPerG,0.526829894267891,0.5884270906459026,0.5576284924568968,0.012702887993845474
6,xrvoe+kPct+xrv100+barrelPct+gbPct+pitchesPerG,0.5230658379163403,0.5921896879081179,0.557627762912229,0.013712527783002438
6,stuffRaw+kbbPct+izWhiffPct+barrelPct+gbPct+pitchesPerG,0.5205711843560686,0.5946422019761204,0.5576066931660946,0.01527831105502768
6,xrvoe+kPct+cswPct+xrv100+bestPitchXrv100+pitchesPerG,0.5262792933152669,0.5889280868194451,0.557603690067356,0.012049043392915503
6,stuffRaw+xrvoe+kPct+chasePct+xrv100+pitchesPerG,0.5258261464217054,0.5892375947153903,0.5575318705685479,0.012460631644055732
6,stuffRaw+locRaw+kPct+xrv100+barrelPct+pitchesPerG,0.5233197780063956,0.5917041235108017,0.5575119507585986,0.013650924999510629
6,stuffRaw+kPct+izWhiffPct+chasePct+xrv100+pitchesPerG,0.5247292218845448,0.590254872574282,0.5574920472294134,0.013251017951519938
6,xrvoe+kPct+xrv100+gbPct+usageEntropy+pitchesPerG,0.5240601919411297,0.5908511411822502,0.55745566656169,0.013238535174757397
6,stuffRaw+xrvoe+kPct+xrv100+barrelPct+pitchesPerG,0.5217099260191985,0.5930057379579122,0.5573578319885554,0.013749048046747968
6,stuffRaw+xrvoe+kPct+whiffPct+xrv100+pitchesPerG,0.5244859344949977,0.5901960183124398,0.5573409764037187,0.012816138233661923
6,xrvoe+kPct+xrv100+barrelPct+bestPitchXrv100+pitchesPerG,0.5226189786836581,0.5920265178223414,0.5573227482529998,0.013230000216213253
6,stuffRaw+kbbPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.5218022784259054,0.59283413175383,0.5573182050898677,0.014876474062106529
6,xrvoe+kPct+chasePct+xrv100+barrelPct+pitchesPerG,0.5262195268618064,0.5883375990747838,0.557278562968295,0.012222218528733236
6,stuffRaw+locRaw+kbbPct+izWhiffPct+gbPct+pitchesPerG,0.5241484831953324,0.5904060819202378,0.5572772825577851,0.013998020800152526
6,xrvoe+kPct+cswPct+izWhiffPct+xrv100+pitchesPerG,0.5265418100755319,0.5879936764419136,0.5572677432587227,0.012091448535499946
6,xrvoe+kPct+izWhiffPct+xrv100+bestPitchXrv100+pitchesPerG,0.5243348810173811,0.5901934299792774,0.5572641554983293,0.012519892795016823
6,xrvoe+kbbPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.525856986978274,0.5886483036850503,0.5572526453316622,0.013318902128616465
6,stuffRaw+locRaw+kPct+gbPct+weakSideXrv100+pitchesPerG,0.5232358072597025,0.5912011651134091,0.5572184861865559,0.013970662605455835
6,stuffRaw+kPct+izWhiffPct+chasePct+barrelPct+pitchesPerG,0.5221742042863327,0.5921714492988005,0.5571728267925666,0.014131114131577487
6,xrvoe+kPct+whiffPct+xrv100+barrelPct+pitchesPerG,0.5250773231125273,0.5892323319503658,0.5571548275314466,0.012694350534402252
6,xrvoe+kPct+whiffPct+xrv100+bestPitchXrv100+pitchesPerG,0.5258751884812309,0.5884018998394804,0.5571385441603557,0.012088495042163562
6,stuffRaw+locRaw+xrvoe+kPct+gbPct+pitchesPerG,0.5234132748082944,0.5908046218849553,0.5571089483466248,0.013795726938491104
6,stuffRaw+kPct+chasePct+xrv100+bestPitchXrv100+pitchesPerG,0.5226642478147397,0.5915292099066332,0.5570967288606865,0.013444436574389517
6,stuffRaw+kbbPct+izWhiffPct+chasePct+barrelPct+pitchesPerG,0.5243376838041488,0.5898328644751876,0.5570852741396681,0.013564602322657632
5,xrvoe+kPct+xrv100+gbPct+pitchesPerG,0.5230367411791794,0.5911203779948719,0.5570785595870257,0.013520679547174176
6,stuffRaw+locRaw+kPct+barrelPct+weakSideXrv100+pitchesPerG,0.522175304503901,0.5918590860276551,0.5570171952657781,0.013864308550628736
6,xrvoe+kPct+izWhiffPct+chasePct+xrv100+pitchesPerG,0.5277080733379674,0.5862143038121957,0.5569611885750816,0.011485331972310572
6,stuffRaw+locRaw+kbbPct+izWhiffPct+barrelPct+pitchesPerG,0.5234745811320665,0.5904340650743022,0.5569543231031844,0.013750216866117076
6,stuffRaw+locRaw+kPct+xwobacon+gbPct+pitchesPerG,0.5232354049686406,0.5906367412383693,0.5569360731035049,0.013842269758311376
6,stuffRaw+locRaw+kPct+chasePct+xrv100+pitchesPerG,0.5261348613713418,0.5876970038779183,0.55691593262463,0.012492705717494923
6,stuffRaw+kPct+cswPct+chasePct+xrv100+pitchesPerG,0.5246630284153143,0.5890690725505644,0.5568660504829394,0.01307190982051306
6,stuffRaw+izWhiffPct+xrv100+xwobacon+barrelPct+pitchesPerG,0.5221469329994732,0.5915769883572588,0.556861960678366,0.013873114994446328
6,stuffRaw+kbbPct+izWhiffPct+chasePct+gbPct+pitchesPerG,0.5233289642490925,0.5903923165967969,0.5568606404229447,0.014157064488083801
6,xrvoe+kPct+xrv100+fipCore+gbPct+pitchesPerG,0.5229493173938082,0.5907677431853341,0.5568585302895712,0.01353487351715861
6,xrvoe+izWhiffPct+xrv100+xwobacon+gbPct+pitchesPerG,0.5262437561813796,0.5874532430523354,0.5568484996168575,0.01283931984974969
6,xrvoe+kPct+xrv100+xwobacon+gbPct+pitchesPerG,0.5234170560881981,0.5902238800927686,0.5568204680904834,0.013370474898522942
6,stuffRaw+locRaw+kPct+barrelPct+usageEntropy+pitchesPerG,0.5230209655683846,0.5905944671946468,0.5568077163815157,0.013365499477652873
6,xrvoe+kPct+chasePct+xrv100+bestPitchXrv100+pitchesPerG,0.5263989128883173,0.5870338344889104,0.5567163736886138,0.011538310489312864
6,xrvoe+fbVelo+kPct+xrv100+gbPct+pitchesPerG,0.5228610899941768,0.5905656646628842,0.5567133773285304,0.013567793199020212
5,stuffRaw+locRaw+kPct+barrelPct+pitchesPerG,0.5218426538753728,0.5915377499626263,0.5566902019189995,0.013793060421455004
6,stuffRaw+kbbPct+izWhiffPct+gbPct+bestPitchXrv100+pitchesPerG,0.5173815345802029,0.5959570747148525,0.5566693046475277,0.01584223234557276
6,xrvoe+kPct+cswPct+chasePct+xrv100+pitchesPerG,0.5281298779104086,0.5850362128308739,0.5565830453706413,0.011229153080091224
6,stuffRaw+locRaw+xrvoe+kPct+bestPitchXrv100+pitchesPerG,0.521621846053181,0.5915345943289525,0.5565782201910667,0.01361372615299085
