pid,season,half,locRaw,locN
519293,2021,full,0.00723640774713185,1071
519293,2021,A,0.005767688679015263,544
607229,2021,full,0.00895925306246509,421
607229,2021,A,0.009347361704718987,241
455119,2021,full,0.011261800287359331,655
455119,2021,B,0.012379882553172456,334
592390,2021,full,0.011303238590546402,1086
592390,2021,B,0.010398366964021025,551
592866,2021,full,0.008820311673073015,1523
592866,2021,A,0.010879555612527956,840
592426,2021,full,0.005495031374177859,1052
592426,2021,A,0.004025685588942857,572
554431,2021,full,0.003047526862078508,1055
554431,2021,A,0.002054778235052863,530
675911,2021,full,0.0058364302617964214,38
675911,2021,B,0.001658370230280092,22
450203,2021,full,0.00590597169690491,2953
450203,2021,A,0.00557781749544375,1442
592789,2021,full,0.007736347809533101,26
592789,2021,B,-0.0008544025364527372,16
608032,2021,full,0.004560832922551528,1003
608032,2021,B,0.004665479575297201,525
605525,2021,full,0.0035170073760935785,748
605525,2021,B,0.0034822623455426365,352
641755,2021,full,0.0047500150729672475,1137
641755,2021,B,0.00403160775948367,539
598287,2021,full,0.007183666986167891,575
598287,2021,B,0.007528657216572626,307
642068,2021,full,-0.00015925078428214183,454
642068,2021,B,0.002076266050879732,216
642203,2021,full,0.0047004755351846535,1198
642203,2021,A,0.004270939075640286,644
656458,2021,full,0.003368515203291398,729
656458,2021,A,0.0014025013288229363,371
664092,2021,full,0.005140228455251454,403
664092,2021,B,0.0027831531303980405,200
453268,2021,full,0.007089450209010394,1208
453268,2021,A,0.007607605846531414,626
573009,2021,full,0.008445368027538614,613
573009,2021,A,0.008723976023501133,373
650668,2021,full,0.005780560305381896,417
650668,2021,A,0.005930046167792714,268
623485,2021,full,0.006903127080354212,554
623485,2021,B,0.007971651789353688,300
605242,2021,full,0.005989872776627675,1178
605242,2021,B,0.007048543415416839,598
641582,2021,full,0.005066007227212987,726
641582,2021,A,0.0020954685333673035,324
625643,2021,full,0.008542124182347994,937
625643,2021,B,0.009669385908875802,459
