Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Sandlin","CHW",0.7504,1.7278,0.923541,5.146,7,3,0,0.2028,,18.836,82.3615,18.923,11.54,10.77,3.3426,7.52539,0.156759,0.668801,15.7666,7.5334,3.5957,2.09511,1.59712,0.191431,0.0913702,0.10006093233823776,0.255139,1.40414,0.28298,0.684853,,,5.04768,0.0903847,-0.0366346,999,,,,,,,59.29999999999999,3.1210526315789466,61,3.210526315789474,,,,,,,,,,,,,,,,,,,"David Sandlin","31743",689818
"Jeff Hoffman","TOR",0.790437,0.529875,0,4.07738,21,0,1.063,4.9663,,12.1843,51.3266,9.9715,5.95,5.52,1.83787,4.5536,0.224159,0.767844,14.2994,10.5623,3.36355,3.14024,1.35755,0.278596,0.0887182,0.18987809121608734,0.216747,1.19212,0.27232,0.717457,,,4.03369,0.0901246,0.0384921,99.63999938964844,,,,,,,73.20000000000002,6.100000000000001,69,5.75,,,,,,,,,,,,,,,,,,,"Jeff Hoffman","17432",656546
"Braydon Fisher","TOR",0.727584,0.458515,0,3.78938,19,0,0,3.9297,,10.9015,46.2763,8.66651,4.95,4.59,1.31547,4.98147,0.37197,0.473451,12.2727,10.132,4.11257,2.46368,1.08602,0.265206,0.107646,0.15755949914455414,0.212303,1.25193,0.26993,0.736723,,,3.928,0.0900668,0.0861149,999,,,,,,,70.70000000000002,6.427272727272729,67,6.090909090909091,,,,,,,,,,,,,,,,,,,"Braydon Fisher","24609",680755
"Danny Young","ATL",0.664262,0.424242,0,4.16963,17,0,0,1.5101,,12.8645,56.9373,11.7147,6.44,5.96,1.05882,6.40259,0.329258,1.47305,14.0493,9.82894,4.47926,2.19432,0.740752,0.246751,0.11245,0.1343010663986206,0.238775,1.40832,0.313838,0.701974,,,3.83209,0.0897477,0.0925557,999,,,,,,,67.7,5.207692307692308,67,5.153846153846154,,,,,,,,,,,,,,,,,,,"Danny Young","18439",664849
"Cody Laweryson","MIN",0.506853,0.434621,0,4.05642,15,0,0,0.22,,9.11889,38.3971,8.0114,4.43,4.11,1.23696,2.92741,0.217688,0.32885,9.54665,9.42218,2.88924,3.26112,1.22083,0.24863,0.0762404,0.1723891720175743,0.22798,1.19958,0.278129,0.706936,,,3.8506,0.0892861,0.0797282,999,,,,,,,44.500000000000014,4.944444444444446,43,4.777777777777778,,,,,,,,,,,,,,,,,,,"Cody Laweryson","26429",689520
"Gerardo Carrillo","ARI",0.670327,0.408495,0,4.011,16,0,0,1.4129,,11.9147,52.6756,10.1804,5.71,5.31,0.945082,6.49787,0.5544,1.20352,12.5331,9.46707,4.90828,1.9288,0.713884,0.237929,0.123356,0.1145729199051857,0.22636,1.3998,0.29322,0.714304,,,3.97622,0.0886323,0.0384933,999,,,,,,,59.500000000000014,4.958333333333335,56,4.666666666666667,,,,,,,,,,,,,,,,,,,"Gerardo Carrillo","22754",672629
"Ryne Stanek","STL",0.57636,0.724265,0,4.38195,20,0,0.762,4.4067,,14.6236,63.2446,12.8814,7.64,7.12,2.07089,6.60582,0.256986,0.381698,15.582,9.58985,4.0655,2.35884,1.27451,0.246378,0.104449,0.14192872494459152,0.228975,1.33259,0.280036,0.714206,,,4.25308,0.0871219,-0.00252681,745.9000244140625,,,,,,,84.60000000000001,5.640000000000001,81,5.4,,,,,,,,,,,,,,,,,,,"Ryne Stanek","15947",592773
"Brooks Raley","NYM",0.857255,0.545849,0,4.53867,21,0,0.732,4.9093,,14.4558,62.6266,14.2234,7.88,7.29,2.00769,4.46818,0.27253,1.25025,13.7517,8.56168,2.78184,3.07771,1.24997,0.219583,0.0713464,0.1482366845011711,0.249936,1.29302,0.296867,0.680795,,,4.19938,0.0870083,-0.0561942,999,,,,,,,80.60000000000002,5.757142857142859,82,5.857142857142857,,,,,,,,,,,,,,,,,,,"Brooks Raley","10061",548384
"Sean Newcomb","CHW",0.615789,0.863344,0,4.30844,22,0,2.061,3.5201,,15.8131,68.0859,14.9153,8.22,7.57,2.0084,5.69051,0.321367,1.00358,14.8453,8.44914,3.23874,2.60878,1.14307,0.218037,0.0835784,0.13445887714624405,0.242953,1.30308,0.289794,0.696064,,,4.15322,0.0870068,0.0513242,999,,,,,,,89.80000000000001,5.612500000000001,89,5.5625,,,,,,,,,,,,,,,,,,,"Sean Newcomb","16943",656794
"Michael Grove","TBR",0.723397,1.07936,0.274282,4.96475,16,1,0,0.2446,,20.6113,89.5584,20.3811,12.24,11.37,3.74495,7.1711,0.377917,0.995211,21.3888,9.33951,3.13129,2.98264,1.63525,0.238826,0.0800718,0.15875371545553207,0.250407,1.33675,0.295711,0.686361,,,4.58492,0.0868913,-0.0313802,999,,,,,,,72.2,3.4380952380952383,71,3.380952380952381,,,,,,,,,,,,,,,,,,,"Michael Grove","23221",675627
"Jacob Lopez","ATH",2.03665,2.68592,1.76725,5.66183,14,6,0,0.2214,,36.6083,162.723,37.8539,24.64,23.03,7.51303,14.9019,0.329773,2.5455,33.0815,8.13296,3.66357,2.21996,1.84705,0.203299,0.0915781,0.11172129958868027,0.260566,1.44109,0.28984,0.665658,,,5.40015,0.086795,-0.227804,409.239990234375,,,,,,,88.60000000000001,2.394594594594595,93,2.5135135135135136,,,,,,,,,,,,,,,,,,,"Jacob Lopez","25098",682052
"Chad Dallas","TOR",1.10643,1.03489,0.533661,4.63184,14,2,0,1.4773,,19.2753,83.5156,18.1935,10.66,9.92,2.97348,7.67813,0.341747,1.00285,17.3118,8.08324,3.58507,2.25469,1.38837,0.207289,0.0919365,0.11535220593214035,0.243116,1.34222,0.279013,0.700714,,,4.66999,0.0867458,-0.00378794,999,,,,,,,67.89999999999999,3.573684210526315,67,3.526315789473684,,,,,,,,,,,,,,,,,,,"Chad Dallas","30158",689149
"Robert Suarez","ATL",0.611745,0.380901,0,4.09273,15,0,1.041,2.9828,,11.3909,47.9063,10.5888,5.58,5.18,1.54895,3.39055,0.225939,0.221524,10.6875,8.44424,2.67887,3.15216,1.22383,0.223093,0.0707745,0.1523180827498436,0.239057,1.22724,0.281988,0.711158,,,3.95228,0.0859361,-0.0153249,214.39999389648438,,,,,,,58.20000000000001,5.290909090909092,59,5.363636363636363,,,,,,,,,,,,,,,,,,,"Robert Suarez","30115",663158
"Enyel De Los Santos","HOU",0.823995,0.460579,0,4.19166,20,0,0.369,4.1586,,13.8275,58.747,12.4546,6.94,6.44,1.96176,4.96049,0.241314,0.479903,13.6048,8.85508,3.22868,2.74263,1.27687,0.231583,0.0844382,0.14714474231004715,0.233641,1.25946,0.278029,0.714115,,,4.16665,0.083729,0.0449085,999,,,,,,,76.80000000000003,5.4857142857142875,73,5.214285714285714,,,,,,,,,,,,,,,,,,,"Enyel De Los Santos","18403",660853
"Jonathan Bowlan","PHI",1.04567,0.528223,0,4.31078,21,0,0.338,4.8784,,15.8463,68.2352,14.7922,8.2,7.59,2.24755,6.1695,0.442276,0.50906,15.8465,9.0001,3.504,2.56852,1.27651,0.232233,0.0904153,0.141818068921566,0.240302,1.32281,0.288631,0.716341,,,4.21792,0.0822352,0.0513245,999,,,,,,,85.80000000000001,5.362500000000001,85,5.3125,,,,,,,,,,,,,,,,,,,"Jonathan Bowlan","24607",680742
"Carson Seymour","SFG",0.793248,1.0659,0.558345,4.96248,9,2,0,0.2248,,16.3406,72.5429,17.3297,9.67,9.01,2.04313,7.06187,0.255581,0.821716,12.9272,7.11998,3.8895,1.83057,1.12531,0.178201,0.0973474,0.0808534026145935,0.268015,1.4927,0.307645,0.683732,,,4.60031,0.0820967,-0.0543948,999,,,,,,,51.60000000000001,3.2250000000000005,56,3.5,,,,,,,,,,,,,,,,,,,"Carson Seymour","30084",693313
"Kai-Wei Teng","HOU",0.864748,0.651606,0.273351,4.61215,14,1,0,0.2147,,17.6989,78.0012,16.2254,9.74,9.07,2.42061,8.21971,0.345872,1.63532,18.003,9.15465,4.17977,2.19023,1.23089,0.230804,0.105379,0.12542521953582764,0.238097,1.38117,0.289272,0.698372,,,4.52376,0.0806451,0.00674505,999,,,,,,,73.00000000000003,4.055555555555557,70,3.888888888888889,,,,,,,,,,,,,,,,,,,"Kai-Wei Teng","24282",678906
"Edgardo Henriquez","LAD",0.705931,0.24004,0,4.04903,15,0,0,1.495,,9.66898,41.6829,8.58525,4.69,4.35,1.07248,4.21306,0.16479,0.531246,10.0575,9.36167,3.92157,2.38723,0.99828,0.241287,0.101074,0.1402127519249916,0.23242,1.32365,0.291096,0.717751,,,3.94333,0.0799906,0.0320773,999,,,,,,,47.300000000000004,4.73,46,4.6,,,,,,,,,,,,,,,,,,,"Edgardo Henriquez","26944",683618
