pid,season,half,stuffRaw,stuffN
474463,2021,A,-0.009695081,799
474463,2021,B,-0.009991675,692
502624,2021,full,0.0009745343,852
502624,2021,A,0.0031691985,455
502624,2021,B,-0.0015407609,397
623454,2021,full,-0.00076686294,352
623454,2021,A,-0.0005555944,172
623454,2021,B,-0.0009687418,180
666120,2021,full,-0.0033554898,2173
666120,2021,A,-0.002756238,1107
666120,2021,B,-0.0039777905,1066
623433,2021,full,-0.0060394104,102
623433,2021,A,-0.006755319,58
623433,2021,B,-0.0050957114,44
641312,2021,full,-0.0021344433,436
641312,2021,A,-0.0025324505,222
641312,2021,B,-0.0017215572,214
664196,2021,full,-0.003960498,64
664196,2021,A,-0.003960498,64
542881,2021,full,-0.0016546585,2601
542881,2021,A,-0.001459948,1337
542881,2021,B,-0.001860614,1264
542882,2021,full,0.0013209694,855
542882,2021,A,0.0016949809,432
542882,2021,B,0.00093900046,423
622088,2021,full,0.006241906,529
622088,2021,A,0.004982078,301
622088,2021,B,0.0079051005,228
660620,2021,full,-0.005872682,7
660620,2021,A,-0.005872682,7
502042,2021,full,-0.003933042,327
502042,2021,A,-0.0027780265,171
502042,2021,B,-0.005199116,156
685503,2021,full,-0.0030354036,683
685503,2021,A,-0.003307931,358
685503,2021,B,-0.0027352038,325
542888,2021,full,0.0018287237,685
542888,2021,A,0.0011683102,360
542888,2021,B,0.002560259,325
453562,2021,full,-0.0038696348,1746
453562,2021,A,-0.0037062955,899
453562,2021,B,-0.004043002,847
676879,2021,full,0.00083020085,532
676879,2021,A,-0.000938691,296
676879,2021,B,0.0030488113,236
658648,2021,full,-0.0031550229,84
658648,2021,A,-0.0031550229,84
501593,2021,full,-0.011304899,108
501593,2021,A,-0.009331188,52
501593,2021,B,-0.01313763,56
446099,2021,full,-0.001489526,22
446099,2021,A,-0.001489526,22
641329,2021,full,0.0022963528,19
641329,2021,A,0.0022963528,19
593604,2021,full,-0.008002564,215
593604,2021,A,-0.009677867,94
593604,2021,B,-0.0067010894,121
607455,2021,full,-0.0024054872,610
607455,2021,A,-0.0027585912,314
607455,2021,B,-0.0020309107,296
670056,2021,full,-0.0012563987,358
670056,2021,A,-0.0023327596,213
670056,2021,B,0.00032473775,145
453268,2021,full,0.0055603036,1216
453268,2021,A,0.0061044665,631
453268,2021,B,0.004973351,585
669618,2021,full,-0.0019041732,455
669618,2021,A,-0.0020266364,243
669618,2021,B,-0.0017638031,212
605130,2021,full,0.0025331199,1222
605130,2021,A,0.0023380907,680
605130,2021,B,0.002777806,542
656212,2021,full,-0.0066804653,655
656212,2021,A,-0.0066690394,370
656212,2021,B,-0.006695301,285
606930,2021,full,-0.00041379256,570
606930,2021,A,0.0008324352,303
606930,2021,B,-0.0018280513,267
598264,2021,full,8.134756e-05,919
598264,2021,A,-0.0008844381,469
598264,2021,B,0.0010207668,441
607457,2021,full,0.0023772866,268
607457,2021,A,0.0029549014,140
607457,2021,B,0.0017455204,128
518435,2021,full,-0.0012269203,48
518435,2021,A,-0.0010547864,39
518435,2021,B,-0.0019728355,9
642545,2021,full,-0.0009824048,917
642545,2021,A,-0.001871231,495
642545,2021,B,6.0175586e-05,422
542914,2021,full,0.00064969924,957
542914,2021,A,-0.00046047717,465
542914,2021,B,0.0016989517,492
605135,2021,full,-0.0019342247,2381
605135,2021,A,-0.0018276788,1214
605135,2021,B,-0.0020450617,1167
545333,2021,full,-0.001970958,1674
545333,2021,A,-0.0027884562,914
545333,2021,B,-0.0009878087,760
657508,2021,full,-0.0061206752,185
657508,2021,A,-0.0028930167,92
657508,2021,B,-0.009313629,93
669358,2021,full,0.0067509026,198
669358,2021,A,0.0062918114,116
669358,2021,B,0.007400347,82
660825,2021,full,-0.0001972458,52
660825,2021,A,-8.654004e-05,24
660825,2021,B,-0.00029213616,28
676886,2021,full,0.0027718546,198
676886,2021,A,0.0038277789,127
676886,2021,B,0.0008830887,71
670280,2021,full,0.0045094285,934
670280,2021,A,0.0053931237,467
670280,2021,B,0.0036257328,467
592135,2021,full,-0.0010479403,468
592135,2021,A,-0.0014203516,251
592135,2021,B,-0.0006171787,217
595881,2021,full,-0.0044685593,28
595881,2021,A,-0.0044685593,28
571479,2021,full,0.0015062743,83
571479,2021,A,0.0016157998,57
571479,2021,B,0.0012661617,26
669622,2021,full,0.002755998,973
669622,2021,A,0.00275335,527
669622,2021,B,0.0027591262,446
605138,2021,full,-0.0033078312,461
605138,2021,A,-0.0029643562,227
605138,2021,B,-0.003641032,234
664157,2021,full,-0.0002496489,188
664157,2021,A,0.0010668843,98
664157,2021,B,-0.0016832066,90
621244,2021,full,0.0028572057,3034
621244,2021,A,0.002979487,1464
621244,2021,B,0.0027431806,1570
476454,2021,full,-0.007942344,21
476454,2021,A,-0.007942344,21
676424,2021,full,-0.005327879,199
676424,2021,A,-0.0020839223,128
676424,2021,B,-0.011176141,71
607352,2021,full,-0.0038316683,41
607352,2021,A,-0.0038316683,41
641360,2021,full,0.00083917263,776
641360,2021,A,-0.0019849446,469
641360,2021,B,0.005153541,307
592145,2021,full,-0.00274519,186
592145,2021,A,-0.0047199596,88
592145,2021,B,-0.00097192725,98
669456,2021,full,0.0001697198,1557
669456,2021,A,-0.00049385644,768
669456,2021,B,0.0008156343,789
656232,2021,full,-0.002225328,835
656232,2021,A,-0.00032970824,377
656232,2021,B,-0.0037856966,458
621112,2021,full,-0.002492201,681
621112,2021,A,-0.0019046782,349
621112,2021,B,-0.0031098076,332
607468,2021,full,-0.014039972,72
607468,2021,A,-0.011005575,32
607468,2021,B,-0.016467487,40
542947,2021,full,-0.0025066307,685
542947,2021,A,-0.003070343,324
542947,2021,B,-0.002000695,361
656240,2021,full,-0.016307812,92
656240,2021,A,-0.01675966,71
656240,2021,B,-0.014780139,21
671790,2021,full,-0.0010898898,106
671790,2021,A,-0.004249383,81
671790,2021,B,0.009146868,25
621366,2021,full,-0.001695103,368
621366,2021,A,-0.0012681285,187
621366,2021,B,-0.0021362314,181
641384,2021,full,-0.006238826,14
641384,2021,A,-0.006238826,14
641386,2021,full,-0.00505771,673
641386,2021,A,-0.0056563253,348
641386,2021,B,-0.0044167317,325
502202,2021,full,-0.0001932871,1041
502202,2021,A,0.00041107263,525
502202,2021,B,-0.0008081881,516
571510,2021,full,-0.00044265323,1273
571510,2021,A,-0.001164277,685
571510,2021,B,0.00039801403,588
542960,2021,full,0.0007199976,579
542960,2021,A,0.0007960495,322
542960,2021,B,0.0006247108,257
605151,2021,full,-0.004155546,920
605151,2021,A,-0.0046972916,430
605151,2021,B,-0.003680136,490
518489,2021,full,-0.004170834,197
518489,2021,A,-0.0039556003,110
518489,2021,B,-0.0044429684,87
643230,2021,full,-0.004537426,497
643230,2021,A,-0.0045006424,259
643230,2021,B,-0.0045774556,238
605154,2021,full,0.00031838584,332
605154,2021,A,0.0003928655,136
605154,2021,B,0.00026670616,196
592165,2021,full,-0.0070688426,42
592165,2021,A,-0.0070688426,42
641394,2021,full,0.0024447476,1103
641394,2021,A,0.002062509,601
641394,2021,B,0.0029023676,502
605155,2021,full,-0.009294516,30
605155,2021,A,-0.009294516,30
592169,2021,full,-0.00023049646,274
592169,2021,A,-7.952105e-05,126
592169,2021,B,-0.0003590299,148
502154,2021,full,-0.012015512,327
502154,2021,A,-0.013561871,142
502154,2021,B,-0.010828575,185
641401,2021,full,0.002611763,923
641401,2021,A,0.004431561,473
641401,2021,B,0.0006989528,450
571521,2021,full,-0.0031051505,998
571521,2021,A,-0.00473235,502
571521,2021,B,-0.0014582673,496
664141,2021,full,-0.0014955021,1943
664141,2021,A,-0.00039218817,987
664141,2021,B,-0.0026345926,956
677865,2021,full,-0.003516799,255
677865,2021,A,-0.0027556405,132
677865,2021,B,-0.0043336516,123
663460,2021,full,-0.005398602,2191
663460,2021,A,-0.0046321503,1162
663460,2021,B,-0.0062641194,1029
488748,2021,full,0.0004785436,294
488748,2021,A,0.004396888,132
488748,2021,B,-0.0027141813,162
621111,2021,full,0.0023922403,3148
621111,2021,A,0.0015471398,1604
621111,2021,B,0.0032701811,1544
656266,2021,full,-0.00037098431,286
656266,2021,A,0.00067679794,128
656266,2021,B,-0.0012198205,158
518516,2021,full,-0.00093165226,2290
518516,2021,A,-0.0015673466,1171
518516,2021,B,-0.0002664169,1119
607481,2021,full,-0.0020076586,949
607481,2021,A,-0.0031211716,503
607481,2021,B,-0.0007518355,446
605164,2021,full,-0.00028752684,1522
605164,2021,A,-0.0015195366,758
605164,2021,B,0.00093480694,764
641420,2021,full,-0.0016506294,177
641420,2021,A,0.00042953808,116
641420,2021,B,-0.005606357,61
669203,2021,full,0.007908125,2594
669203,2021,A,0.008586811,1317
669203,2021,B,0.007208181,1277
542992,2021,full,-0.055051535,17
542992,2021,A,-0.055051535,17
621114,2021,full,-0.00024050663,593
621114,2021,A,-0.0008051779,325
621114,2021,B,0.00044426267,268
663366,2021,full,-0.0044028987,267
663366,2021,A,-0.0043212003,126
663366,2021,B,-0.0044759065,141
456713,2021,full,-0.0018272491,69
456713,2021,A,4.0604453e-05,43
456713,2021,B,-0.0049163927,26
520980,2021,full,-0.008421729,59
520980,2021,A,-0.006178017,29
520980,2021,B,-0.010590651,30
452678,2021,full,-0.03889778,1
452678,2021,B,-0.03889778,1
665795,2021,full,-0.0022770145,476
665795,2021,A,-0.0021495533,272
665795,2021,B,-0.0024469632,204
650893,2021,full,0.00017603146,1195
650893,2021,A,0.00014412428,595
650893,2021,B,0.00020767252,600
502239,2021,full,-0.0058048316,664
502239,2021,A,-0.006190308,365
502239,2021,B,-0.0053342655,299
547176,2021,full,-0.0076307855,174
547176,2021,A,-0.0069418503,76
547176,2021,B,-0.008165061,98
669294,2021,full,-0.002631127,468
669294,2021,A,-0.0024601512,226
669294,2021,B,-0.0027907984,242
656288,2021,full,0.0020401701,1076
656288,2021,A,0.0021387178,567
656288,2021,B,0.0019303933,509
656290,2021,full,-0.0046509528,73
656290,2021,A,-0.0073407516,20
656290,2021,B,-0.0036359343,53
572761,2021,full,-0.059807852,21
572761,2021,A,-0.059807852,21
471911,2021,full,0.001710408,889
471911,2021,A,-0.0002951711,425
471911,2021,B,0.0035474147,464
641447,2021,full,-0.0033928081,333
641447,2021,A,-0.0031301107,181
641447,2021,B,-0.0037056254,152
624418,2021,full,-0.013211981,65
624418,2021,A,-0.013211981,65
528748,2021,full,-0.0042095357,726
528748,2021,A,-0.002869571,331
528748,2021,B,-0.0053323926,395
650895,2021,full,-0.00072138826,935
650895,2021,A,-0.00050890126,500
650895,2021,B,-0.00096562627,435
622491,2021,full,0.0038476088,3163
622491,2021,A,0.0036985427,1625
622491,2021,B,0.004005107,1538
621593,2021,full,0.004300595,454
621593,2021,A,0.006012546,225
621593,2021,B,0.0026185473,229
665645,2021,full,-0.0017844458,201
665645,2021,A,-0.001935418,81
665645,2021,B,-0.0016825397,120
612434,2021,full,0.0052840547,1228
612434,2021,A,0.006148642,606
612434,2021,B,0.0044417074,622
656302,2021,full,0.0037327374,2957
656302,2021,A,0.0050010034,1486
656302,2021,B,0.002451538,1471
570666,2021,full,0.002826784,949
570666,2021,A,0.0025048337,519
570666,2021,B,0.0032153712,430
468504,2021,full,-0.0024688211,1068
468504,2021,A,-0.0036304805,602
468504,2021,B,-0.000968136,466
605177,2021,full,-0.0059483345,947
605177,2021,A,-0.0051778746,471
605177,2021,B,-0.006710702,476
547973,2021,full,0.0039460175,1003
547973,2021,A,0.002140927,499
547973,2021,B,0.0057332003,504
608638,2021,full,0.0016578037,875
608638,2021,A,0.002534259,428
608638,2021,B,0.0008186024,447
543022,2021,full,0.001560635,591
543022,2021,A,0.0033361407,304
543022,2021,B,-0.00032003934,287
445926,2021,full,0.00068940636,528
445926,2021,A,0.0008382435,251
445926,2021,B,0.00055453967,277
643256,2021,full,-0.0025112259,1020
643256,2021,A,-0.0030215222,484
643256,2021,B,-0.0020504359,536
518553,2021,full,-0.00068939227,1234
518553,2021,A,-0.0011118605,605
518553,2021,B,-0.00028304366,629
542585,2021,full,0.00078686565,1067
542585,2021,A,0.0016987306,525
542585,2021,B,-9.639858e-05,542
650644,2021,full,-0.0027687785,1909
650644,2021,A,-0.003272478,960
650644,2021,B,-0.002259241,949
664199,2021,full,-0.0015185879,753
664199,2021,A,-0.0033571774,357
664199,2021,B,0.0001389282,396
661403,2021,full,0.013165323,1041
661403,2021,A,0.012769673,510
661403,2021,B,0.013545325,531
592222,2021,full,-0.00874252,580
592222,2021,A,-0.008959454,294
592222,2021,B,-0.008519519,286
621348,2021,full,-0.0055606537,802
621348,2021,A,-0.005588136,425
621348,2021,B,-0.0055296724,377
664076,2021,full,-9.392491e-05,356
664076,2021,A,0.0002823033,204
664076,2021,B,-0.0005988625,152
461325,2021,full,-0.0060309167,410
461325,2021,A,-0.0056598065,203
461325,2021,B,-0.006394855,207
502171,2021,full,0.0005485545,1578
502171,2021,A,-0.00035283458,778
502171,2021,B,0.0014251554,800
621129,2021,full,-0.00432083,209
621129,2021,A,-0.003490749,138
621129,2021,B,-0.0059342273,71
595918,2021,full,-0.0030654632,114
595918,2021,A,0.0008622525,61
595918,2021,B,-0.007586042,53
543037,2021,full,0.006582174,2969
543037,2021,A,0.0060529625,1493
543037,2021,B,0.0071174796,1476
669395,2021,full,0.0052431314,109
669395,2021,A,0.004965185,63
669395,2021,B,0.0056237965,46
517008,2021,full,-0.005192662,1102
517008,2021,A,-0.0054773204,667
517008,2021,B,-0.004756187,435
543045,2021,full,0.004430517,296
543045,2021,A,0.0044496255,184
543045,2021,B,0.004399126,112
672710,2021,full,-0.001621919,46
672710,2021,A,-0.001621919,46
656322,2021,full,0.002613408,712
656322,2021,A,0.0026120679,346
656322,2021,B,0.0026146749,366
571578,2021,full,-0.0054420372,2747
571578,2021,A,-0.005045826,1459
571578,2021,B,-0.0058908514,1288
641482,2021,full,-0.0030851227,1524
641482,2021,A,-0.0035376067,790
641482,2021,B,-0.0025981164,734
605194,2021,full,0.0014536157,541
605194,2021,A,0.0021085574,273
605194,2021,B,0.00078645535,268
543056,2021,full,-0.0052954988,528
543056,2021,A,-0.0059851194,252
543056,2021,B,-0.0046658446,276
664776,2021,full,0.0066444217,533
664776,2021,A,0.0071219876,279
664776,2021,B,0.006119851,254
676710,2021,full,0.0019693947,57
676710,2021,A,0.0019693947,57
592233,2021,full,-0.0041866666,402
592233,2021,A,-0.0030049265,233
592233,2021,B,-0.0058159283,169
605195,2021,full,0.0047627133,434
605195,2021,A,0.0044890814,236
605195,2021,B,0.00508886,198
622503,2021,full,-0.0012519984,1337
622503,2021,A,-0.0017380114,810
622503,2021,B,-0.0005049953,527
681867,2021,full,-0.00492688,41
681867,2021,A,-0.00492688,41
676979,2021,full,0.0012888802,915
676979,2021,A,0.0018488596,393
676979,2021,B,0.0008672871,522
668968,2021,full,-0.007235547,131
668968,2021,A,-0.0065916595,59
668968,2021,B,-0.0077631753,72
640444,2021,full,-0.0010853092,2171
640444,2021,A,-0.0011945885,1074
640444,2021,B,-0.0009783211,1097
456501,2021,full,-0.00091321446,1877
456501,2021,A,-0.0013809619,913
456501,2021,B,-0.00047021278,964
518586,2021,full,0.0023911875,1
518586,2021,A,0.0023911875,1
595928,2021,full,0.00091241417,703
595928,2021,A,-0.00085170584,350
595928,2021,B,0.0026615416,353
506433,2021,full,0.0021136776,2767
506433,2021,A,0.0022345372,1390
506433,2021,B,0.0019916764,1377
656353,2021,full,-0.00020305596,303
656353,2021,A,0.0014718962,162
656353,2021,B,-0.002127469,141
605200,2021,full,-0.0066046636,2577
605200,2021,A,-0.0064020106,1355
605200,2021,B,-0.0068293735,1222
656354,2021,full,-0.0032979483,473
656354,2021,A,-0.0037919718,239
656354,2021,B,-0.0027933687,234
451584,2021,full,-0.0040640524,769
451584,2021,A,-0.0040175673,371
451584,2021,B,-0.0041073835,398
594795,2021,full,0.0009967063,250
594795,2021,A,-0.0012288502,145
594795,2021,B,0.004070094,105
608328,2021,full,-0.0021720226,775
608328,2021,A,-0.0024782065,456
608328,2021,B,-0.0017343427,319
592254,2021,full,-0.00198718,347
592254,2021,A,-0.0044745477,191
592254,2021,B,0.0010582518,156
660853,2021,full,-0.0008696307,697
660853,2021,A,-0.001492516,357
660853,2021,B,-0.00021560122,340
543101,2021,full,-0.0014715324,2558
543101,2021,A,-0.00096378685,1393
543101,2021,B,-0.0020786477,1165
600887,2021,full,-0.008471833,80
600887,2021,A,-0.00845372,68
600887,2021,B,-0.008574467,12
672282,2021,full,-0.0014089023,379
672282,2021,A,-0.0024188955,212
672282,2021,B,-0.00012675535,167
446321,2021,full,-0.0049170004,884
446321,2021,A,-0.005891812,466
446321,2021,B,-0.0038302485,418
606965,2021,full,-0.002472409,145
606965,2021,A,-0.0045786225,64
606965,2021,B,-0.00080824073,81
505447,2021,full,0.004275925,35
505447,2021,A,0.010075986,14
505447,2021,B,0.00040921647,21
518617,2021,full,-0.0014591643,1095
518617,2021,A,-0.0017426034,517
518617,2021,B,-0.0012056383,578
594694,2021,full,-0.10760158,1
594694,2021,A,-0.10760158,1
650959,2021,full,-0.004028526,512
650959,2021,A,-0.0041529303,279
650959,2021,B,-0.0038795616,233
677976,2021,full,-0.0037034987,765
677976,2021,A,-0.0043643494,341
677976,2021,B,-0.0031720127,424
675971,2021,full,-0.022414552,20
675971,2021,A,-0.022414552,20
503569,2021,full,-0.0059638727,605
503569,2021,A,-0.007206343,320
503569,2021,B,-0.004568817,285
622554,2021,full,0.008146616,14
622554,2021,A,0.008146616,14
448281,2021,full,-0.00088401826,866
448281,2021,A,-0.0018864474,399
448281,2021,B,-2.7553491e-05,467
666808,2021,full,0.008450296,450
666808,2021,A,0.0065685674,246
666808,2021,B,0.010719438,204
592273,2021,full,-0.06500171,27
592273,2021,A,-0.06500171,27
608648,2021,full,0.0027319298,1008
608648,2021,A,0.0024646982,538
608648,2021,B,0.003037824,470
518633,2021,full,0.0007206875,1009
518633,2021,A,0.00072059815,538
518633,2021,B,0.00072078937,471
622110,2021,full,-0.028242944,1
622110,2021,A,-0.028242944,1
667498,2021,full,-0.0013878718,461
667498,2021,A,-0.0017015828,196
667498,2021,B,-0.0011558444,265
643290,2021,full,0.0002879941,870
643290,2021,A,0.0007007983,503
643290,2021,B,-0.00027778363,367
641540,2021,full,-0.0048362887,1909
641540,2021,A,-0.0039226203,987
641540,2021,B,-0.0058143702,922
641541,2021,full,-0.0049812305,254
641541,2021,A,-0.0021651008,151
641541,2021,B,-0.009109732,103
621242,2021,full,0.0090622725,999
621242,2021,A,0.008388074,488
621242,2021,B,0.009706126,511
646242,2021,full,-0.0022810828,237
646242,2021,A,-0.00184706,139
646242,2021,B,-0.0028966863,98
622766,2021,full,0.001782842,695
622766,2021,A,0.0019695507,332
622766,2021,B,0.001612078,363
660546,2021,full,-0.0053400053,447
660546,2021,A,-0.0039185826,159
660546,2021,B,-0.006124748,288
594809,2021,full,-0.006200488,21
594809,2021,A,-0.006200488,21
605218,2021,full,-0.0022378266,111
605218,2021,A,-0.003042441,64
605218,2021,B,-0.0011421826,47
664123,2021,full,0.002113399,222
664123,2021,A,0.0011655892,121
664123,2021,B,0.0032488927,101
621107,2021,full,-0.00065140583,1615
621107,2021,A,-0.00036649217,813
621107,2021,B,-0.00094022724,802
595191,2021,full,-0.007966548,357
595191,2021,A,-0.008801432,207
595191,2021,B,-0.006814408,150
676220,2021,full,-0.003626614,221
676220,2021,A,-0.0035715979,111
676220,2021,B,-0.0036821312,110
595939,2021,full,-0.000517416,482
595939,2021,A,0.00038547546,268
595939,2021,B,-0.0016481401,214
592288,2021,full,-0.0013970291,240
592288,2021,A,-0.0018521799,148
592288,2021,B,-0.00066483,92
608650,2021,full,-0.0012833993,360
608650,2021,A,-0.00045758803,184
608650,2021,B,-0.0021467472,176
543135,2021,full,0.0029777694,2927
543135,2021,A,0.0027171741,1445
543135,2021,B,0.0032318588,1482
664045,2021,full,-0.005288751,441
664045,2021,A,-0.005792174,255
664045,2021,B,-0.004598573,186
642659,2021,full,0.00047362508,36
642659,2021,A,0.00047362508,36
502179,2021,full,-0.00075090706,1735
502179,2021,A,-0.0016567736,931
502179,2021,B,0.0002980504,804
608032,2021,full,-0.0012918637,1006
608032,2021,A,-0.0007306277,482
608032,2021,B,-0.001808115,524
663770,2021,full,0.00091404567,522
663770,2021,A,0.001261126,279
663770,2021,B,0.0005155466,243
664126,2021,full,0.0071721133,774
664126,2021,A,0.009401877,384
664126,2021,B,0.004976652,390
663559,2021,full,-0.0027710944,551
663559,2021,A,-0.0027553774,303
663559,2021,B,-0.0027902967,248
544727,2021,full,0.0006433714,1017
544727,2021,A,0.00046532333,551
544727,2021,B,0.0008538956,466
607188,2021,full,-0.00033539048,639
607188,2021,A,0.0008715239,324
607188,2021,B,-0.0015767883,315
571656,2021,full,-0.0005817767,726
571656,2021,A,8.8879395e-05,378
571656,2021,B,-0.0013102482,348
608652,2021,full,-0.0030353565,473
608652,2021,A,-0.003405483,204
608652,2021,B,-0.0027546661,269
607200,2021,full,-0.0035631699,2409
607200,2021,A,-0.0033878977,1232
607200,2021,B,-0.0037466323,1177
593140,2021,full,-0.0027630287,370
593140,2021,A,-0.0019510137,203
593140,2021,B,-0.0037500884,167
491703,2021,full,0.0037471827,67
491703,2021,A,0.0060220524,40
491703,2021,B,0.0003770055,27
663372,2021,full,-0.0062010717,142
663372,2021,A,-0.006875741,61
663372,2021,B,-0.0056929877,81
642759,2021,full,-0.00018812,117
642759,2021,A,0.0054170596,58
642759,2021,B,-0.0056982976,59
658551,2021,full,0.0005733184,372
658551,2021,A,-0.0003236589,167
658551,2021,B,0.0013040268,205
656420,2021,full,0.0054556835,975
656420,2021,A,0.0044449847,468
656420,2021,B,0.006388636,507
571666,2021,full,-0.014008919,152
571666,2021,A,-0.014921936,83
571666,2021,B,-0.01291065,69
640448,2021,full,-0.0026578722,1209
640448,2021,A,-0.0025891569,531
640448,2021,B,-0.0024628008,595
664852,2021,full,-0.012180052,61
664852,2021,A,-0.010902919,23
664852,2021,B,-0.012953051,38
656427,2021,full,-0.0018061305,1353
656427,2021,A,-0.0013980834,705
656427,2021,B,-0.002250071,648
676596,2021,full,-0.0015918823,1628
676596,2021,A,-0.0013048175,783
676596,2021,B,-0.0018578843,845
667465,2021,full,-0.0056452234,86
667465,2021,A,-0.005856744,52
667465,2021,B,-0.00532172,34
623167,2021,full,-0.0031581772,2811
623167,2021,A,-0.0031593535,1424
623167,2021,B,-0.003156969,1387
641576,2021,full,-0.017570887,12
641576,2021,A,-0.017570887,12
571670,2021,full,0.00455013,1076
571670,2021,A,0.005313935,559
571670,2021,B,0.0037242745,517
671345,2021,full,-0.0036831992,198
671345,2021,A,-0.00305001,93
671345,2021,B,-0.0042440225,105
592314,2021,full,-0.00074744335,2236
592314,2021,A,-0.00038877985,1084
592314,2021,B,-0.0010849357,1152
641582,2021,full,-0.0020400656,729
641582,2021,A,-0.003956239,325
641582,2021,B,-0.0004985893,404
571676,2021,full,-0.008353791,259
571676,2021,A,-0.0078009265,175
571676,2021,B,-0.009505594,84
607536,2021,full,-0.0063667153,1886
607536,2021,A,-0.006570516,998
607536,2021,B,-0.006137669,888
502273,2021,full,-0.03280443,4
502273,2021,A,-0.03280443,4
608331,2021,full,0.00016444952,2557
608331,2021,A,0.0011596669,1320
608331,2021,B,-0.00089754484,1237
605240,2021,full,-0.010285735,136
605240,2021,A,-0.01221791,69
605240,2021,B,-0.008295883,67
643316,2021,full,0.0035105266,872
643316,2021,A,0.002859408,437
643316,2021,B,0.004164638,435
666818,2021,full,-0.004242736,68
666818,2021,A,-0.0035108652,52
666818,2021,B,-0.006621315,16
608334,2021,full,-0.0025732738,448
608334,2021,A,-0.0029153295,215
608334,2021,B,-0.0022576435,233
605242,2021,full,0.0016044424,1183
605242,2021,A,0.0010767811,582
605242,2021,B,0.0021154224,601
608335,2021,full,-0.002232321,1189
608335,2021,A,-0.0019068471,594
608335,2021,B,-0.0025572483,595
606149,2021,full,0.0008468807,1235
606149,2021,A,0.0004871321,602
606149,2021,B,0.0011890115,633
668678,2021,full,0.0021810941,2102
668678,2021,A,0.0023849031,1101
668678,2021,B,0.0019569248,1001
607231,2021,full,-0.005405661,1975
607231,2021,A,-0.0057481118,1018
607231,2021,B,-0.0050413827,957
650530,2021,full,-0.0072577386,731
650530,2021,A,-0.008313427,350
650530,2021,B,-0.006287946,381
677651,2021,full,-0.00087829004,2502
677651,2021,A,-0.00086021726,1264
677651,2021,B,-0.00089674216,1238
665620,2021,full,-0.0029884332,153
665620,2021,A,-0.001220252,65
665620,2021,B,-0.004294476,88
658305,2021,full,-0.00354118,281
658305,2021,A,-0.0033109852,167
658305,2021,B,-0.0038783941,114
606424,2021,full,-0.0018060262,1001
606424,2021,A,-0.0018029908,546
606424,2021,B,-0.0018096684,455
472610,2021,full,0.00519077,501
472610,2021,A,0.0025146224,238
472610,2021,B,0.007612532,263
596825,2021,full,-0.040935304,7
596825,2021,A,-0.040935304,7
665621,2021,full,0.00015686206,56
665621,2021,A,-0.0014641525,38
665621,2021,B,0.0035790035,18
